Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
HURC,2020-01-24,31.9872,0.64413976,-0.00123958,-0.9676,-0.8578,-0.1099,-1,-1,-1,-63.5826,0,-13.6591,-1,0.19053264,35.7757,0,-0.26037879,51.3964,61.8086,0.53628274,0.17087817,0.62212358,0.19809649,42.7888,-0.00755891,0.0,85.7143,0.0,0.857143,-1,31.1724,31.9339,32.6954,1.523,-4782532.9382,0.0,0.00086671,32.3995398,32.3995398,31.35282841,31.68234825,11200.0,0.0,0.0,-0.63965797,-0.01979017,0.01035803,35,1.0,1.0,0.0,0.0,0.0,0.0
HURC,2020-01-27,31.961,0.64230702,-0.00081908,-0.9966,-0.8855,-0.1111,-1,-1,-1,-76.6187,0,-15.8051,-1,0.15711138,29.1607,1,-0.18490204,52.9337,45.4035,0.55248604,0.02991066,0.45700094,-0.26541776,42.8324,0.00101896,0.0,78.5714,0.0,0.785714,-1,30.8343,31.777,32.7197,1.8854,-4793294.1556,0.0,0.00225011,31.19776049,31.77926805,31.11053454,31.2365284,17300.0,0.0,0.0,-0.44581985,-0.01407155,0.01722585,33,0.0,1.0,0.0,0.0,0.0,0.0
HURC,2020-01-28,31.9048,0.63837571,-0.00175839,-1.0172,-0.9119,-0.1054,-1,-1,-1,-85.6738,0,-16.8333,-1,0.06505495,27.5025,1,-0.0568642,44.9369,27.5986,0.46819892,-0.151072,0.27778885,-0.39214818,43.1792,0.00809667,0.0,71.4286,0.0,0.714286,-1,30.6777,31.7266,32.7755,2.0978,-4795606.0522,0.0,0.00048232,31.31406558,31.44974958,30.88762779,31.12022972,13400.0,0.0,0.0,-0.11629868,-0.00372316,0.01283495,100,1.0,1.0,0.0,0.0,0.0,0.0
HURC,2020-01-29,31.7528,0.627743,-0.00476417,-1.045,-0.9385,-0.1065,-1,-1,-1,-100.0163,1,-17.4185,-1,0.03476443,23.3526,1,-0.15089174,28.795,13.383,0.29806157,-0.35921258,0.13470423,-0.5150841,43.6679,0.01131795,42.8571,100.0,0.428571,1.0,-1,30.3789,31.4186,32.4584,2.0795,-4805157.3565,0.0,0.00199168,31.20745128,31.20745128,30.7616296,30.82947159,13700.0,0.0,0.0,-0.29075813,-0.00934306,0.01317271,17,0.0,0.0,0.0,0.0,0.0,0.0
HURC,2020-01-30,31.5842,0.61594907,-0.00530977,-1.071,-0.965,-0.106,-1,-1,-1,-132.5621,1,-17.6225,-1,0.01171169,20.629,1,-0.11662941,17.4295,11.3071,0.17826799,-0.39470394,0.11380962,-0.1551147,44.7139,0.02395352,35.7143,100.0,0.357143,1.0,-1,30.3556,31.0796,31.8036,1.448,-4796798.5693,1.0,-0.00173954,30.67440599,30.76163194,30.30612009,30.62594795,20700.0,0.0,0.0,-0.20352364,-0.00660159,0.02105382,17,0.0,0.0,0.0,0.0,0.0,0.0
HURC,2020-01-31,31.3721,0.60111224,-0.00671538,-1.1024,-0.9925,-0.1099,-1,-1,-1,-148.1651,1,-17.1739,-1,-0.02545609,17.0732,1,-0.172369,10.6872,7.3714,0.10720343,-0.38683267,0.07419553,-0.34807333,45.6804,0.0216152,28.5714,100.0,0.285714,1.0,-1,30.156,30.8104,31.4648,1.3088,-4820502.9026,0.0,0.0049417,30.52902948,30.72286533,30.2867356,30.33519363,30500.0,0.0,0.0,-0.29075432,-0.00949372,0.03208737,34,3.0,1.0,0.0,0.0,0.0,0.0
HURC,2020-02-03,31.2297,0.59115106,-0.00453906,-1.0936,-1.0127,-0.0809,-1,-1,-1,-125.9888,1,-10.5159,-1,-0.38768131,30.5421,0,0.78889136,11.381,15.4645,0.11451615,0.06491878,0.1556552,1.09790542,45.4569,-0.00489269,21.4286,100.0,0.214286,1.0,-1,30.1593,30.6825,31.2057,1.0464,-4821683.7359,0.0,0.00024496,30.33519637,30.96516201,30.26735438,30.59687424,21300.0,0.0,0.0,0.2616806,0.0086263,0.02172934,41,26.0,4.0,477.0,0.0,0.0,282.0
HURC,2020-02-04,31.1513,0.58566682,-0.00251043,-1.0749,-1.0251,-0.0498,-1,-1,-1,-93.5965,0,-8.3358,-1,-0.20731464,30.3142,0,-0.00746183,14.2302,19.8546,0.14454702,0.25034707,0.19984298,0.28388244,43.5107,-0.04281418,14.2857,92.8571,0.142857,0.928571,-1,30.2618,30.576,30.8901,0.6283,-4836684.8932,-1.0,0.00311119,30.91669901,31.3915948,30.52902917,30.58717918,17300.0,0.0,0.0,-0.00969505,-0.00031686,0.01722585,45,7.0,5.0,0.0,0.0,0.0,0.0
HURC,2020-02-05,31.1106,0.58281977,-0.00130653,-0.9384,-1.0078,0.0694,-1,-1,1,-0.7716,0,-2.6852,-1,-0.67787135,70.0242,-1,1.30994715,28.1578,49.1543,0.29134541,0.97873537,0.49475395,1.47571344,39.3742,-0.09506857,7.1429,85.7143,0.071429,0.857143,-1,29.6426,30.8026,31.9626,2.32,-4808784.179,-1.0,-0.00576856,30.88763134,32.12817694,30.77132944,31.96341515,36900.0,0.0,0.0,1.37623596,0.04499388,0.03929295,29,5.0,6.0,0.0,0.0,0.0,0.0
HURC,2020-02-06,30.9556,0.5719772,-0.00498222,-0.9157,-0.9894,0.0736,-1,-1,1,-51.5752,0,-5.4778,-1,1.03999702,43.3051,0,-0.38156951,39.3005,48.8925,0.40879066,0.39572339,0.49211885,-0.00532609,36.0663,-0.08401187,0.0,78.5714,0.0,0.785714,-1,29.6855,30.8317,31.9778,2.2923,-4824273.7514,-1.0,0.0032211,32.02156351,32.02156351,30.61625811,30.77132607,19900.0,0.0,0.0,-1.19208908,-0.03729542,0.02015312,15,2.0,6.0,0.0,0.0,0.0,0.0
