Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
HYAC,2021-06-15,9.771,0.3487179487179508,0.0,-0.0662,-0.1087,0.0425,-1,-1,1,47.3007,0,-0.07994981618719733,-1.5412,-1,-0.22940000000000005,60.479,0,0.0,100.0,100.0,1.0,0.060997826015454476,1.0,0.0,29.2159,-0.06761832728572477,35.7143,35.7143,0.357143,0.357143,0,9.8,9.8,9.8,0.0,41963.5038,0.0863914584990216
HYAC,2021-06-16,9.786,0.3871794871794861,0.001535155050659993,-0.0585,-0.0987,0.0401,-1,-1,1,85.9659,0,0.8174339914631286,0.6154,1,-1.3992992473397354,66.5108,0,0.09973379189470732,98.4127,95.2381,0.984127,-0.01587299999999999,0.952381,-0.047618999999999974,27.9429,-0.043572164472085395,28.5714,28.5714,0.285714,0.285714,0,9.794,9.802,9.81,0.016000000000000014,31252.5038,-0.25524560701721005
HYAC,2021-06-17,9.791,0.4000000000000009,0.000510933987328917,-0.0526,-0.0895,0.0368,-1,-1,1,61.1407,0,-0.28877962075660235,1.976,1,2.210919727006825,55.855,0,-0.1602115746615588,93.6508,85.7143,0.936508,-0.048387047606660495,0.857143,-0.09999989500000533,26.3579,-0.05672281688729519,21.4286,21.4286,0.214286,0.214286,0,9.794,9.802,9.81,0.016000000000000014,31252.5038,0.0
HYAC,2021-06-18,9.806,0.43846153846153624,0.0015320192013071996,-0.0394,-0.0795,0.04,-1,-1,1,215.7647,-1,2.52898641984799,1.8519,1,-0.0628036437246963,85.298,-1,0.5271327544534957,88.8889,85.7143,0.888889,-0.0508474033323794,0.857143,0.0,27.5272,0.044362411269486555,14.2857,14.2857,0.142857,0.142857,0,9.7436,9.822,9.9004,0.15679999999999872,31252.5038,0.0
HYAC,2021-06-21,9.821,0.47692307692307606,0.001529675708749803,-0.0286,-0.0693,0.0406,-1,-1,1,197.0983,-1,-0.08651276135530979,2.3785,1,0.2843566067282249,85.298,-1,0.0,87.3016,90.4762,0.8730159999999999,-0.017857122767859803,0.9047620000000001,0.05555549074075168,28.5795,0.03822764393036701,7.1429,7.1429,0.071429,0.071429,0,9.747,9.842,9.937,0.1899999999999995,31252.5038,0.0
HYAC,2021-06-22,9.831,0.5025641025641011,0.0010182262498727001,-0.0199,-0.0594,0.0395,-1,-1,1,194.9185,-1,-0.011059456119104022,2.3785,1,0.0,85.298,-1,0.0,92.0635,100.0,0.9206350000000001,0.05454539206612492,1.0,0.10526304155125872,29.5267,0.033142637204989674,0.0,0.0,0.0,0.0,0,9.7687,9.862,9.9553,0.18659999999999854,31252.5038,0.0
HYAC,2021-06-23,9.8264,0.4907692307692295,-0.00046790763910079723,-0.0245,-0.0524,0.028,-1,-1,1,-71.9013,0,-1.3688787878010553,0.8635,1,-0.636956064746689,29.3282,1,-0.6561677882248119,85.7143,66.6667,0.857143,-0.06896544233056542,0.666667,-0.33333299999999993,27.9102,-0.054747059441116075,92.8571,0.0,0.928571,0.0,1,9.7264,9.8507,9.975,0.2485999999999997,28715.5038,-0.08117749592914217
HYAC,2021-06-24,9.8204,0.4753846153846136,-0.0006106000162826902,-0.0288,-0.0477,0.0189,-1,-1,1,-131.9224,1,0.8347707204181287,-0.6122,-1,-1.708975101331789,27.2673,1,-0.07027025183952647,66.6667,33.3333,0.666667,-0.22222196296300606,0.333333,-0.5000007499996251,26.7736,-0.0407234631066779,85.7143,100.0,0.857143,1.0,-1,9.6883,9.8387,9.9891,0.3008000000000006,28715.5038,0.0
HYAC,2021-06-25,9.8074,0.4420512820512805,-0.0013237749989817014,-0.0375,-0.0457,0.0081,-1,-1,1,-206.3718,1,0.5643423709696003,-1.3265,-1,1.1667755635413266,18.7345,1,-0.3129316067230712,33.3333,0.0,0.333333,-0.5000007499996251,0.0,-1.0,27.2082,0.016232408043744706,78.5714,100.0,0.785714,1.0,-1,9.6085,9.7927,9.9769,0.36840000000000117,23207.5038,-0.19181275865339337
HYAC,2021-06-28,9.803,0.4307692307692328,-0.0004486408222361306,-0.0371,-0.0439,0.0069,-1,-1,1,-105.0896,1,-0.49077538694724765,-0.449,-1,-0.6615152657369016,45.1122,0,1.4079745923296592,15.2657,12.4638,0.15265700000000001,-0.542028542028542,0.12463800000000001,inf,25.8373,-0.050385545534067024,71.4286,100.0,0.714286,1.0,-1,9.614,9.7639,9.9138,0.2997999999999994,57876.5038,1.4938702713904113
