Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
IBB,2019-12-02,115.7192,0.22139246693810902,,3.4496,2.949,0.5006,1,1,1,117.0406,-1,7.8289,1,,71.1924,-1,,91.1595,83.3456,0.9588089719040099,,0.8557968637367841,,56.9291,,92.8571,21.4286,0.928571,0.214286,1,117.1712,118.2932,119.4152,2.2439999999999998,548565167.3714,
IBB,2019-12-03,116.5065,0.23196502046560602,0.006803538220105237,3.4528,3.0497,0.4031,1,1,1,101.4052,-1,8.8128,1,0.12567538223760674,75.7289,-1,0.06372168939381155,83.6861,72.5755,0.8751212192472648,-0.08198158173311612,0.7414584016756747,-0.12922217849532547,56.1619,-0.013476411887769093,85.7143,14.2857,0.857143,0.142857,1,117.5106,118.4724,119.4342,1.9236000000000075,550169796.1264,0.002925137887790092
IBB,2019-12-04,117.1983,0.2412551164014912,0.0059378661276409525,3.5153,3.1428,0.3724,1,1,1,110.7536,-1,9.9343,1,0.1272580791575891,82.0414,-1,0.08335655212210927,76.5233,73.6488,0.7949115911355976,-0.08559127501460805,0.7528528614606523,0.014788737246040178,56.1446,-0.00030803801153461447,100.0,7.1429,1.0,0.071429,1,117.587,118.8546,120.1222,2.5352000000000032,551656198.8764,0.002701716380043704
IBB,2019-12-05,117.686,0.24780437888765952,0.004161323159124354,3.4019,3.1946,0.2072,1,1,1,84.5934,0,9.7406,1,-0.01949810253364603,58.5788,0,-0.2859848808040818,71.9088,69.502,0.7432380376479546,-0.060301894978392286,0.70882924659403,-0.05630505860244837,55.2046,-0.016742482803332782,92.8571,0.0,0.928571,0.0,1,117.4074,118.7491,120.0908,2.683400000000006,550567621.2784,-0.001973289886377128
IBB,2019-12-06,118.2564,0.2554642093615376,0.0048467957106197185,3.3671,3.2291,0.138,1,1,1,88.5692,0,10.7799,1,0.10669773935897162,67.4258,0,0.1510273341208764,72.9694,75.7576,0.7551147243591896,0.014749237923592019,0.775240485419062,0.09000604299156861,54.5675,-0.011540704941254835,85.7143,0.0,0.857143,0.0,1,117.3752,118.8247,120.2743,2.89909999999999,552313746.1931,0.003171499462038081
IBB,2019-12-09,118.6545,0.26081024462039254,0.0033664139953524666,3.2523,3.2338,0.0186,1,1,1,82.804,0,8.2004,1,-0.23928793402536197,59.0689,0,-0.1239421705044656,68.8562,61.3091,0.7090547698234062,-0.05636883405920828,0.6218510768629725,-0.19072013896955547,54.5403,-0.0004984652036468696,100.0,0.0,1.0,0.0,1,117.8874,119.0159,120.1443,2.2569000000000017,550500432.5802,-0.0032831223655006548
IBB,2019-12-10,118.8387,0.2632838434515433,0.0015524063562697087,3.1801,3.223,-0.0429,1,1,-1,72.1704,0,9.1421,1,0.1148358616652845,65.0883,0,0.10190472482135277,68.0303,67.0242,0.6998062731660339,-0.01199456258114744,0.6825242130943394,0.09321780942796408,53.3422,-0.0219672425710897,92.8571,0.0,0.928571,0.0,1,118.1035,119.205,120.3064,2.2028999999999996,551510375.9892,0.0018345914902671851
IBB,2019-12-11,118.9382,0.26462001654437434,0.0008372693407113334,3.0381,3.186,-0.148,1,1,-1,68.7929,0,8.2442,1,-0.09821594600802878,55.8612,0,-0.1417628052968046,60.4361,52.975,0.614765792096393,-0.1116296708966445,0.5333738875459288,-0.2096138409708731,52.6335,-0.013285916216429026,85.7143,0.0,0.857143,0.0,1,118.1182,119.0218,119.9254,1.8071999999999946,550316708.5607,-0.0021643607817150336
IBB,2019-12-12,119.0278,0.26582324377168765,0.0007533324028781698,2.9565,3.1401,-0.1837,1,1,-1,71.4443,0,8.781,1,0.0651124426869801,64.1587,0,0.14853780441522918,58.9255,56.7772,0.5978499680854638,-0.024994994713424652,0.5737391302501517,0.07177347805568662,52.1359,-0.009454054926995137,78.5714,0.0,0.785714,0.0,1,118.6065,119.3065,120.0065,1.4000000000000057,550563642.1172,0.0004487117193766273
IBB,2019-12-13,119.1253,0.26713255911390904,0.0008191363698228194,2.8858,3.0893,-0.2034,1,1,-1,83.6791,0,9.8134,1,0.11757203052044175,67.3766,0,0.050155317984934236,54.9304,55.0388,0.5531125071387778,-0.06779917013856482,0.5552837786334506,-0.03061792409629215,52.3511,0.004127674021163976,100.0,0.0,1.0,0.0,1,118.4889,119.4259,120.363,1.8740999999999985,549712096.794,-0.0015466791812211904
IBB,2019-12-16,119.4456,0.2714338278740479,0.002688765526718532,2.88,3.0474,-0.1674,1,1,-1,100.2727,-1,9.1191,1,-0.07075019870788923,75.7005,-1,0.12354289174579913,60.8869,70.8447,0.6198138878623979,0.10843722237595209,0.7230837338327235,0.28717740939119313,52.5504,0.003806987818785105,100.0,0.0,1.0,0.0,1,118.439,119.8754,121.3118,2.8728000000000122,550544293.4047,0.0015138772014541822
