Date,daily_trend
2019-12-01,49
2019-12-02,22
2019-12-03,89
2019-12-04,22
2019-12-05,23
2019-12-06,23
2019-12-07,25
2019-12-08,0
2019-12-09,0
2019-12-10,22
2019-12-11,0
2019-12-12,0
2019-12-13,46
2019-12-14,0
2019-12-15,100
2019-12-16,22
2019-12-17,67
2019-12-18,22
2019-12-19,91
2019-12-20,24
2019-12-21,0
2019-12-22,26
2019-12-23,95
2019-12-24,52
2019-12-25,0
2019-12-26,0
2019-12-27,24
2019-12-28,0
2019-12-29,26
2019-12-30,71
2019-12-31,0
2020-01-01,30
2020-01-02,52
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,100
2020-01-07,25
2020-01-08,24
2020-01-09,24
2020-01-10,25
2020-01-11,55
2020-01-12,0
2020-01-13,68
2020-01-14,21
2020-01-15,24
2020-01-16,49
2020-01-17,50
2020-01-18,55
2020-01-19,54
2020-01-20,0
2020-01-21,48
2020-01-22,73
2020-01-23,49
2020-01-24,0
2020-01-25,27
2020-01-26,0
2020-01-27,24
2020-01-28,24
2020-01-29,47
2020-01-30,48
2020-01-31,49
2020-02-01,100
2020-02-02,0
2020-02-03,0
2020-02-04,22
2020-02-05,0
2020-02-06,0
2020-02-07,46
2020-02-08,74
2020-02-09,24
2020-02-10,0
2020-02-11,0
2020-02-12,43
2020-02-13,22
2020-02-14,45
2020-02-15,0
2020-02-16,25
2020-02-17,22
2020-02-18,0
2020-02-19,21
2020-02-20,0
2020-02-21,22
2020-02-22,0
2020-02-23,24
2020-02-24,21
2020-02-25,21
2020-02-26,0
2020-02-27,42
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,52
2020-03-03,0
2020-03-04,0
2020-03-05,52
2020-03-06,54
2020-03-07,0
2020-03-08,59
2020-03-09,51
2020-03-10,51
2020-03-11,51
2020-03-12,100
2020-03-13,0
2020-03-14,58
2020-03-15,58
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,51
2020-03-21,0
2020-03-22,0
2020-03-23,48
2020-03-24,100
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,55
2020-03-29,55
2020-03-30,49
2020-03-31,96
2020-04-01,0
2020-04-02,24
2020-04-03,25
2020-04-04,28
2020-04-05,0
2020-04-06,73
2020-04-07,25
2020-04-08,25
2020-04-09,26
2020-04-10,26
2020-04-11,0
2020-04-12,28
2020-04-13,0
2020-04-14,73
2020-04-15,0
2020-04-16,0
2020-04-17,100
2020-04-18,0
2020-04-19,28
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,24
2020-04-24,0
2020-04-25,28
2020-04-26,28
2020-04-27,49
2020-04-28,24
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,24
2020-05-03,0
2020-05-04,21
2020-05-05,20
2020-05-06,0
2020-05-07,21
2020-05-08,67
2020-05-09,0
2020-05-10,0
2020-05-11,42
2020-05-12,64
2020-05-13,0
2020-05-14,21
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,43
2020-05-20,86
2020-05-21,91
2020-05-22,0
2020-05-23,49
2020-05-24,100
2020-05-25,0
2020-05-26,0
2020-05-27,22
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,84
2020-06-03,40
2020-06-04,40
2020-06-05,42
2020-06-06,96
2020-06-07,49
2020-06-08,80
2020-06-09,80
2020-06-10,0
2020-06-11,0
2020-06-12,45
2020-06-13,100
2020-06-14,49
2020-06-15,43
2020-06-16,0
2020-06-17,43
2020-06-18,0
2020-06-19,90
2020-06-20,50
2020-06-21,100
2020-06-22,44
2020-06-23,0
2020-06-24,45
2020-06-25,88
2020-06-26,0
2020-06-27,0
2020-06-28,49
2020-06-29,44
2020-06-30,0
2020-07-01,61
2020-07-02,30
2020-07-03,0
2020-07-04,0
2020-07-05,35
2020-07-06,0
2020-07-07,0
2020-07-08,31
2020-07-09,0
2020-07-10,0
2020-07-11,35
2020-07-12,35
2020-07-13,0
2020-07-14,31
2020-07-15,0
2020-07-16,31
2020-07-17,66
2020-07-18,0
2020-07-19,71
2020-07-20,31
2020-07-21,0
2020-07-22,0
2020-07-23,32
2020-07-24,32
2020-07-25,0
2020-07-26,0
2020-07-27,31
2020-07-28,0
2020-07-29,32
2020-07-30,32
2020-07-31,100
2020-08-01,0
2020-08-02,0
2020-08-03,66
2020-08-04,32
2020-08-05,33
2020-08-06,65
2020-08-07,100
2020-08-08,38
2020-08-09,0
2020-08-10,0
2020-08-11,32
2020-08-12,32
2020-08-13,0
2020-08-14,0
2020-08-15,37
2020-08-16,37
2020-08-17,0
2020-08-18,32
2020-08-19,0
2020-08-20,0
2020-08-21,67
2020-08-22,0
2020-08-23,0
2020-08-24,32
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,33
2020-08-29,36
2020-08-30,36
2020-08-31,0
2020-09-01,48
2020-09-02,0
2020-09-03,0
2020-09-04,51
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,56
2020-09-13,0
2020-09-14,96
2020-09-15,0
2020-09-16,49
2020-09-17,48
2020-09-18,0
2020-09-19,0
2020-09-20,56
2020-09-21,95
2020-09-22,94
2020-09-23,0
2020-09-24,96
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,99
2020-09-29,0
2020-09-30,100
2020-10-01,86
2020-10-02,0
2020-10-03,32
2020-10-04,0
2020-10-05,84
2020-10-06,28
2020-10-07,28
2020-10-08,28
2020-10-09,31
2020-10-10,69
2020-10-11,0
2020-10-12,30
2020-10-13,0
2020-10-14,29
2020-10-15,0
2020-10-16,31
2020-10-17,34
2020-10-18,0
2020-10-19,90
2020-10-20,59
2020-10-21,0
2020-10-22,61
2020-10-23,31
2020-10-24,100
2020-10-25,0
2020-10-26,0
2020-10-27,89
2020-10-28,59
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,35
2020-11-05,18
2020-11-06,20
2020-11-07,21
2020-11-08,0
