Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
INTC,2019-12-02,55.7856,0.5619281961637485,,0.9843,1.2444,-0.2601,1,1,-1,-14.8092,0,2.593,1,,36.2383,0,,60.3802,36.5152,0.6539680525228581,,0.38424028024194856,,36.101,,78.5714,14.2857,0.785714,0.142857,1,55.0404,55.9389,56.8374,1.7970000000000041,-1372439465.8515,
INTC,2019-12-03,55.5768,0.5520098043872731,-0.0037429013939081707,0.7617,1.1478,-0.3861,1,1,-1,-343.861,1,-2.1409,-1,-1.8256459699190128,18.6628,1,-0.484997916568934,38.8485,18.3532,0.4099858245392975,-0.35660199866843767,0.18799744134433155,-0.49738191218999206,34.0566,-0.05663001024902346,71.4286,100.0,0.714286,1.0,-1,53.54,55.4139,57.2878,3.747799999999998,-1383708307.3745,0.008210811335134913
INTC,2019-12-04,55.3535,0.5414026354040982,-0.004017863568971258,0.5748,1.0332,-0.4584,1,1,-1,-276.7498,1,-2.1262,-1,-0.006866271194357483,18.3136,1,-0.018711018711018695,21.6336,10.0323,0.21491856758725955,-0.44312907834279314,0.0980890040476031,-0.4533759780310791,32.2167,-0.05402477052906044,64.2857,92.8571,0.642857,0.928571,-1,52.8891,54.862,56.8349,3.9457999999999984,-1395037945.3755,0.00818788030730061
INTC,2019-12-05,55.1791,0.5331183081731726,-0.0031506589465887173,0.4264,0.9119,-0.4854,1,1,-1,-227.3338,1,-2.6389,-1,0.24113441821089276,20.5433,1,0.12175104840118806,12.7813,9.9585,0.11461046944457348,-0.4091921825308779,0.09729158517794977,-0.007356239346909337,30.7662,-0.04502323329205044,57.1429,85.7143,0.571429,0.857143,-1,52.6913,54.3964,56.1014,3.4101,-1395309877.4082,0.00019492805453895113
INTC,2019-12-06,55.0441,0.5267055548694172,-0.002446578505267357,0.3611,0.8017,-0.4406,1,1,-1,-116.6001,1,-2.1361,-1,-0.19053393459395965,43.8517,0,1.1345986282632297,12.9372,18.8209,0.11637701966321098,0.012197507295815044,0.19305100239225664,0.889933222874931,27.8638,-0.09433729222328399,50.0,78.5714,0.5,0.785714,-1,52.938,54.1588,55.3796,2.441600000000001,-1389239254.5093,-0.004350734555234616
INTC,2019-12-09,54.9406,0.5217891106698714,-0.0018803105146600056,0.2844,0.6983,-0.4138,1,1,-1,-104.5464,1,-2.9861,-1,0.3979214456252049,38.4446,0,-0.12330422765822077,21.8356,36.7274,0.21720749089813043,0.6878149831493676,0.3865331296205453,0.9514157133824631,25.2516,-0.0937488784731444,42.8571,71.4286,0.42857100000000004,0.714286,-1,53.3408,53.9423,54.5438,1.2029999999999959,-1401819969.2913,0.00905583018991481
INTC,2019-12-10,54.7279,0.511685461575732,-0.0038714538974821025,0.2257,0.6037,-0.3781,1,1,-1,-92.4396,0,-3.0163,-1,0.010113526003817765,40.4127,0,0.05119314546126113,37.0091,55.4791,0.38914302484614915,0.6948973236366299,0.5891477558817746,0.5105643198266144,23.068,-0.08647372839740843,35.7143,64.2857,0.357143,0.642857,-1,53.4558,54.0419,54.628,1.1721999999999966,-1405548733.2197,0.002659944935928643
INTC,2019-12-11,54.5526,0.5033583826561147,-0.003203119432684244,0.2138,0.5257,-0.312,1,1,-1,-54.8075,0,-1.9416,-1,-0.35629745051884765,54.8484,0,0.35720701660616583,55.5456,74.4302,0.5991857325291129,0.5008633011880863,0.7939169258097908,0.34158989601489564,21.4212,-0.07138893705566163,28.5714,57.1429,0.285714,0.571429,-1,53.6139,54.2431,54.8723,1.2584000000000017,-1392294110.5911,-0.009430212069728572
INTC,2019-12-12,54.4606,0.49898821003429616,-0.0016864457422744057,0.2387,0.4683,-0.2296,1,1,-1,-11.3462,0,-0.5873,-1,-0.697517511330861,65.3434,0,0.1913455998716463,68.8267,76.5709,0.7496779076974678,0.23910264719437727,0.8170474755966054,0.02876117489943592,21.9737,0.025792205852146567,21.4286,50.0,0.214286,0.5,-1,53.8119,54.5248,55.2376,1.425699999999999,-1383770285.1467,-0.006122144293766547
INTC,2019-12-13,54.4357,0.4978054133138256,-0.0004572112683298084,0.2738,0.4294,-0.1556,1,1,-1,27.6499,0,-0.0346,-1,-0.941086327260344,69.7395,0,0.06727687876663908,76.2543,77.7619,0.8338422977164024,0.10791742158203137,0.8299163898751575,0.015554211848104208,23.0107,0.047192780460277466,14.2857,42.8571,0.142857,0.42857100000000004,-1,53.749,54.7126,55.6761,1.9270999999999958,-1387094680.2291,0.0024024183190547764
INTC,2019-12-16,54.4395,0.4979859204438575,6.98071302473442e-05,0.2914,0.4018,-0.1104,1,1,-1,40.7922,0,-0.4486,-1,11.965317919075144,65.8256,0,-0.05612171007821983,73.6145,66.5109,0.8039299226865162,-0.03461837561947318,0.7083478302210947,-0.14468525074618793,24.3575,0.0585292928941754,7.1429,35.7143,0.071429,0.357143,-1,54.0749,54.9368,55.7986,1.723700000000001,-1404150042.9449,0.012295745170750055
INTC,2019-12-17,54.5573,0.503581641474838,0.0021638699841107184,0.2712,0.3757,-0.1045,1,1,-1,1.4237,0,-1.6309,-1,2.6355327686134644,50.1799,0,-0.23768412289443608,66.5785,55.4628,0.7242028711256857,-0.09557899598584518,0.5889716322018917,-0.16610961511571792,23.7531,-0.024813712408909033,0.0,28.5714,0.0,0.285714,-1,54.5659,55.0728,55.5797,1.0138000000000034,-1418215524.2665,0.01001707858235767
