Date,daily_trend
2019-12-01,88
2019-12-02,100
2019-12-03,93
2019-12-04,88
2019-12-05,84
2019-12-06,90
2019-12-07,75
2019-12-08,68
2019-12-09,86
2019-12-10,85
2019-12-11,91
2019-12-12,86
2019-12-13,83
2019-12-14,78
2019-12-15,78
2019-12-16,83
2019-12-17,83
2019-12-18,80
2019-12-19,85
2019-12-20,87
2019-12-21,75
2019-12-22,70
2019-12-23,77
2019-12-24,73
2019-12-25,81
2019-12-26,89
2019-12-27,84
2019-12-28,79
2019-12-29,73
2019-12-30,78
2019-12-31,65
2020-01-01,71
2020-01-02,86
2020-01-03,91
2020-01-04,81
2020-01-05,77
2020-01-06,86
2020-01-07,100
2020-01-08,92
2020-01-09,98
2020-01-10,91
2020-01-11,77
2020-01-12,79
2020-01-13,86
2020-01-14,85
2020-01-15,88
2020-01-16,90
2020-01-17,82
2020-01-18,79
2020-01-19,70
2020-01-20,89
2020-01-21,88
2020-01-22,94
2020-01-23,99
2020-01-24,95
2020-01-25,78
2020-01-26,76
2020-01-27,79
2020-01-28,88
2020-01-29,87
2020-01-30,90
2020-01-31,82
2020-02-01,78
2020-02-02,75
2020-02-03,87
2020-02-04,93
2020-02-05,86
2020-02-06,93
2020-02-07,92
2020-02-08,78
2020-02-09,83
2020-02-10,83
2020-02-11,90
2020-02-12,89
2020-02-13,92
2020-02-14,89
2020-02-15,77
2020-02-16,78
2020-02-17,85
2020-02-18,89
2020-02-19,90
2020-02-20,100
2020-02-21,93
2020-02-22,83
2020-02-23,77
2020-02-24,93
2020-02-25,86
2020-02-26,92
2020-02-27,93
2020-02-28,92
2020-02-29,82
2020-03-01,75
2020-03-02,83
2020-03-03,85
2020-03-04,86
2020-03-05,78
2020-03-06,88
2020-03-07,72
2020-03-08,73
2020-03-09,81
2020-03-10,85
2020-03-11,81
2020-03-12,80
2020-03-13,87
2020-03-14,80
2020-03-15,81
2020-03-16,88
2020-03-17,81
2020-03-18,89
2020-03-19,87
2020-03-20,85
2020-03-21,91
2020-03-22,84
2020-03-23,87
2020-03-24,91
2020-03-25,95
2020-03-26,95
2020-03-27,91
2020-03-28,92
2020-03-29,92
2020-03-30,95
2020-03-31,100
2020-04-01,81
2020-04-02,88
2020-04-03,87
2020-04-04,79
2020-04-05,85
2020-04-06,84
2020-04-07,88
2020-04-08,82
2020-04-09,83
2020-04-10,83
2020-04-11,85
2020-04-12,84
2020-04-13,86
2020-04-14,86
2020-04-15,89
2020-04-16,93
2020-04-17,89
2020-04-18,89
2020-04-19,94
2020-04-20,87
2020-04-21,92
2020-04-22,97
2020-04-23,93
2020-04-24,95
2020-04-25,87
2020-04-26,87
2020-04-27,93
2020-04-28,93
2020-04-29,100
2020-04-30,99
2020-05-01,95
2020-05-02,88
2020-05-03,93
2020-05-04,92
2020-05-05,92
2020-05-06,94
2020-05-07,94
2020-05-08,90
2020-05-09,87
2020-05-10,84
2020-05-11,93
2020-05-12,92
2020-05-13,91
2020-05-14,93
2020-05-15,100
2020-05-16,91
2020-05-17,86
2020-05-18,87
2020-05-19,96
2020-05-20,92
2020-05-21,93
2020-05-22,97
2020-05-23,87
2020-05-24,88
2020-05-25,91
2020-05-26,89
2020-05-27,93
2020-05-28,89
2020-05-29,88
2020-05-30,78
2020-05-31,81
2020-06-01,78
2020-06-02,82
2020-06-03,81
2020-06-04,81
2020-06-05,81
2020-06-06,81
2020-06-07,83
2020-06-08,82
2020-06-09,86
2020-06-10,85
2020-06-11,92
2020-06-12,87
2020-06-13,84
2020-06-14,81
2020-06-15,87
2020-06-16,91
2020-06-17,85
2020-06-18,90
2020-06-19,84
2020-06-20,75
2020-06-21,75
2020-06-22,100
2020-06-23,98
2020-06-24,87
2020-06-25,91
2020-06-26,89
2020-06-27,84
2020-06-28,83
2020-06-29,83
2020-06-30,86
2020-07-01,68
2020-07-02,75
2020-07-03,72
2020-07-04,64
2020-07-05,62
2020-07-06,75
2020-07-07,78
2020-07-08,69
2020-07-09,72
2020-07-10,74
2020-07-11,63
2020-07-12,62
2020-07-13,68
2020-07-14,68
2020-07-15,67
2020-07-16,71
2020-07-17,68
2020-07-18,64
2020-07-19,65
2020-07-20,69
2020-07-21,67
2020-07-22,71
2020-07-23,83
2020-07-24,100
2020-07-25,83
2020-07-26,65
2020-07-27,85
2020-07-28,85
2020-07-29,77
2020-07-30,80
2020-07-31,75
2020-08-01,88
2020-08-02,79
2020-08-03,93
2020-08-04,95
2020-08-05,92
2020-08-06,100
2020-08-07,98
2020-08-08,86
2020-08-09,83
2020-08-10,93
2020-08-11,96
2020-08-12,95
2020-08-13,93
2020-08-14,88
2020-08-15,78
2020-08-16,86
2020-08-17,91
2020-08-18,95
2020-08-19,96
2020-08-20,99
2020-08-21,90
2020-08-22,84
2020-08-23,78
2020-08-24,91
2020-08-25,90
2020-08-26,96
2020-08-27,94
2020-08-28,92
2020-08-29,94
2020-08-30,84
2020-08-31,89
2020-09-01,89
2020-09-02,100
2020-09-03,95
2020-09-04,88
2020-09-05,77
