Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
IUSG,2019-12-02,64.2047,0.20423230020753244,,0.5992,0.5813,0.0179,1,1,1,68.5728,0,1.7394,1,,43.2113,0,,85.578,65.6874,0.8652001170281379,,0.6504806032150163,,40.0819,,85.7143,0.0,0.857143,0.0,1,63.8817,64.5224,65.1631,1.2813999999999979,78890267.0455,
IUSG,2019-12-03,64.1871,0.20391715177441103,-0.0002741232339688779,0.5285,0.5708,-0.0422,1,1,-1,-11.1765,0,1.1476,1,-0.3402322639990802,35.7061,0,-0.17368604971384805,66.9991,42.2211,0.663131894844345,-0.2170990207763678,0.4085936493374633,-0.3572420281515176,37.4511,-0.06563561108630082,78.5714,7.1429,0.785714,0.071429,1,63.518,64.4129,65.3078,1.7897999999999996,79415633.5015,0.006659458456351719
IUSG,2019-12-04,64.192,0.20400489196317764,7.633932674933332e-05,0.4991,0.5564,-0.0574,1,1,-1,49.6164,0,2.0684,1,0.8023701638201465,50.8059,0,0.4228913266920779,46.8111,32.5248,0.44356274546271257,-0.3013174803840648,0.3086457039484195,-0.2296553145228334,33.9102,-0.09454728966572394,71.4286,0.0,0.714286,0.0,1,63.4341,64.3132,65.1923,1.7582000000000022,79746713.1012,0.004168947411264439
IUSG,2019-12-05,64.2154,0.20442389612994147,0.0003645314057827987,0.4703,0.5392,-0.0689,1,1,-1,43.1576,0,2.0684,1,0.0,50.8059,0,0.0,39.9897,45.2232,0.3693716915895271,-0.14572184802322533,0.4395388270704592,0.3904220779220779,30.5653,-0.09863993724602044,64.2857,0.0,0.642857,0.0,1,63.5392,64.1548,64.7705,1.2312999999999974,79947032.4344,0.002511944698533203
IUSG,2019-12-06,64.3122,0.2061572125121091,0.0015074265674589237,0.4861,0.5286,-0.0425,1,1,-1,116.1214,-1,2.7635,1,0.33605685554051445,67.2305,0,0.3232813511816542,48.3167,67.2022,0.45993798378790496,0.2082286188693588,0.6660949249331279,0.48601160466309345,29.0445,-0.04975576879664199,57.1429,78.5714,0.571429,0.785714,-1,63.5392,64.1548,64.7705,1.2312999999999974,80166386.4344,0.0027437416164257183
IUSG,2019-12-09,64.3836,0.2074357124055674,0.0011102092604513144,0.4757,0.518,-0.0423,1,1,-1,92.2007,0,2.1682,1,-0.2154152343043242,57.7604,0,-0.14086017506935108,63.05,76.7247,0.6201806105257891,0.30493183516258354,0.7642513670777779,0.14169923008472926,27.3489,-0.05837938336001649,50.0,71.4286,0.5,0.714286,-1,63.5968,64.2448,64.8927,1.2959000000000032,79495037.9013,-0.008374439250163434
IUSG,2019-12-10,64.3885,0.207523452594334,7.610633763865539e-05,0.4513,0.5047,-0.0534,1,1,-1,57.8512,0,2.0462,1,-0.056267871967530816,51.9405,0,-0.10075934377185748,73.3928,76.2516,0.732671188999355,0.16404123711340202,0.7593747261979003,-0.006166202018385244,24.9299,-0.08844962685884991,42.8571,64.2857,0.42857100000000004,0.642857,-1,63.9473,64.364,64.7807,0.8333999999999975,78588506.402,-0.011403623713288126
IUSG,2019-12-11,64.3757,0.2072942537338821,-0.000198793262772057,0.441,0.4919,-0.0509,1,1,-1,68.0656,0,2.0878,1,0.020330368487928994,58.6383,0,0.12895139630923846,73.9303,68.8145,0.7385171577824257,0.0073236066753143165,0.6827142614172254,-0.097533691096318,22.83,-0.08423218705249526,35.7143,57.1429,0.357143,0.571429,-1,64.072,64.4383,64.8046,0.7325999999999908,78866832.2356,0.003541559018519742
IUSG,2019-12-12,64.3718,0.20722441970608815,-6.0581865517603214e-05,0.4584,0.4852,-0.0268,1,1,-1,121.0676,-1,2.5483,1,0.2205671041287478,69.9723,0,0.1932866403016459,70.0762,65.1625,0.6965991144580869,-0.05213153470228042,0.645070016028697,-0.053070210493428,22.9594,0.005667980727113465,100.0,50.0,1.0,0.5,1,64.2038,64.5888,64.9739,0.7700999999999993,79014891.569,0.0018773333377675337
IUSG,2019-12-13,64.4109,0.20792455060012494,0.0006074088343032943,0.4816,0.4845,-0.0029,1,1,-1,137.8851,-1,2.6356,1,0.03425813287289581,74.2664,-1,0.06136857013418167,69.9635,75.9134,0.6953733643523156,-0.0016082493057557887,0.7558886134403975,0.16498599654709384,23.249,0.01261357004102895,100.0,42.8571,1.0,0.42857100000000004,1,64.1072,64.667,65.2268,1.1195999999999913,79258667.917,0.003085194995010675
