Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
IUSG,2020-01-24,69.0337,0.29070115,0.0013548,1.0777,1.046,0.0317,1,1,1,82.9828,0,4.1969,1,-0.18505214,52.5383,0,-0.37397392,74.1156,58.2368,0.74053252,-0.14176336,0.57368098,-0.2519425,50.8926,-0.04089871,100.0,7.1429,1.0,0.071429,1,69.0744,69.4812,69.8879,0.8135,81067250.9111,1.0,-0.00374083,69.94137519,69.96104044,68.79075917,69.09562683,635500.0,0.0,0.0,-0.58021545,-0.00832735,0.08578132,93,1.0,1.0,0.0,0.0,0.0,0.0
IUSG,2020-01-27,69.0239,0.29052567,-0.00014196,0.9283,1.0225,-0.0941,1,1,-1,-12.4391,0,1.6784,1,-0.60008578,26.9319,1,-0.48738539,58.3574,38.9847,0.56914286,-0.21261651,0.37523334,-0.33058307,47.1212,-0.07410508,92.8571,0.0,0.928571,0.0,1,67.856,69.1429,70.4297,2.5737,81119028.8029,1.0,0.0006387,67.81717082,68.24988139,67.52214702,67.91551208,638600.0,0.0,0.0,-1.18011475,-0.01707944,0.08636321,88,0.0,1.0,0.0,0.0,0.0,0.0
IUSG,2020-01-28,69.0416,0.29084261,0.00025643,0.8705,0.9921,-0.1215,1,1,-1,33.7028,0,3.0495,1,0.81690896,49.6723,0,0.84436672,42.8734,31.3985,0.40073545,-0.26533053,0.29703598,-0.19459429,43.0801,-0.0857597,85.7143,0.0,0.857143,0.0,1,67.7447,69.0052,70.2656,2.5209,81408848.5704,0.0,0.00357277,68.29904244,68.96777349,68.12202517,68.79075623,498500.0,0.0,0.0,0.87524414,0.01288725,0.0600657,89,1.0,1.0,0.0,0.0,0.0,0.0
IUSG,2020-01-29,69.0888,0.29168778,0.00068365,0.8248,0.9586,-0.1339,1,1,-1,54.5358,0,3.7306,1,0.22334809,52.1806,0,0.05049696,37.35,41.6667,0.34066173,-0.12883046,0.40287898,0.32702836,40.3038,-0.06444507,78.5714,0.0,0.785714,0.0,1,67.7393,68.8773,70.0153,2.276,81171591.0219,0.0,-0.0029144,69.2136355,69.3414859,68.73175805,68.90877533,565800.0,0.0,0.0,0.1180191,0.00171562,0.07269826,89,0.0,0.0,0.0,0.0,0.0,0.0
IUSG,2020-01-30,69.1478,0.29274424,0.00085397,0.8007,0.927,-0.1264,1,1,-1,41.2657,0,3.9917,1,0.06998874,58.0595,0,0.11266448,43.9787,58.871,0.41275694,0.17747523,0.58021822,0.41290287,36.6567,-0.09049023,71.4286,78.5714,0.714286,0.785714,-1,67.8741,68.777,69.6799,1.8058,81826035.0219,0.0,0.00806248,68.4662395,69.17430115,68.32856022,69.17430115,654400.0,0.0,0.0,0.26552582,0.00385329,0.08932895,91,0.0,0.0,0.0,0.0,0.0,0.0
IUSG,2020-01-31,69.0052,0.29019083,-0.00206225,0.6676,0.8751,-0.2076,1,1,-1,-23.1684,0,0.7593,1,-0.80978029,32.9382,0,-0.43268199,49.3987,47.6584,0.47170605,0.12324148,0.46464049,-0.1904605,34.2179,-0.06653081,64.2857,71.4286,0.642857,0.714286,-1,67.4493,68.5292,69.6091,2.1598,81365271.443,0.0,-0.00563101,69.14480969,69.15464607,67.65983904,67.85652161,625300.0,0.0,0.0,-1.31777954,-0.01905013,0.08386673,92,3.0,1.0,0.0,0.0,0.0,0.0
IUSG,2020-02-03,68.9019,0.28834112,-0.00149699,0.6129,0.8227,-0.2098,1,1,-1,-2.8894,0,2.4989,1,2.29105755,48.2006,0,0.46336473,51.1216,46.8354,0.4904447,0.03487744,0.45615713,-0.01726873,32.0229,-0.06414771,57.1429,64.2857,0.571429,0.642857,-1,67.7682,68.661,69.5538,1.7856,81526651.3827,0.0,0.0019834,68.09253214,68.90877893,68.09253214,68.57441711,892900.0,0.0,0.0,0.71789551,0.01057961,0.13409667,0,26.0,4.0,477.0,0.0,0.0,282.0
IUSG,2020-02-04,68.9334,0.28890516,0.00045717,0.6604,0.7902,-0.1298,1,1,-1,111.7327,-1,3.8636,1,0.54612029,65.0766,0,0.35012012,49.931,55.2991,0.47749547,-0.02328957,0.54339963,0.1807116,30.1741,-0.05773368,50.0,57.1429,0.5,0.571429,-1,67.5773,68.8616,70.1459,2.5686,81755063.8111,0.0,0.00280169,69.39066004,69.95121356,69.33165677,69.79386902,464200.0,0.0,0.0,1.2194519,0.0177829,0.0536274,0,7.0,5.0,0.0,0.0,0.0,0.0
IUSG,2020-02-05,69.0003,0.29010309,0.0009705,0.7238,0.777,-0.0531,1,1,-1,151.5318,-1,4.6154,1,0.19458536,69.3983,0,0.06640943,60.262,78.6515,0.58985771,0.20690553,0.78411252,0.42229259,29.618,-0.01842971,100.0,50.0,1.0,0.5,1,67.437,69.1232,70.8093,3.3723,81805011.622,0.0,0.00061094,70.55110531,70.55110531,69.82337087,70.21674347,616000.0,0.0,0.0,0.42287445,0.00605891,0.08212107,0,5.0,6.0,0.0,0.0,0.0,0.0
IUSG,2020-02-06,69.0947,0.29179343,0.00136811,0.7974,0.7811,0.0164,1,1,1,164.2082,-1,4.6031,1,-0.00266499,73.3316,-1,0.05667718,75.9356,93.8561,0.76032724,0.26009094,0.94083916,0.19331608,29.2388,-0.01280303,100.0,42.8571,1.0,0.428571,1,67.3389,69.4123,71.4857,4.1468,82165421.622,0.0,0.00440572,70.4527608,70.61994171,70.20690387,70.61994171,360400.0,0.0,0.0,0.40319824,0.0057422,0.03414359,0,2.0,6.0,0.0,0.0,0.0,0.0
