Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
LBTYK,2019-12-02,21.455,0.4190260882046864,,-0.6714,-0.6499,-0.0215,-1,-1,-1,-70.3291,0,-12.3605,-1,,37.4494,0,,60.6721,73.9781,0.5975984377854925,,0.7371231430649031,,42.2177,,0.0,78.5714,0.0,0.785714,-1,20.6131,21.238,21.8629,1.2498000000000005,70101584.4745,
LBTYK,2019-12-03,21.3695,0.41288979796892367,-0.003985085061757152,-0.6837,-0.6566,-0.027,-1,-1,-1,-92.4239,0,-13.2683,-1,0.07344363092107924,29.8031,1,-0.204176835943967,65.9403,57.4627,0.6577596839027955,0.0868306849441505,0.5586780145583495,-0.22324715017011793,42.3275,0.0026008048756801035,0.0,71.4286,0.0,0.714286,-1,20.6596,21.251,21.8424,1.1828000000000003,68962851.5016,-0.016244040436977945
LBTYK,2019-12-04,21.2855,0.40686116194782346,-0.003930836004585958,-0.6779,-0.6609,-0.017,-1,-1,-1,-86.1541,0,-12.8194,-1,-0.03383251810706723,34.8201,0,0.1683381930067676,56.9737,39.4802,0.5553638315366344,-0.13598057636983746,0.36438120531551565,-0.3129421346369035,42.2542,-0.0017317346878507648,0.0,64.2857,0.0,0.642857,-1,20.6487,21.247,21.8453,1.1966,68522808.9364,-0.006380863836377062
LBTYK,2019-12-05,21.2305,0.4029138407435317,-0.0025839186300533096,-0.6552,-0.6597,0.0045,-1,-1,1,-85.1112,0,-10.853,-1,-0.15339251447025604,41.9204,0,0.2039138313790025,43.6385,33.9727,0.4030798921980632,-0.2340588727781415,0.3048739245200251,-0.13950030648274325,42.6544,0.009471247828618344,0.0,57.1429,0.0,0.571429,-1,20.7111,21.135,21.5589,0.847800000000003,71570483.7751,0.04447679372759982
LBTYK,2019-12-06,21.1575,0.3976746689632898,-0.003438449400626476,-0.6388,-0.6556,0.0167,-1,-1,1,-74.2557,0,-10.5241,-1,-0.030304984796830286,37.5894,0,-0.1033148538658983,36.0997,34.8461,0.3169890827699616,-0.1727557088350883,0.314310812227112,0.025708878010873334,42.8827,0.005352320042012014,21.4286,50.0,0.214286,0.5,-1,20.8166,21.035,21.2534,0.4367999999999981,69023587.7406,-0.035585843495249306
LBTYK,2019-12-09,21.0765,0.3918613413715146,-0.0038284296348812252,-0.6506,-0.6546,0.004,-1,-1,1,-116.8409,1,-12.1535,-1,0.1548255907868605,25.5777,1,-0.31955019234145793,33.1167,30.5313,0.2829241275351727,-0.08263226564209666,0.26769038278065127,-0.123824473900953,44.1008,0.02840539424989564,14.2857,42.8571,0.142857,0.42857100000000004,-1,20.5691,20.915,21.2609,0.6918000000000006,66760008.9108,-0.03279427951944252
LBTYK,2019-12-10,21.094,0.393117307209244,0.000830308637582229,-0.6209,-0.6478,0.0269,-1,-1,1,-95.2873,0,-10.5454,-1,-0.13231579380425382,46.6294,0,0.8230489840759723,34.0334,36.7228,0.2933925634935136,0.027680898157123105,0.3345881275006294,0.2027918889795062,45.2374,0.025772775097050424,7.1429,35.7143,0.071429,0.357143,-1,20.5875,20.937,21.2865,0.6990000000000016,69562937.14,0.041985138632097435
LBTYK,2019-12-11,21.0445,0.3895647181253812,-0.0023466388546507003,-0.6296,-0.6442,0.0146,-1,-1,1,-111.7443,1,-9.5899,-1,-0.09060822728393428,32.4125,0,-0.3048913346515288,30.3346,23.7497,0.2511533893659784,-0.10868147173071166,0.19441674221002966,-0.3532709924079863,45.9601,0.015975719205789815,0.0,28.5714,0.0,0.285714,-1,20.3584,20.842,21.3256,0.9672000000000018,66336056.6809,-0.04638792713145063
LBTYK,2019-12-12,20.9415,0.3821724620518894,-0.004894390458314428,-0.6185,-0.6391,0.0205,-1,-1,1,-102.6342,1,-6.1392,-1,-0.35982648411349444,38.8349,0,0.1981457770921711,29.2117,27.1625,0.23833021194957063,-0.03701713554818583,0.23129126747536785,0.14369865724619682,46.6203,0.014364633671380246,7.1429,21.4286,0.071429,0.214286,-1,20.3312,20.748,21.1648,0.8336000000000006,65454131.2508,-0.01329481241766263
LBTYK,2019-12-13,20.8965,0.37894283561201414,-0.002148843206074145,-0.5701,-0.6253,0.0552,-1,-1,1,-20.7222,0,-3.5289,-1,-0.4251856919468334,55.05,0,0.4175393782396762,26.1225,27.4553,0.20305248492600037,-0.10575214725606527,0.23445490466409588,0.010779567418315683,43.8971,-0.05841232252902702,0.0,14.2857,0.0,0.142857,-1,20.3159,20.758,21.2001,0.8841999999999999,64117531.5841,-0.020420401908300658
LBTYK,2019-12-16,20.8685,0.3769332902716475,-0.0013399373100757876,-0.536,-0.6074,0.0714,-1,-1,1,-20.1441,0,-3.4164,-1,-0.03187962254526914,49.8158,0,-0.09508083560399627,31.9313,41.176,0.26938721907546137,0.2223676906881042,0.3827039373668987,0.49974686126176004,40.6286,-0.07445822161372853,14.2857,7.1429,0.142857,0.071429,1,20.3976,20.822,21.2464,0.8488000000000007,62012469.6848,-0.032831299759861925
LBTYK,2019-12-17,20.8525,0.3757849786485807,-0.0007667058006086585,-0.5187,-0.5897,0.0709,-1,-1,1,-74.2351,0,-4.6688,-1,0.36658470905046253,42.2785,0,-0.15130340173198065,37.0715,42.5833,0.32808674401607896,0.16097684716876545,0.39790949274837745,0.03417767631630074,38.1663,-0.06060509099501334,7.1429,0.0,0.071429,0.0,1,20.3781,20.768,21.1579,0.7798000000000016,59150133.6848,-0.04615742631359178
LBTYK,2019-12-18,20.8745,0.37736390713029755,0.0010550293729769582,-0.4614,-0.564,0.1026,-1,-1,1,-13.4677,0,-2.8414,-1,-0.39140678546949964,60.4837,0,0.4306018425440826,42.7857,44.5979,0.39334117485839576,0.1541399727553511,0.4196767860557938,0.047309626074071326,34.3981,-0.09873107951255428,0.0,71.4286,0.0,0.714286,-1,20.4963,20.907,21.3177,0.821399999999997,61667223.1764,0.04255424856709705
LBTYK,2019-12-19,20.9425,0.3822442315283309,0.003257563055402421,-0.3642,-0.5241,0.1599,-1,-1,1,141.9693,-1,0.6002,1,-1.2112338987822904,73.4735,-1,0.21476530040324918,48.7688,59.125,0.46166636214142154,0.1398387779094417,0.5766387867537819,0.3257350682431235,33.7818,-0.017916687258889372,100.0,64.2857,1.0,0.642857,1,20.4132,21.137,21.8608,1.4476000000000013,64552672.6116,0.046790649660778914
LBTYK,2019-12-20,21.0085,0.38698101697348125,0.003151486212247941,-0.2942,-0.4781,0.1839,-1,-1,1,149.1648,-1,-0.3221,-1,-1.536654448517161,67.3737,0,-0.0830204087187898,60.1511,76.7304,0.5916487758085145,0.23339307097980677,0.7668611165435103,0.29776575052854126,33.2272,-0.016417124013521883,92.8571,57.1429,0.928571,0.571429,1,20.4362,21.259,22.0818,1.6456000000000017,64743719.3316,0.0029595477967193492
LBTYK,2019-12-23,21.1245,0.39530627624071485,0.00552157460075682,-0.2281,-0.4281,0.2,-1,-1,1,153.4571,-1,1.6348,1,-6.075442409189693,69.7856,0,0.035798835450628404,72.3792,81.2821,0.731289968938425,0.20328971540005084,0.8160411964339931,0.05932068645543353,32.728,-0.01502383589348491,85.7143,50.0,0.857143,0.5,1,20.6066,21.427,22.2474,1.6407999999999987,66534027.7256,0.027652232718211836
