Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
LBTYK,2020-01-24,19.911,0.30821402,-0.00280463,-0.5282,-0.4108,-0.1174,-1,-1,-1,-94.7486,0,-0.26564338,-10.8815,-1,-0.0335459,27.5764,1,0.30823422,23.1123,22.6449,0.16867691,-0.30708555,0.18247963,0.39909425,36.4588,-0.00811004,14.2857,85.7143,0.142857,0.857143,-1,18.7882,19.582,20.3758,1.5876,0.0,65949991.2326,-0.03716944,19.62000084,19.95000076,19.29999924,19.40999985,3923800.0,0.0,0.0,0.10000038,0.00517868,0.17409171,87,1.0,1.0,0.0,0.0,0.0,0.0
LBTYK,2020-01-27,19.905,0.3077834,-0.00030134,-0.506,-0.4298,-0.0762,-1,-1,-1,-81.8894,0,-0.13571916,-7.5199,-1,-0.308928,48.3184,0,0.75216489,25.1921,36.7458,0.1924276,0.08998672,0.33483664,0.6226965,36.5791,0.00329961,7.1429,78.5714,0.071429,0.785714,-1,19.0956,19.471,19.8464,0.7508,-1.0,68531934.1044,0.03915001,19.19000053,19.89999962,19.12000084,19.79999924,3472300.0,0.0,0.0,0.38999939,0.0200927,0.15087023,82,0.0,1.0,0.0,0.0,0.0,0.0
LBTYK,2020-01-28,19.9135,0.30839344,0.00042703,-0.4601,-0.4359,-0.0243,-1,-1,-1,-43.6516,0,-0.46694444,-8.0568,-1,0.07139723,59.0353,0,0.22179749,38.8709,57.222,0.34863535,0.54297974,0.55607731,0.55723919,34.7867,-0.04900066,0.0,71.4286,0.0,0.714286,-1,18.9533,19.579,20.2047,1.2514,-1.0,69585235.6234,0.0153695,19.54000092,20.32999992,19.54000092,20.09000015,2773700.0,0.0,0.0,0.29000092,0.01464651,0.11493993,0,1.0,1.0,0.0,0.0,0.0,0.0
LBTYK,2020-01-29,19.8525,0.3040155,-0.00306325,-0.456,-0.4399,-0.0161,-1,-1,-1,-60.0462,0,0.37557844,-9.0825,-1,0.12730861,41.489,0,-0.29721709,52.6615,64.0168,0.50611982,0.35477954,0.62949357,0.11874454,33.2025,-0.04554039,0.0,64.2857,0.0,0.642857,-1,19.0895,19.645,20.2005,1.111,0.0,68134790.8147,-0.02084415,20.10000038,20.11000061,19.53000069,19.62000084,2111400.0,0.0,0.0,-0.46999931,-0.02339469,0.0808766,66,0.0,0.0,0.0,0.0,0.0,0.0
LBTYK,2020-01-30,19.7865,0.29927872,-0.00332452,-0.4301,-0.438,0.0079,-1,-1,1,-58.6574,0,-0.02312886,-8.9699,-1,-0.01239747,50.2362,0,0.21083179,61.4288,63.0477,0.60623972,0.16648405,0.61902267,-0.01513821,32.1142,-0.03277765,42.8571,57.1429,0.428571,0.571429,-1,19.2991,19.751,20.2029,0.9038,0.0,70034722.2663,0.02788489,19.44000053,19.88999939,19.42000008,19.84000015,2355900.0,0.0,0.0,0.21999931,0.01121301,0.0934517,17,0.0,0.0,0.0,0.0,0.0,0.0
LBTYK,2020-01-31,19.6735,0.29116877,-0.00571096,-0.4336,-0.4371,0.0035,-1,-1,1,-66.8443,0,0.13957148,-9.8148,-1,0.0941928,38.472,0,-0.23417774,57.4961,45.4237,0.56132948,-0.06402046,0.42859937,-0.27953438,30.9573,-0.03602456,35.7143,50.0,0.357143,0.5,-1,19.3537,19.765,20.1763,0.8226,0.0,68244784.7063,-0.02555786,19.87000084,19.92000008,19.42000008,19.47999954,2355200.0,0.0,0.0,-0.36000061,-0.01814519,0.09341569,35,3.0,1.0,0.0,0.0,0.0,0.0
LBTYK,2020-02-03,19.583,0.28467363,-0.0046001,-0.4338,-0.4364,0.0027,-1,-1,1,-74.9166,0,0.12076273,-8.4706,-1,-0.13695643,37.5558,0,-0.02381472,46.6719,31.5442,0.4377204,-0.18825973,0.27863454,-0.30555635,29.9886,-0.03129149,28.5714,42.8571,0.285714,0.428571,-1,19.2175,19.695,20.1725,0.955,0.0,67148512.7063,-0.01606382,19.56999969,19.65999985,19.39999962,19.45000076,1778800.0,0.0,0.0,-0.02999878,-0.00153998,0.06377037,42,26.0,4.0,477.0,0.0,0.0,282.0
LBTYK,2020-02-04,19.6095,0.28657552,0.00135321,-0.4002,-0.4292,0.0289,-1,-1,1,-42.3312,0,-0.43495567,-8.1595,-1,-0.03672703,53.9901,0,0.43759686,36.0209,31.0948,0.31608921,-0.22821012,0.27377887,-0.01424668,27.9497,-0.06798917,21.4286,35.7143,0.214286,0.357143,-1,19.3163,19.64,19.9637,0.6474,0.0,68631061.0319,0.02207865,19.55999947,19.87000084,19.44000053,19.80999947,2056400.0,0.0,0.0,0.3599987,0.01850893,0.07804785,46,7.0,5.0,0.0,0.0,0.0,0.0
LBTYK,2020-02-05,19.68,0.29163527,0.0035952,-0.3547,-0.4143,0.0596,-1,-1,1,36.8263,0,-1.86995644,-6.5654,-1,-0.19536736,60.6437,0,0.12323741,34.6167,41.2111,0.30005367,-0.03898292,0.38308318,0.32533736,26.4892,-0.05225459,14.2857,28.5714,0.142857,0.285714,-1,19.2874,19.715,20.1426,0.8552,-1.0,67141830.4119,-0.02169908,20.0,20.38999939,19.88999939,20.0,2567600.0,0.0,0.0,0.19000053,0.00959114,0.10433982,45,5.0,6.0,0.0,0.0,0.0,0.0
LBTYK,2020-02-06,19.745,0.29630028,0.00330285,-0.3177,-0.395,0.0773,-1,-1,1,37.405,0,0.01571431,-2.4915,-1,-0.62051056,58.6383,0,-0.03306856,43.5267,58.2742,0.40180317,0.25739022,0.56744609,0.41404136,25.1746,-0.04962777,7.1429,21.4286,0.071429,0.214286,-1,19.2742,19.739,20.2038,0.9296,-1.0,66155827.0893,-0.01468538,20.10000038,20.22999954,19.92000008,19.95999908,1329000.0,0.0,0.0,-0.04000092,-0.00200005,0.04063632,45,2.0,6.0,0.0,0.0,0.0,0.0
LBTYK,2020-02-07,19.75,0.29665913,0.00025323,-0.325,-0.381,0.056,-1,-1,1,-56.9689,0,-2.52302901,-2.5538,-1,0.02500502,36.868,0,-0.37126417,47.8419,44.0404,0.45108145,0.09913915,0.41365313,-0.24425561,24.0255,-0.04564521,0.0,14.2857,0.0,0.142857,-1,19.2611,19.735,20.2089,0.9478,0.0,64905101.2203,-0.01890576,19.93000031,20.02000046,19.29000092,19.45999908,2355300.0,0.0,0.0,-0.5,-0.0250501,0.09342084,47,5.0,7.0,0.0,0.0,0.0,0.0
LBTYK,2020-02-10,19.702,0.2932142,-0.00243038,-0.3382,-0.3724,0.0342,-1,-1,1,-128.9571,1,1.26364034,-2.719,-1,0.06468792,32.6282,0,-0.11499946,45.6215,34.5499,0.42572515,-0.0464112,0.31111044,-0.21549532,24.4032,0.0157208,78.5714,100.0,0.785714,1.0,-1,19.1662,19.709,20.2518,1.0856,1.0,66524868.7658,0.02495594,19.39999962,19.43000031,18.82999992,19.31999969,2545200.0,0.0,0.0,-0.13999939,-0.00719421,0.10318775,33,9.0,9.0,0.0,0.0,0.0,0.0
