Date,LBTYK_daily_trend
2019-12-01,0
2019-12-02,16
2019-12-03,66
2019-12-04,33
2019-12-05,34
2019-12-06,35
2019-12-07,19
2019-12-08,19
2019-12-09,34
2019-12-10,100
2019-12-11,82
2019-12-12,17
2019-12-13,34
2019-12-14,38
2019-12-15,37
2019-12-16,33
2019-12-17,50
2019-12-18,82
2019-12-19,34
2019-12-20,18
2019-12-21,19
2019-12-22,19
2019-12-23,35
2019-12-24,19
2019-12-25,0
2019-12-26,37
2019-12-27,55
2019-12-28,19
2019-12-29,19
2019-12-30,35
2019-12-31,0
2020-01-01,42
2020-01-02,54
2020-01-03,36
2020-01-04,96
2020-01-05,19
2020-01-06,70
2020-01-07,68
2020-01-08,51
2020-01-09,51
2020-01-10,88
2020-01-11,19
2020-01-12,19
2020-01-13,31
2020-01-14,75
2020-01-15,99
2020-01-16,68
2020-01-17,17
2020-01-18,38
2020-01-19,37
2020-01-20,34
2020-01-21,100
2020-01-22,84
2020-01-23,68
2020-01-24,87
2020-01-25,38
2020-01-26,0
2020-01-27,82
2020-01-28,0
2020-01-29,66
2020-01-30,17
2020-01-31,35
2020-02-01,0
2020-02-02,51
2020-02-03,42
2020-02-04,46
2020-02-05,45
2020-02-06,45
2020-02-07,47
2020-02-08,13
2020-02-09,13
2020-02-10,33
2020-02-11,56
2020-02-12,67
2020-02-13,57
2020-02-14,35
2020-02-15,26
2020-02-16,25
2020-02-17,23
2020-02-18,100
2020-02-19,22
2020-02-20,56
2020-02-21,35
2020-02-22,50
2020-02-23,0
2020-02-24,33
2020-02-25,34
2020-02-26,32
2020-02-27,22
2020-02-28,68
2020-02-29,0
2020-03-01,42
2020-03-02,37
2020-03-03,61
2020-03-04,25
2020-03-05,100
2020-03-06,51
2020-03-07,42
2020-03-08,28
2020-03-09,62
2020-03-10,49
2020-03-11,24
2020-03-12,12
2020-03-13,25
2020-03-14,0
2020-03-15,14
2020-03-16,24
2020-03-17,24
2020-03-18,0
2020-03-19,25
2020-03-20,12
2020-03-21,14
2020-03-22,0
2020-03-23,56
2020-03-24,24
2020-03-25,49
2020-03-26,37
2020-03-27,35
2020-03-28,26
2020-03-29,40
2020-03-30,23
2020-03-31,58
2020-04-01,49
2020-04-02,66
2020-04-03,17
2020-04-04,0
2020-04-05,19
2020-04-06,17
2020-04-07,17
2020-04-08,17
2020-04-09,87
2020-04-10,54
2020-04-11,19
2020-04-12,58
2020-04-13,17
2020-04-14,33
2020-04-15,33
2020-04-16,68
2020-04-17,68
2020-04-18,38
2020-04-19,38
2020-04-20,49
2020-04-21,33
2020-04-22,17
2020-04-23,65
2020-04-24,85
2020-04-25,19
2020-04-26,0
2020-04-27,33
2020-04-28,100
2020-04-29,33
2020-04-30,48
2020-05-01,19
2020-05-02,26
2020-05-03,17
2020-05-04,37
2020-05-05,16
2020-05-06,17
2020-05-07,100
2020-05-08,15
2020-05-09,3
2020-05-10,7
2020-05-11,9
2020-05-12,17
2020-05-13,32
2020-05-14,9
2020-05-15,6
2020-05-16,7
2020-05-17,14
2020-05-18,6
2020-05-19,15
2020-05-20,6
2020-05-21,3
2020-05-22,12
2020-05-23,0
2020-05-24,10
2020-05-25,3
2020-05-26,15
2020-05-27,18
2020-05-28,15
2020-05-29,9
2020-05-30,3
2020-05-31,7
2020-06-01,100
2020-06-02,49
2020-06-03,62
2020-06-04,78
2020-06-05,65
2020-06-06,19
2020-06-07,0
2020-06-08,47
2020-06-09,78
2020-06-10,16
2020-06-11,34
