Date,LCA_daily_trend
2019-12-01,0
2019-12-02,88
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,100
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,100
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,100
2020-06-30,33
2020-07-01,96
2020-07-02,64
2020-07-03,0
2020-07-04,36
2020-07-05,0
2020-07-06,32
2020-07-07,97
2020-07-08,97
2020-07-09,100
2020-07-10,34
2020-07-11,0
2020-07-12,37
2020-07-13,33
2020-07-14,33
2020-07-15,33
2020-07-16,33
2020-07-17,69
2020-07-18,38
2020-07-19,38
2020-07-20,33
2020-07-21,33
2020-07-22,0
2020-07-23,0
2020-07-24,69
2020-07-25,0
2020-07-26,0
2020-07-27,33
2020-07-28,67
2020-07-29,0
2020-07-30,33
2020-07-31,70
2020-08-01,59
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,78
2020-08-08,29
2020-08-09,0
2020-08-10,25
2020-08-11,51
2020-08-12,0
2020-08-13,50
2020-08-14,26
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,50
2020-08-19,75
2020-08-20,26
2020-08-21,26
2020-08-22,0
2020-08-23,0
2020-08-24,74
2020-08-25,25
2020-08-26,100
2020-08-27,49
2020-08-28,26
2020-08-29,0
2020-08-30,0
2020-08-31,49
2020-09-01,0
2020-09-02,49
2020-09-03,25
2020-09-04,51
2020-09-05,0
2020-09-06,29
2020-09-07,0
2020-09-08,0
2020-09-09,49
2020-09-10,100
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,49
2020-09-15,24
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,28
2020-09-21,48
2020-09-22,0
2020-09-23,24
2020-09-24,48
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,75
2020-09-29,0
2020-09-30,0
2020-10-01,31
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,31
2020-10-07,31
2020-10-08,0
2020-10-09,0
2020-10-10,38
2020-10-11,37
2020-10-12,100
2020-10-13,33
2020-10-14,0
2020-10-15,0
2020-10-16,69
2020-10-17,0
2020-10-18,37
2020-10-19,0
2020-10-20,0
2020-10-21,65
2020-10-22,33
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,33
2020-10-27,65
2020-10-28,0
2020-10-29,33
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,17
2020-11-04,0
2020-11-05,30
2020-11-06,0
2020-11-07,18
2020-11-08,18
2020-11-09,0
2020-11-10,0
2020-11-11,17
2020-11-12,34
2020-11-13,18
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,33
2020-11-18,0
2020-11-19,51
2020-11-20,17
2020-11-21,0
2020-11-22,0
2020-11-23,68
2020-11-24,100
2020-11-25,17
2020-11-26,51
2020-11-27,17
2020-11-28,19
2020-11-29,18
2020-11-30,0
2020-12-01,23
2020-12-02,67
2020-12-03,23
2020-12-04,70
2020-12-05,25
2020-12-06,0
2020-12-07,23
2020-12-08,92
2020-12-09,23
2020-12-10,23
2020-12-11,48
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,23
2020-12-16,46
2020-12-17,93
2020-12-18,74
2020-12-19,26
2020-12-20,52
2020-12-21,24
2020-12-22,73
2020-12-23,0
2020-12-24,27
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,49
2020-12-30,100
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,52
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,50
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,56
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,100
2021-01-26,0
2021-01-27,0
2021-01-28,50
2021-01-29,0
2021-01-30,0
2021-01-31,58
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,100
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,100
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,98
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,0
2021-08-01,0
2021-08-02,0
2021-08-03,0
2021-08-04,0
2021-08-05,0
2021-08-06,0
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,0
2021-08-11,0
2021-08-12,0
2021-08-13,0
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,100
2021-08-18,0
2021-08-19,0
2021-08-20,0
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,0
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,0
2021-10-01,100
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
