Date,MEDP_daily_trend
2019-12-01,36
2019-12-02,64
2019-12-03,33
2019-12-04,16
2019-12-05,67
2019-12-06,17
2019-12-07,0
2019-12-08,38
2019-12-09,34
2019-12-10,100
2019-12-11,16
2019-12-12,33
2019-12-13,34
2019-12-14,0
2019-12-15,19
2019-12-16,17
2019-12-17,0
2019-12-18,16
2019-12-19,34
2019-12-20,18
2019-12-21,0
2019-12-22,19
2019-12-23,53
2019-12-24,19
2019-12-25,0
2019-12-26,18
2019-12-27,18
2019-12-28,19
2019-12-29,0
2019-12-30,18
2019-12-31,19
2020-01-01,31
2020-01-02,27
2020-01-03,26
2020-01-04,0
2020-01-05,56
2020-01-06,26
2020-01-07,51
2020-01-08,25
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,46
2020-01-14,66
2020-01-15,24
2020-01-16,50
2020-01-17,51
2020-01-18,85
2020-01-19,28
2020-01-20,76
2020-01-21,0
2020-01-22,100
2020-01-23,50
2020-01-24,26
2020-01-25,0
2020-01-26,0
2020-01-27,73
2020-01-28,73
2020-01-29,73
2020-01-30,75
2020-01-31,50
2020-02-01,23
2020-02-02,23
2020-02-03,56
2020-02-04,0
2020-02-05,40
2020-02-06,60
2020-02-07,63
2020-02-08,0
2020-02-09,22
2020-02-10,0
2020-02-11,0
2020-02-12,39
2020-02-13,100
2020-02-14,62
2020-02-15,45
2020-02-16,0
2020-02-17,60
2020-02-18,20
2020-02-19,39
2020-02-20,39
2020-02-21,41
2020-02-22,22
2020-02-23,0
2020-02-24,39
2020-02-25,79
2020-02-26,38
2020-02-27,38
2020-02-28,20
2020-02-29,22
2020-03-01,18
2020-03-02,32
2020-03-03,32
2020-03-04,96
2020-03-05,49
2020-03-06,100
2020-03-07,18
2020-03-08,37
2020-03-09,49
2020-03-10,48
2020-03-11,0
2020-03-12,16
2020-03-13,33
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,32
2020-03-18,49
2020-03-19,16
2020-03-20,0
2020-03-21,0
2020-03-22,18
2020-03-23,15
2020-03-24,47
2020-03-25,32
2020-03-26,16
2020-03-27,31
2020-03-28,17
2020-03-29,17
2020-03-30,30
2020-03-31,45
2020-04-01,60
2020-04-02,40
2020-04-03,41
2020-04-04,23
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,41
2020-04-09,21
2020-04-10,43
2020-04-11,23
2020-04-12,47
2020-04-13,21
2020-04-14,0
2020-04-15,100
2020-04-16,20
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,78
2020-04-21,0
2020-04-22,20
2020-04-23,39
2020-04-24,21
2020-04-25,0
2020-04-26,0
2020-04-27,20
2020-04-28,0
2020-04-29,40
2020-04-30,57
2020-05-01,21
2020-05-02,22
2020-05-03,23
2020-05-04,20
2020-05-05,0
2020-05-06,0
2020-05-07,61
2020-05-08,41
2020-05-09,45
2020-05-10,46
2020-05-11,20
2020-05-12,39
2020-05-13,100
2020-05-14,20
2020-05-15,21
2020-05-16,23
2020-05-17,0
2020-05-18,20
2020-05-19,0
2020-05-20,20
2020-05-21,63
2020-05-22,42
2020-05-23,0
2020-05-24,0
2020-05-25,21
2020-05-26,20
2020-05-27,61
2020-05-28,41
2020-05-29,42
2020-05-30,0
2020-05-31,23
2020-06-01,17
2020-06-02,50
2020-06-03,0
2020-06-04,31
2020-06-05,16
2020-06-06,19
2020-06-07,19
2020-06-08,0
2020-06-09,63
2020-06-10,100
2020-06-11,33
2020-06-12,0
2020-06-13,19
2020-06-14,0
2020-06-15,34
2020-06-16,33
2020-06-17,0
2020-06-18,17
2020-06-19,52
2020-06-20,0
2020-06-21,0
2020-06-22,17
2020-06-23,34
2020-06-24,35
2020-06-25,17
2020-06-26,0
2020-06-27,19
2020-06-28,0
2020-06-29,17
2020-06-30,17
2020-07-01,39
2020-07-02,19
2020-07-03,20
2020-07-04,0
2020-07-05,0
2020-07-06,38
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,21
2020-07-11,45
2020-07-12,0
2020-07-13,0
2020-07-14,99
2020-07-15,20
2020-07-16,20
2020-07-17,63
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,60
2020-07-22,40
2020-07-23,40
2020-07-24,82
2020-07-25,45
2020-07-26,0
2020-07-27,99
2020-07-28,100
2020-07-29,0
2020-07-30,0
2020-07-31,21
2020-08-01,0
2020-08-02,23
2020-08-03,20
2020-08-04,39
2020-08-05,100
2020-08-06,0
2020-08-07,0
2020-08-08,45
2020-08-09,23
2020-08-10,20
2020-08-11,59
2020-08-12,20
2020-08-13,19
2020-08-14,20
2020-08-15,0
2020-08-16,0
2020-08-17,79
2020-08-18,39
2020-08-19,20
2020-08-20,60
2020-08-21,80
2020-08-22,23
2020-08-23,44
2020-08-24,76
2020-08-25,19
2020-08-26,0
2020-08-27,38
2020-08-28,0
2020-08-29,44
2020-08-30,0
2020-08-31,19
2020-09-01,25
2020-09-02,26
2020-09-03,76
2020-09-04,26
2020-09-05,0
2020-09-06,0
2020-09-07,53
2020-09-08,74
2020-09-09,25
2020-09-10,78
2020-09-11,26
2020-09-12,0
2020-09-13,0
2020-09-14,25
2020-09-15,25
2020-09-16,100
2020-09-17,51
2020-09-18,0
2020-09-19,0
2020-09-20,29
2020-09-21,50
2020-09-22,25
2020-09-23,75
2020-09-24,50
