Date,daily_trend
2019-12-01,73
2019-12-02,86
2019-12-03,87
2019-12-04,82
2019-12-05,85
2019-12-06,79
2019-12-07,70
2019-12-08,68
2019-12-09,89
2019-12-10,84
2019-12-11,83
2019-12-12,78
2019-12-13,80
2019-12-14,81
2019-12-15,69
2019-12-16,93
2019-12-17,100
2019-12-18,83
2019-12-19,86
2019-12-20,89
2019-12-21,83
2019-12-22,73
2019-12-23,79
2019-12-24,64
2019-12-25,57
2019-12-26,88
2019-12-27,90
2019-12-28,65
2019-12-29,65
2019-12-30,72
2019-12-31,59
2020-01-01,52
2020-01-02,90
2020-01-03,88
2020-01-04,78
2020-01-05,76
2020-01-06,80
2020-01-07,88
2020-01-08,94
2020-01-09,100
2020-01-10,88
2020-01-11,79
2020-01-12,68
2020-01-13,83
2020-01-14,83
2020-01-15,84
2020-01-16,87
2020-01-17,86
2020-01-18,64
2020-01-19,66
2020-01-20,89
2020-01-21,85
2020-01-22,88
2020-01-23,91
2020-01-24,81
2020-01-25,72
2020-01-26,68
2020-01-27,93
2020-01-28,94
2020-01-29,87
2020-01-30,93
2020-01-31,79
2020-02-01,85
2020-02-02,67
2020-02-03,88
2020-02-04,85
2020-02-05,94
2020-02-06,82
2020-02-07,92
2020-02-08,79
2020-02-09,85
2020-02-10,88
2020-02-11,99
2020-02-12,90
2020-02-13,100
2020-02-14,87
2020-02-15,90
2020-02-16,77
2020-02-17,95
2020-02-18,99
2020-02-19,87
2020-02-20,83
2020-02-21,91
2020-02-22,75
2020-02-23,69
2020-02-24,78
2020-02-25,75
2020-02-26,100
2020-02-27,88
2020-02-28,92
2020-02-29,87
2020-03-01,87
2020-03-02,91
2020-03-03,98
2020-03-04,92
2020-03-05,96
2020-03-06,89
2020-03-07,77
2020-03-08,75
2020-03-09,96
2020-03-10,100
2020-03-11,98
2020-03-12,87
2020-03-13,87
2020-03-14,82
2020-03-15,83
2020-03-16,74
2020-03-17,73
2020-03-18,75
2020-03-19,80
2020-03-20,68
2020-03-21,61
2020-03-22,64
2020-03-23,66
2020-03-24,65
2020-03-25,60
2020-03-26,68
2020-03-27,73
2020-03-28,72
2020-03-29,61
2020-03-30,70
2020-03-31,76
2020-04-01,76
2020-04-02,69
2020-04-03,65
2020-04-04,64
2020-04-05,60
2020-04-06,71
2020-04-07,73
2020-04-08,75
2020-04-09,67
2020-04-10,73
2020-04-11,83
2020-04-12,73
2020-04-13,84
2020-04-14,81
2020-04-15,87
2020-04-16,92
2020-04-17,77
2020-04-18,77
2020-04-19,77
2020-04-20,89
2020-04-21,84
2020-04-22,93
2020-04-23,88
2020-04-24,87
2020-04-25,92
2020-04-26,87
2020-04-27,95
2020-04-28,100
2020-04-29,99
2020-04-30,92
2020-05-01,80
2020-05-02,91
2020-05-03,89
2020-05-04,100
2020-05-05,97
2020-05-06,95
2020-05-07,93
2020-05-08,97
2020-05-09,96
2020-05-10,79
2020-05-11,89
2020-05-12,96
2020-05-13,93
2020-05-14,93
2020-05-15,93
2020-05-16,84
2020-05-17,89
2020-05-18,92
2020-05-19,100
2020-05-20,91
2020-05-21,94
2020-05-22,95
2020-05-23,92
2020-05-24,93
2020-05-25,97
2020-05-26,100
2020-05-27,91
2020-05-28,93
2020-05-29,85
2020-05-30,86
2020-05-31,87
2020-06-01,91
2020-06-02,89
2020-06-03,90
2020-06-04,91
2020-06-05,97
2020-06-06,87
2020-06-07,94
2020-06-08,93
2020-06-09,94
2020-06-10,88
2020-06-11,93
2020-06-12,99
2020-06-13,92
2020-06-14,80
2020-06-15,91
2020-06-16,88
2020-06-17,90
2020-06-18,92
2020-06-19,92
2020-06-20,78
2020-06-21,68
2020-06-22,83
2020-06-23,100
2020-06-24,95
2020-06-25,81
2020-06-26,80
2020-06-27,77
2020-06-28,75
2020-06-29,89
2020-06-30,89
2020-07-01,100
2020-07-02,83
2020-07-03,97
2020-07-04,89
2020-07-05,86
2020-07-06,100
2020-07-07,95
2020-07-08,82
2020-07-09,77
2020-07-10,77
2020-07-11,84
2020-07-12,88
2020-07-13,83
2020-07-14,89
2020-07-15,87
2020-07-16,86
2020-07-17,88
2020-07-18,81
2020-07-19,79
2020-07-20,85
2020-07-21,84
2020-07-22,90
2020-07-23,90
2020-07-24,86
2020-07-25,80
2020-07-26,80
2020-07-27,95
2020-07-28,95
2020-07-29,99
2020-07-30,89
2020-07-31,85
2020-08-01,94
2020-08-02,76
2020-08-03,93
2020-08-04,84
2020-08-05,99
2020-08-06,85
2020-08-07,94
2020-08-08,98
2020-08-09,85
2020-08-10,99
2020-08-11,96
2020-08-12,100
2020-08-13,94
2020-08-14,96
2020-08-15,82
2020-08-16,86
2020-08-17,78
2020-08-18,98
2020-08-19,87
2020-08-20,90
2020-08-21,94
2020-08-22,83
2020-08-23,72
2020-08-24,87
2020-08-25,90
2020-08-26,92
2020-08-27,81
2020-08-28,86
2020-08-29,79
2020-08-30,81
2020-08-31,84
2020-09-01,88
2020-09-02,100
2020-09-03,86
2020-09-04,95
2020-09-05,93
2020-09-06,80
2020-09-07,96
2020-09-08,87
2020-09-09,82
2020-09-10,84
2020-09-11,89
2020-09-12,85
2020-09-13,80
2020-09-14,82
2020-09-15,87
2020-09-16,86
2020-09-17,89
2020-09-18,91
2020-09-19,81
2020-09-20,78
2020-09-21,88
2020-09-22,91
2020-09-23,89
2020-09-24,81
2020-09-25,92
2020-09-26,83
2020-09-27,74
2020-09-28,82
2020-09-29,84
2020-09-30,80
2020-10-01,91
2020-10-02,92
2020-10-03,86
2020-10-04,81
2020-10-05,89
2020-10-06,89
2020-10-07,87
2020-10-08,85
2020-10-09,88
2020-10-10,82
2020-10-11,85
2020-10-12,90
2020-10-13,91
2020-10-14,82
2020-10-15,83
2020-10-16,96
2020-10-17,85
2020-10-18,82
2020-10-19,86
2020-10-20,87
2020-10-21,100
2020-10-22,93
2020-10-23,81
2020-10-24,83
2020-10-25,77
2020-10-26,91
2020-10-27,84
2020-10-28,88
2020-10-29,87
2020-10-30,79
2020-10-31,77
2020-11-01,74
2020-11-02,89
2020-11-03,89
2020-11-04,82
2020-11-05,80
2020-11-06,80
2020-11-07,72
2020-11-08,78
2020-11-09,81
2020-11-10,97
2020-11-11,86
2020-11-12,100
2020-11-13,83
2020-11-14,87
2020-11-15,70
2020-11-16,85
2020-11-17,82
2020-11-18,86
2020-11-19,82
2020-11-20,85
2020-11-21,86
2020-11-22,81
2020-11-23,80
2020-11-24,84
2020-11-25,91
2020-11-26,79
2020-11-27,85
2020-11-28,84
2020-11-29,84
2020-11-30,78
2020-12-01,85
2020-12-02,92
2020-12-03,84
2020-12-04,78
2020-12-05,79
2020-12-06,80
2020-12-07,88
2020-12-08,89
2020-12-09,91
2020-12-10,100
2020-12-11,89
2020-12-12,82
2020-12-13,79
2020-12-14,95
2020-12-15,97
2020-12-16,93
2020-12-17,90
2020-12-18,78
2020-12-19,83
2020-12-20,85
2020-12-21,95
2020-12-22,93
2020-12-23,84
2020-12-24,64
2020-12-25,61
2020-12-26,84
2020-12-27,76
2020-12-28,88
2020-12-29,93
2020-12-30,71
2020-12-31,56
2021-01-01,53
2021-01-02,77
2021-01-03,84
2021-01-04,97
2021-01-05,96
2021-01-06,99
2021-01-07,90
2021-01-08,91
2021-01-09,81
2021-01-10,89
2021-01-11,81
2021-01-12,96
2021-01-13,98
2021-01-14,98
2021-01-15,93
2021-01-16,80
2021-01-17,88
2021-01-18,88
2021-01-19,98
2021-01-20,88
2021-01-21,100
2021-01-22,87
2021-01-23,80
2021-01-24,83
2021-01-25,84
2021-01-26,89
2021-01-27,94
2021-01-28,90
2021-01-29,90
2021-01-30,76
2021-01-31,81
2021-02-01,92
2021-02-02,83
2021-02-03,91
2021-02-04,85
2021-02-05,88
2021-02-06,83
2021-02-07,75
2021-02-08,94
2021-02-09,96
2021-02-10,86
2021-02-11,100
2021-02-12,83
2021-02-13,78
2021-02-14,77
2021-02-15,74
2021-02-16,76
2021-02-17,88
