Date,daily_trend
2019-12-01,27
2019-12-02,24
2019-12-03,73
2019-12-04,25
2019-12-05,100
2019-12-06,26
2019-12-07,0
2019-12-08,28
2019-12-09,0
2019-12-10,50
2019-12-11,0
2019-12-12,25
2019-12-13,78
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,25
2019-12-18,25
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,28
2019-12-23,27
2019-12-24,58
2019-12-25,31
2019-12-26,0
2019-12-27,0
2019-12-28,29
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,30
2020-01-02,26
2020-01-03,77
2020-01-04,0
2020-01-05,28
2020-01-06,100
2020-01-07,25
2020-01-08,0
2020-01-09,0
2020-01-10,51
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,43
2020-01-15,48
2020-01-16,25
2020-01-17,50
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,24
2020-01-23,48
2020-01-24,0
2020-01-25,28
2020-01-26,0
2020-01-27,48
2020-01-28,97
2020-01-29,24
2020-01-30,0
2020-01-31,25
2020-02-01,0
2020-02-02,37
2020-02-03,31
2020-02-04,98
2020-02-05,0
2020-02-06,100
2020-02-07,69
2020-02-08,0
2020-02-09,0
2020-02-10,32
2020-02-11,64
2020-02-12,32
2020-02-13,0
2020-02-14,69
2020-02-15,0
2020-02-16,0
2020-02-17,33
2020-02-18,64
2020-02-19,32
2020-02-20,33
2020-02-21,34
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,31
2020-02-27,31
2020-02-28,0
2020-02-29,0
2020-03-01,28
2020-03-02,49
2020-03-03,25
2020-03-04,74
2020-03-05,100
2020-03-06,26
2020-03-07,28
2020-03-08,0
2020-03-09,25
2020-03-10,49
2020-03-11,73
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,24
2020-03-17,0
2020-03-18,0
2020-03-19,49
2020-03-20,0
2020-03-21,0
2020-03-22,27
2020-03-23,89
2020-03-24,48
2020-03-25,24
2020-03-26,25
2020-03-27,71
2020-03-28,53
2020-03-29,0
2020-03-30,69
2020-03-31,93
2020-04-01,0
2020-04-02,0
2020-04-03,50
2020-04-04,19
2020-04-05,0
2020-04-06,49
2020-04-07,0
2020-04-08,17
2020-04-09,17
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,49
2020-04-15,16
2020-04-16,16
2020-04-17,49
2020-04-18,0
2020-04-19,18
2020-04-20,16
2020-04-21,16
2020-04-22,16
2020-04-23,16
2020-04-24,100
2020-04-25,0
2020-04-26,37
2020-04-27,49
2020-04-28,16
2020-04-29,65
2020-04-30,16
2020-05-01,40
2020-05-02,21
2020-05-03,43
2020-05-04,19
2020-05-05,35
2020-05-06,0
2020-05-07,38
2020-05-08,40
2020-05-09,22
2020-05-10,44
2020-05-11,19
2020-05-12,0
2020-05-13,0
2020-05-14,19
2020-05-15,0
2020-05-16,22
2020-05-17,44
2020-05-18,38
2020-05-19,19
2020-05-20,38
2020-05-21,40
2020-05-22,20
2020-05-23,22
2020-05-24,22
2020-05-25,0
2020-05-26,0
2020-05-27,39
2020-05-28,58
2020-05-29,100
2020-05-30,0
2020-05-31,0
2020-06-01,24
2020-06-02,47
2020-06-03,45
2020-06-04,22
2020-06-05,70
2020-06-06,27
2020-06-07,28
2020-06-08,0
2020-06-09,0
2020-06-10,47
2020-06-11,96
2020-06-12,50
2020-06-13,0
2020-06-14,27
2020-06-15,0
2020-06-16,70
2020-06-17,0
2020-06-18,0
2020-06-19,50
2020-06-20,0
2020-06-21,28
2020-06-22,24
2020-06-23,24
2020-06-24,0
2020-06-25,100
2020-06-26,26
2020-06-27,0
2020-06-28,27
2020-06-29,25
2020-06-30,25
2020-07-01,16
2020-07-02,0
2020-07-03,0
2020-07-04,19
2020-07-05,37
2020-07-06,48
2020-07-07,49
2020-07-08,64
2020-07-09,33
2020-07-10,17
2020-07-11,0
2020-07-12,0
2020-07-13,16
2020-07-14,50
2020-07-15,0
2020-07-16,50
2020-07-17,35
2020-07-18,38
2020-07-19,0
2020-07-20,33
2020-07-21,33
2020-07-22,0
2020-07-23,17
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,33
2020-07-29,100
2020-07-30,17
2020-07-31,18
2020-08-01,0
2020-08-02,51
2020-08-03,91
2020-08-04,90
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,52
2020-08-10,0
2020-08-11,89
2020-08-12,90
2020-08-13,0
2020-08-14,45
2020-08-15,0
2020-08-16,51
2020-08-17,0
2020-08-18,89
2020-08-19,44
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,44
2020-08-25,87
2020-08-26,89
2020-08-27,44
2020-08-28,0
2020-08-29,0
2020-08-30,100
2020-08-31,86
2020-09-01,43
2020-09-02,43
2020-09-03,43
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,42
2020-09-09,84
2020-09-10,0
2020-09-11,0
2020-09-12,100
2020-09-13,49
2020-09-14,42
2020-09-15,42
2020-09-16,43
2020-09-17,85
2020-09-18,0
2020-09-19,49
2020-09-20,49
2020-09-21,42
2020-09-22,42
2020-09-23,42
2020-09-24,0
2020-09-25,45
2020-09-26,50
2020-09-27,0
2020-09-28,0
2020-09-29,87
2020-09-30,44
2020-10-01,47
2020-10-02,0
2020-10-03,0
2020-10-04,27
2020-10-05,23
2020-10-06,23
2020-10-07,47
2020-10-08,24
2020-10-09,51
2020-10-10,0
2020-10-11,85
2020-10-12,77
2020-10-13,0
2020-10-14,100
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,50
2020-10-20,25
2020-10-21,49
2020-10-22,26
2020-10-23,26
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,25
2020-10-29,75
2020-10-30,25
2020-10-31,0
2020-11-01,0
2020-11-02,100
2020-11-03,64
2020-11-04,29
2020-11-05,29
2020-11-06,31
2020-11-07,0
2020-11-08,72
2020-11-09,33
2020-11-10,65
2020-11-11,65
2020-11-12,66
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,65
2020-11-17,33
2020-11-18,0
2020-11-19,33
2020-11-20,34
2020-11-21,0
2020-11-22,37
2020-11-23,33
2020-11-24,0
2020-11-25,32
2020-11-26,33
2020-11-27,0
2020-11-28,72
2020-11-29,0
2020-11-30,32
2020-12-01,16
2020-12-02,49
2020-12-03,100
2020-12-04,17
2020-12-05,57
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,34
2020-12-10,0
2020-12-11,17
2020-12-12,0
2020-12-13,37
2020-12-14,17
2020-12-15,0
2020-12-16,17
2020-12-17,17
2020-12-18,54
2020-12-19,0
2020-12-20,0
2020-12-21,35
2020-12-22,18
2020-12-23,18
2020-12-24,58
2020-12-25,0
2020-12-26,20
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,36
