Date,daily_trend
2019-12-01,71
2019-12-02,100
2019-12-03,99
2019-12-04,97
2019-12-05,95
2019-12-06,86
2019-12-07,63
2019-12-08,63
2019-12-09,89
2019-12-10,95
2019-12-11,97
2019-12-12,96
2019-12-13,94
2019-12-14,65
2019-12-15,64
2019-12-16,89
2019-12-17,92
2019-12-18,85
2019-12-19,86
2019-12-20,81
2019-12-21,60
2019-12-22,56
2019-12-23,71
2019-12-24,66
2019-12-25,71
2019-12-26,76
2019-12-27,76
2019-12-28,58
2019-12-29,56
2019-12-30,74
2019-12-31,63
2020-01-01,49
2020-01-02,77
2020-01-03,72
2020-01-04,58
2020-01-05,57
2020-01-06,83
2020-01-07,87
2020-01-08,89
2020-01-09,88
2020-01-10,82
2020-01-11,57
2020-01-12,57
2020-01-13,85
2020-01-14,91
2020-01-15,99
2020-01-16,100
2020-01-17,91
2020-01-18,62
2020-01-19,65
2020-01-20,88
2020-01-21,95
2020-01-22,95
2020-01-23,92
2020-01-24,84
2020-01-25,59
2020-01-26,60
2020-01-27,87
2020-01-28,90
2020-01-29,92
2020-01-30,92
2020-01-31,83
2020-02-01,60
2020-02-02,61
2020-02-03,99
2020-02-04,100
2020-02-05,96
2020-02-06,95
2020-02-07,90
2020-02-08,62
2020-02-09,63
2020-02-10,92
2020-02-11,96
2020-02-12,98
2020-02-13,100
2020-02-14,91
2020-02-15,62
2020-02-16,60
2020-02-17,87
2020-02-18,96
2020-02-19,96
2020-02-20,95
2020-02-21,93
2020-02-22,63
2020-02-23,61
2020-02-24,93
2020-02-25,98
2020-02-26,96
2020-02-27,96
2020-02-28,93
2020-02-29,66
2020-03-01,33
2020-03-02,52
2020-03-03,52
2020-03-04,52
2020-03-05,51
2020-03-06,49
2020-03-07,33
2020-03-08,33
2020-03-09,53
2020-03-10,55
2020-03-11,57
2020-03-12,57
2020-03-13,59
2020-03-14,43
2020-03-15,51
2020-03-16,82
2020-03-17,91
2020-03-18,93
2020-03-19,95
2020-03-20,85
2020-03-21,56
2020-03-22,58
2020-03-23,99
2020-03-24,100
2020-03-25,99
2020-03-26,97
2020-03-27,83
2020-03-28,53
2020-03-29,55
2020-03-30,96
2020-03-31,94
2020-04-01,99
2020-04-02,94
2020-04-03,89
2020-04-04,58
2020-04-05,55
2020-04-06,93
2020-04-07,92
2020-04-08,90
2020-04-09,84
2020-04-10,67
2020-04-11,49
2020-04-12,51
2020-04-13,78
2020-04-14,93
2020-04-15,92
2020-04-16,93
2020-04-17,87
2020-04-18,58
