Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
NTES,2019-12-02,58.3336,0.0,,1.5672,1.2585,0.3086,1,1,1,134.1293,-1,8.3684,1,,64.5664,0,,87.2523,82.0964,0.916656513161286,,0.8406800912752949,,34.2438,,85.7143,50.0,0.857143,0.5,1,58.323,60.1782,62.0333,3.7102999999999966,-1182532959.7647,
NTES,2019-12-03,58.8534,0.007560188437478691,0.008910816407696484,1.631,1.333,0.298,1,1,1,115.1138,-1,3.1197,1,-0.6272047225276038,69.9913,0,0.08402048124101691,83.5064,77.9585,0.8727711103092445,-0.04293181956234971,0.7961833850574342,-0.05040294093285457,33.7709,-0.013809799146122882,78.5714,42.8571,0.785714,0.42857100000000004,1,59.9012,60.6669,61.4327,1.531499999999994,-1179535371.7942,-0.002534887459793469
NTES,2019-12-04,59.4253,0.0158781410488562,0.009717365521788026,1.6774,1.4019,0.2754,1,1,1,140.9684,-1,8.2472,1,1.6435875244414526,71.4825,-1,0.021305505112778393,77.9196,73.704,0.8073184904705446,-0.06690265656285023,0.750432826415638,-0.0545739079125433,34.4902,0.021299402740229133,100.0,35.7143,1.0,0.357143,1,60.0477,60.812,61.5763,1.5286000000000044,-1181492610.381,0.0016593301342230444
NTES,2019-12-05,60.0776,0.025365464861413514,0.010976806175147569,1.7481,1.4711,0.277,1,1,1,141.6106,-1,7.5106,1,-0.08931516150936067,76.7039,-1,0.07304445143916347,75.0772,73.5692,0.7740181169777545,-0.03647862668699529,0.748983261177675,-0.0018289373711060253,35.6436,0.033441383349473115,100.0,28.5714,1.0,0.285714,1,59.8582,60.9099,61.9617,2.103500000000004,-1183733907.572,0.0018970048321142066
NTES,2019-12-06,60.5145,0.03171992105289952,0.007272261208836595,1.7126,1.5194,0.1932,1,1,1,97.2378,0,5.6711,1,-0.24492051234255588,58.8502,0,-0.2327613067914409,69.678,61.7608,0.7107633405345117,-0.07191530850910806,0.6220022066082109,-0.160507386243156,35.2105,-0.01215084896026204,92.8571,21.4286,0.928571,0.214286,1,59.9945,60.9802,61.966,1.971499999999999,-1185366228.7515,0.0013789595525298235
NTES,2019-12-09,60.612,0.03313800180059901,0.0016111840963736574,1.6397,1.5435,0.0962,1,1,1,71.5149,0,5.498,1,-0.030523178924723567,53.273,0,-0.09476943153973984,63.1268,54.0506,0.6340122123238562,-0.09402106834294892,0.5390909462391955,-0.12483970414890999,34.3484,-0.024484173754988004,85.7143,14.2857,0.857143,0.142857,1,60.241,61.0459,61.8508,1.6098,-1186885731.7115,0.001281884807533678
NTES,2019-12-10,60.8447,0.03652248785177502,0.003839173760971445,1.5827,1.5513,0.0314,1,1,1,67.0271,0,7.2612,1,0.32069843579483437,57.0212,0,0.07035834287537772,50.443,35.5178,0.4854140990013636,-0.20092575578042932,0.3397993836121703,-0.34287870994956576,33.5725,-0.02258911623248827,78.5714,7.1429,0.785714,0.071429,1,60.1971,61.0225,61.8479,1.6508000000000038,-1186832201.072,-4.510176343826382e-05
NTES,2019-12-11,60.9117,0.037496963852758226,0.0011011641112537356,1.5398,1.549,-0.0092,1,1,-1,77.4623,0,7.2587,1,-0.0003442957086982183,61.1151,0,0.07179610390521417,38.7903,26.8026,0.3488959234456936,-0.2310072755387268,0.24608090466635268,-0.24537555817083262,33.8014,0.006818080274033897,71.4286,0.0,0.714286,0.0,1,60.189,61.0114,61.8338,1.6447999999999965,-1189215611.2972,0.002008211626754932
NTES,2019-12-12,60.7651,0.035364752184935185,-0.0024067625759912545,1.3906,1.5173,-0.1268,1,1,-1,34.4675,0,5.6234,1,-0.22528827475994323,38.4223,0,-0.37131249069378924,27.0163,18.7284,0.21095664765618044,-0.3035294906200777,0.15925538801678402,-0.3012468939580489,31.1606,-0.07812694148763076,64.2857,0.0,0.642857,0.0,1,59.7576,60.6202,61.4827,1.7251000000000047,-1190952242.8814,0.0014603168405313994
NTES,2019-12-13,60.6887,0.03425355865545584,-0.0012573006544875198,1.2539,1.4646,-0.2107,1,1,-1,19.5486,0,7.4785,1,0.3298893907600384,37.722,0,-0.01822639456773797,21.7926,19.8468,0.14975795605250455,-0.19335364206053385,0.17128204797329707,0.05971679374639591,28.7838,-0.07627580983678105,57.1429,0.0,0.571429,0.0,1,59.3614,60.3972,61.4331,2.0717,-1191391341.1832,0.0003686951382176467
