Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
NVDA,2019-12-02,53.2185,0.0012549822913221244,,1.2062,1.3365,-0.1302,1,1,-1,19.3567,0,3.3632,1,,37.3322,0,,65.6542,46.8776,0.6518879412362825,,0.44700055365517816,,20.9867,,71.4286,28.5714,0.714286,0.285714,1,52.0259,53.9759,55.926,3.900100000000002,2942055458.815,
NVDA,2019-12-03,53.1072,0.0006080182847257657,-0.0020913779982524865,1.0199,1.2732,-0.2533,1,1,-1,-109.3689,1,-1.2768,-1,-1.379638439581351,33.9809,0,-0.08976968943700082,49.8225,33.8908,0.4579399867203407,-0.24113765760606334,0.3029081875504142,-0.2770363670495077,22.0386,0.05012222026330961,64.2857,100.0,0.642857,1.0,-1,51.1226,53.3081,55.4937,4.371099999999998,2987433470.0333,0.015423914284939144
NVDA,2019-12-04,53.1466,0.0008370423805020182,0.000741895637503023,0.8973,1.198,-0.3007,1,1,-1,-14.855,0,-0.0174,-1,-0.9863721804511277,41.2751,0,0.2146558802150621,36.5881,28.9959,0.29581053699316173,-0.2656309900145517,0.24859783220142836,-0.14443152714010882,21.3226,-0.032488452079533076,57.1429,92.8571,0.571429,0.928571,-1,50.7739,52.938,55.1021,4.3282000000000025,2977313338.9085,-0.0033875670291284923
NVDA,2019-12-05,53.0896,0.0005057131048866197,-0.0010725051085112155,0.7774,1.1139,-0.3364,1,1,-1,-34.6972,0,0.6083,1,-35.95977011494253,39.1842,0,-0.05065766042965383,35.3235,43.0838,0.28031841780944433,-0.034563150313899726,0.4049072266979405,0.48585834549022444,20.8942,-0.02009135846472756,50.0,85.7143,0.5,0.857143,-1,50.8442,52.4641,54.084,3.2398000000000025,2972116489.5058,-0.0017454828602640857
NVDA,2019-12-06,53.1431,0.0008166976004203571,0.0010077303275971125,0.7429,1.0397,-0.2967,1,1,-1,29.5054,0,1.913,1,2.1448298536906134,53.9064,0,0.37571776379254906,42.2537,54.6812,0.3652175830529987,0.19619233654649168,0.5335837911066778,0.26918238409796724,19.4934,-0.06704252854859244,42.8571,78.5714,0.42857100000000004,0.785714,-1,51.4914,52.2362,52.981,1.489600000000003,2969468686.318,-0.0008908813625404718
NVDA,2019-12-09,53.1789,0.0010247956366840664,0.0006736528354575068,0.7075,0.9732,-0.2658,1,1,-1,29.2425,0,2.1877,1,0.14359644537375846,53.9064,0,0.0,55.071,67.4479,0.5222373040821477,0.3033414825210572,0.6752340829683906,0.23347512490581787,17.8899,-0.08225861060666688,35.7143,71.4286,0.357143,0.714286,-1,51.4672,52.3818,53.2965,1.8293000000000035,2963702879.2867,-0.001941696525666817
NVDA,2019-12-10,53.0026,0.0,-0.003315224647369496,0.7076,0.9201,-0.2125,1,1,-1,49.6364,0,2.8614,1,0.307948987521141,61.5759,0,0.14227438671475,66.3669,76.9714,0.6606189497308542,0.20511521490439621,0.7809001168334474,0.14119787272843184,16.4177,-0.08229224310924045,28.5714,64.2857,0.285714,0.642857,-1,51.7303,52.6971,53.6639,1.9335999999999984,2967125400.8875,0.0011548126584213347
NVDA,2019-12-11,53.0151,7.265992886299846e-05,0.00023583748721752774,0.7665,0.8894,-0.1229,1,1,-1,92.645,0,3.7638,1,0.3153700985531557,72.2789,-1,0.17381800347213758,76.7808,85.9231,0.7881955589094999,0.15691406408917696,0.8802218615018812,0.11629904094247996,15.6681,-0.045658039798510096,21.4286,57.1429,0.214286,0.571429,-1,51.6946,53.0921,54.4896,2.7950000000000017,2987367973.3303,0.006822284099197583
NVDA,2019-12-12,53.1605,0.0009178402213976977,0.002742614839923007,0.9378,0.8991,0.0387,1,1,1,163.6809,-1,7.5103,1,0.9954035814867953,83.6685,-1,0.15757849109491157,84.1017,89.4106,0.8778810367934767,0.09534805576394091,0.9189166998600883,0.040588619358472834,17.1943,0.09740810947083549,100.0,50.0,1.0,0.5,1,51.6225,53.8568,56.0911,4.468599999999995,3021374063.1652,0.011383294638788871
NVDA,2019-12-13,53.3413,0.001968793432472453,0.003401021435088042,1.0597,0.9312,0.1285,1,1,1,180.7269,-1,6.8469,1,-0.08833202402034541,83.1608,-1,-0.006067994526016361,87.8845,88.3199,0.9242226376539596,0.044978876764679064,0.9068150625275302,-0.012198777326178308,19.4948,0.13379433882158642,100.0,42.8571,1.0,0.42857100000000004,1,51.9741,54.4464,56.9186,4.944499999999998,3003454959.2214,-0.0059307796946626145
