Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
OTEX,2020-01-24,45.0302,0.58909603,0.00088463,0.8109,0.7836,0.0274,1,1,1,66.997,0,6.2028,1,0.16242199,55.2437,0,0.00666754,60.1752,42.3864,0.61365509,-0.20238059,0.42055601,-0.25032632,46.3857,-0.04865458,85.7143,0.0,0.857143,0.0,1,44.8628,45.2691,45.6754,0.8126,-275331177.3791,1.0,0.00011837,45.41260795,45.47088038,44.74249165,45.06298447,271600.0,0.0,0.0,0.00971222,0.00021557,0.07649684,44,1.0,1.0,0.0,0.0,0.0,0.0
OTEX,2020-01-27,45.0972,0.59201993,0.00148789,0.7807,0.783,-0.0023,1,1,-1,45.9558,0,5.5152,1,-0.11085316,58.9853,0,0.06772899,45.7585,38.3491,0.45272604,-0.23957876,0.37877105,-0.09524989,41.7981,-0.09890117,78.5714,0.0,0.785714,0.0,1,44.9119,45.1817,45.4515,0.5396,-274947501.4782,1.0,-0.00139351,44.48026687,45.22807967,44.15006386,45.15038681,448300.0,0.0,0.0,0.08740234,0.00193956,0.16314422,59,0.0,1.0,0.0,0.0,0.0,0.0
OTEX,2020-01-28,45.204,0.59668072,0.00236822,0.7931,0.785,0.008,1,1,1,88.1469,0,6.8316,1,0.23868581,75.4908,-1,0.27982396,48.0874,63.5266,0.47872281,0.05089546,0.63935132,0.65653431,39.4268,-0.05673224,100.0,0.0,1.0,0.0,1,44.7606,45.2633,45.766,1.0054,-274635669.0678,-1.0,-0.00113415,45.27664247,45.82050739,45.0629843,45.71367645,434300.0,0.0,0.0,0.56328964,0.01247585,0.15627912,55,1.0,1.0,0.0,0.0,0.0,0.0
OTEX,2020-01-29,45.2982,0.60079164,0.00208389,0.7573,0.7795,-0.0222,1,1,-1,81.7912,0,6.3441,1,-0.07135956,53.6296,0,-0.28958761,58.0647,72.3183,0.59009624,0.20748263,0.73034302,0.138394,37.8098,-0.04101271,100.0,0.0,1.0,0.0,1,44.7474,45.2361,45.7247,0.9773,-274937578.3271,-1.0,0.00109931,45.88848911,46.01474419,45.22808304,45.25721741,326100.0,0.0,0.0,-0.45645905,-0.00998517,0.10322169,51,0.0,0.0,0.0,0.0,0.0,0.0
OTEX,2020-01-30,45.2934,0.60058216,-0.00010596,0.7051,0.7646,-0.0595,1,1,-1,33.7657,0,5.287,1,-0.16662726,46.4714,0,-0.1334748,67.7192,67.3127,0.69786636,0.16627142,0.67853642,-0.06921623,34.1051,-0.09798253,92.8571,0.0,0.928571,0.0,1,44.7524,45.238,45.7236,0.9712,-274778958.9469,1.0,-0.00057693,45.07269469,45.24750828,44.55796783,45.06298447,341100.0,0.0,0.0,-0.19423294,-0.00429176,0.11057716,47,0.0,0.0,0.0,0.0,0.0,0.0
OTEX,2020-01-31,45.1167,0.59287092,-0.00390123,0.547,0.7211,-0.1741,1,1,-1,-35.7004,0,1.2832,1,-0.75729147,21.3538,1,-0.54049587,60.3082,41.2937,0.61513972,-0.10943721,0.40924686,-0.38653924,33.693,-0.01208324,85.7143,100.0,0.857143,1.0,-1,43.6064,44.9642,46.322,2.7156,-275557351.1351,1.0,0.00283279,45.45144951,45.89819364,43.26628363,43.69360733,1152700.0,0.0,0.0,-1.36937714,-0.03038807,0.50855686,100,3.0,1.0,0.0,0.0,0.0,0.0
OTEX,2020-02-03,44.9846,0.58710604,-0.00292796,0.4626,0.6694,-0.2068,1,1,-1,-36.3001,0,3.1222,1,1.43313591,38.6873,0,0.81172906,47.4134,33.6339,0.47119916,-0.21381504,0.32997002,-0.18549561,33.3222,-0.01100525,78.5714,92.8571,0.785714,0.928571,-1,43.3397,44.7875,46.2353,2.8956,-275725212.908,0.0,0.00060917,43.69361372,45.37376329,43.57706886,44.26661301,722200.0,0.0,0.0,0.57300568,0.01311418,0.29745501,93,26.0,4.0,477.0,0.0,0.0,282.0
OTEX,2020-02-04,44.9856,0.58714968,2.223e-05,0.4749,0.6305,-0.1556,1,1,-1,42.8434,0,4.8539,1,0.55464096,59.2417,0,0.5312958,39.0316,42.1673,0.37763579,-0.17678125,0.41828838,0.25371426,32.3147,-0.0302351,71.4286,85.7143,0.714286,0.857143,-1,43.437,44.7079,45.9788,2.5418,-275487759.408,0.0,-0.0008612,44.55796388,45.56799335,44.55796388,45.31548691,474900.0,0.0,0.0,1.0488739,0.02369447,0.17618791,43,7.0,5.0,0.0,0.0,0.0,0.0
OTEX,2020-02-05,44.9526,0.58570955,-0.00073357,0.4589,0.5962,-0.1373,1,1,-1,39.5449,0,3.8728,1,-0.20212613,53.8129,0,-0.09163815,45.1804,59.7399,0.44627289,0.1575339,0.60016001,0.41673524,31.0629,-0.03873779,64.2857,78.5714,0.642857,0.785714,-1,43.4558,44.6691,45.8824,2.4266,-275639477.4521,0.0,0.00055073,45.66511812,45.66511812,44.78133993,45.06298447,418400.0,0.0,0.0,-0.25250244,-0.0055721,0.14848232,93,5.0,6.0,0.0,0.0,0.0,0.0
OTEX,2020-02-06,45.037,0.58939279,0.00187753,0.5078,0.5785,-0.0707,1,1,-1,101.314,-1,5.0456,1,0.30282999,66.5041,0,0.23583936,60.9087,80.8188,0.62184291,0.34812219,0.81832088,0.35284458,29.0721,-0.06408932,57.1429,71.4286,0.571429,0.714286,-1,43.2774,44.8361,46.3947,3.1173,-275133032.3908,0.0,-0.00183735,45.32519793,45.9079111,44.95615033,45.89819717,517000.0,0.0,0.0,0.83521271,0.01853434,0.19683225,57,2.0,6.0,0.0,0.0,0.0,0.0
