Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
PFF,2020-01-24,34.8359,0.65025152,0.00047387,0.1931,0.2051,-0.0119,1,1,-1,89.311,0,0.10006664,1.4126,1,-0.03688553,78.7077,-1,0.0,75.8578,69.3627,0.76202537,-0.06881813,0.68273202,-0.061361,59.5765,-0.02825691,100.0,0.0,1.0,0.0,1,34.8573,34.8753,34.8933,0.036,-1.0,355833602.6677,-0.00101688,35.04334323,35.07095704,34.98811211,35.02493286,3259900.0,0.0,0.0,0.0,0.0,0.0999039,53,1.0,1.0,0.0,0.0,0.0,0.0
PFF,2020-01-27,34.8386,0.65046814,7.751e-05,0.1777,0.1996,-0.0219,1,1,-1,32.8295,0,-0.6324137,1.0114,1,-0.28401529,34.413,0,-0.56277467,67.1977,58.3333,0.6701377,-0.11416229,0.56851583,-0.15901053,54.0514,-0.09273959,92.8571,21.4286,0.928571,0.214286,1,34.775,34.8533,34.9316,0.1566,-1.0,356694015.2664,0.00241802,34.85003168,34.98810418,34.85003168,34.93287659,4301900.0,0.0,0.0,-0.09205627,-0.00262831,0.14997117,48,0.0,1.0,0.0,0.0,0.0,0.0
PFF,2020-01-28,34.8469,0.65113406,0.00023824,0.1715,0.194,-0.0224,1,1,-1,75.2892,0,1.29333983,1.4663,1,0.44977259,63.0249,0,0.83142708,63.6302,63.1944,0.63228488,-0.05308961,0.6188555,0.08333319,49.9646,-0.07560951,85.7143,14.2857,0.857143,0.142857,1,34.776,34.8515,34.927,0.151,-1.0,359131035.2664,0.00683224,34.96970318,35.03413773,34.96970318,35.03413773,2437000.0,0.0,0.0,0.10126114,0.00289873,0.06036421,53,1.0,1.0,0.0,0.0,0.0,0.0
PFF,2020-01-29,34.8616,0.65231344,0.00042185,0.1706,0.1893,-0.0187,1,1,-1,117.8887,-1,0.56581156,1.8697,1,0.27511423,73.5246,-1,0.16659606,64.6632,72.4617,0.64324549,0.01623443,0.71482406,0.14664749,47.6426,-0.0464729,100.0,7.1429,1.0,0.071429,1,34.7574,34.868,34.9785,0.2211,-1.0,361773127.7145,0.0073569,35.05254142,35.11697595,35.03413105,35.10776901,3395000.0,0.0,0.0,0.07363129,0.0021017,0.10639535,47,0.0,0.0,0.0,0.0,0.0,0.0
PFF,2020-01-30,34.8845,0.65415072,0.00065688,0.1746,0.1864,-0.0118,1,1,-1,154.4974,-1,0.31053612,1.7026,1,-0.08937263,81.08,-1,0.10276016,76.317,93.295,0.76689769,0.18022306,0.93056562,0.28750775,46.532,-0.02331107,100.0,0.0,1.0,0.0,1,34.7288,34.901,35.0731,0.3443,-1.0,366500129.7145,0.01306621,35.07095096,35.19061661,35.04333716,35.19061661,4726600.0,0.0,0.0,0.0828476,0.00235981,0.17037767,55,0.0,0.0,0.0,0.0,0.0,0.0
PFF,2020-01-31,34.8982,0.65524988,0.00039272,0.1705,0.1832,-0.0127,1,1,-1,136.2278,-1,-0.11825183,0.9257,1,-0.45630213,63.4704,0,-0.21718796,85.4246,90.5172,0.86353354,0.11933907,0.90179981,-0.02977437,45.8673,-0.01428479,100.0,0.0,1.0,0.0,1,34.7456,34.9211,35.0967,0.3511,-1.0,366216417.1928,-0.00077411,35.17221055,35.21823472,35.04334145,35.12618637,5390500.0,0.0,0.0,-0.06443024,-0.00183089,0.20227753,45,3.0,1.0,0.0,0.0,0.0,0.0
PFF,2020-02-03,34.9068,0.65593986,0.00024643,0.1657,0.1797,-0.014,1,1,-1,132.3338,-1,-0.02858447,0.7225,1,-0.21950956,63.9954,0,0.00827157,87.8658,79.7852,0.8894358,0.02857725,0.79066338,-0.1185631,45.2691,-0.01304197,92.8571,64.2857,0.928571,0.642857,1,34.8603,34.9603,35.0603,0.2,0.0,364612462.3919,-0.0043798,35.00650707,35.0433278,34.95127949,34.97889328,4009500.0,0.0,0.0,-0.14729309,-0.00419326,0.13592158,71,26.0,4.0,477.0,0.0,0.0,282.0
PFF,2020-02-04,34.9209,0.65707111,0.00040393,0.1645,0.1767,-0.0122,1,1,-1,164.453,-1,0.2427135,0.9615,1,0.33079585,72.0447,-1,0.12577935,79.7093,68.8254,0.80289156,-0.09282906,0.67716795,-0.13736633,45.5267,0.00569042,100.0,57.1429,1.0,0.571429,1,34.9236,34.9904,35.0571,0.1335,-1.0,360729478.3946,-0.01064962,35.06175153,35.1077757,35.02493078,35.03413773,4992300.0,0.0,0.0,0.05524445,0.00157937,0.18314434,68,7.0,5.0,0.0,0.0,0.0,0.0
PFF,2020-02-05,34.9461,0.65909291,0.00072163,0.1689,0.1751,-0.0062,1,1,-1,187.8861,-1,0.14249117,1.3606,1,0.4150806,80.9276,-1,0.12329706,74.2761,74.2176,0.7452428,-0.06816269,0.73300748,0.07834608,46.2092,0.0149912,100.0,50.0,1.0,0.5,1,34.9148,35.0242,35.1335,0.2187,-1.0,361788883.4007,0.00293684,35.11698294,35.15380017,35.0801622,35.12618637,3177800.0,0.0,0.0,0.09204865,0.0026274,0.09595906,67,5.0,6.0,0.0,0.0,0.0,0.0
PFF,2020-02-06,34.9703,0.66103449,0.0006925,0.1698,0.174,-0.0043,1,1,-1,151.9349,-1,-0.19134571,1.227,1,-0.09819197,77.836,-1,-0.03820205,74.9836,81.9079,0.7527497,0.00952527,0.81264524,0.10361828,45.907,-0.00653982,92.8571,42.8571,0.928571,0.428571,1,34.9098,35.0396,35.1695,0.2597,0.0,363552748.2017,0.0048754,35.12617349,35.14458385,35.05253554,35.11697006,4409700.0,0.0,0.0,-0.00921631,-0.00026238,0.15515087,80,2.0,6.0,0.0,0.0,0.0,0.0
PFF,2020-02-07,34.9908,0.66267921,0.00058621,0.1656,0.1724,-0.0068,1,1,-1,128.8232,-1,-0.15211581,1.0674,1,-0.13007335,65.3529,0,-0.16037695,78.9573,80.7464,0.7949125,0.05299425,0.80061719,-0.01418056,45.7588,-0.00322827,100.0,35.7143,1.0,0.357143,1,34.951,35.0606,35.1701,0.2191,0.0,359355040.3157,-0.01154635,35.10777203,35.1537962,35.07095129,35.08015823,5396900.0,0.0,0.0,-0.03681183,-0.00104826,0.20258505,74,5.0,7.0,0.0,0.0,0.0,0.0
PFF,2020-02-10,35.0288,0.66572797,0.001086,0.167,0.1713,-0.0043,1,1,-1,132.0751,-1,0.02524312,1.1725,1,0.09846356,76.1229,-1,0.16479758,82.1139,83.6875,0.82840548,0.03997857,0.83107408,0.03642391,45.7568,-4.371e-05,100.0,28.5714,1.0,0.285714,1,35.0098,35.0974,35.185,0.1752,0.0,361717026.3157,0.00657285,35.08935673,35.1629982,35.0801533,35.1629982,2361900.0,0.0,0.0,0.08283997,0.00236145,0.05675572,68,9.0,9.0,0.0,0.0,0.0,0.0
