Date,PFF_daily_trend
2019-12-01,95
2019-12-02,83
2019-12-03,72
2019-12-04,67
2019-12-05,69
2019-12-06,57
2019-12-07,100
2019-12-08,71
2019-12-09,67
2019-12-10,67
2019-12-11,62
2019-12-12,81
2019-12-13,70
2019-12-14,69
2019-12-15,81
2019-12-16,72
2019-12-17,64
2019-12-18,61
2019-12-19,67
2019-12-20,71
2019-12-21,80
2019-12-22,81
2019-12-23,80
2019-12-24,88
2019-12-25,83
2019-12-26,63
2019-12-27,81
2019-12-28,84
2019-12-29,73
2019-12-30,90
2019-12-31,84
2020-01-01,100
2020-01-02,63
2020-01-03,75
2020-01-04,82
2020-01-05,65
2020-01-06,64
2020-01-07,56
2020-01-08,64
2020-01-09,70
2020-01-10,55
2020-01-11,62
2020-01-12,73
2020-01-13,58
2020-01-14,54
2020-01-15,67
2020-01-16,61
2020-01-17,56
2020-01-18,67
2020-01-19,60
2020-01-20,57
2020-01-21,57
2020-01-22,69
2020-01-23,64
2020-01-24,53
2020-01-25,60
2020-01-26,52
2020-01-27,48
2020-01-28,53
2020-01-29,47
2020-01-30,55
2020-01-31,45
2020-02-01,96
2020-02-02,79
2020-02-03,71
2020-02-04,68
2020-02-05,67
2020-02-06,80
2020-02-07,74
2020-02-08,76
2020-02-09,100
2020-02-10,68
2020-02-11,79
2020-02-12,81
2020-02-13,55
2020-02-14,74
2020-02-15,93
2020-02-16,72
2020-02-17,73
2020-02-18,84
2020-02-19,66
2020-02-20,72
2020-02-21,66
2020-02-22,79
2020-02-23,61
2020-02-24,58
2020-02-25,58
2020-02-26,45
2020-02-27,58
2020-02-28,62
2020-02-29,61
2020-03-01,63
2020-03-02,42
2020-03-03,48
2020-03-04,55
2020-03-05,50
2020-03-06,42
2020-03-07,40
2020-03-08,36
2020-03-09,46
2020-03-10,30
2020-03-11,40
2020-03-12,42
2020-03-13,37
2020-03-14,38
2020-03-15,47
2020-03-16,88
2020-03-17,100
2020-03-18,90
2020-03-19,79
2020-03-20,67
2020-03-21,60
2020-03-22,58
2020-03-23,58
2020-03-24,55
2020-03-25,56
2020-03-26,52
2020-03-27,57
2020-03-28,41
2020-03-29,52
2020-03-30,45
2020-03-31,46
2020-04-01,53
2020-04-02,49
2020-04-03,41
2020-04-04,40
2020-04-05,46
2020-04-06,53
2020-04-07,48
2020-04-08,55
2020-04-09,69
2020-04-10,56
2020-04-11,59
2020-04-12,62
2020-04-13,62
2020-04-14,60
2020-04-15,41
2020-04-16,49
2020-04-17,57
2020-04-18,69
2020-04-19,60
2020-04-20,51
2020-04-21,46
2020-04-22,71
2020-04-23,62
2020-04-24,76
2020-04-25,100
2020-04-26,65
2020-04-27,50
2020-04-28,50
2020-04-29,51
2020-04-30,47
2020-05-01,93
2020-05-02,79
2020-05-03,80
2020-05-04,75
2020-05-05,100
2020-05-06,63
2020-05-07,50
2020-05-08,72
2020-05-09,75
2020-05-10,64
2020-05-11,79
2020-05-12,53
2020-05-13,75
2020-05-14,63
2020-05-15,87
2020-05-16,50
2020-05-17,72
2020-05-18,50
2020-05-19,60
2020-05-20,61
2020-05-21,70
2020-05-22,68
2020-05-23,64
2020-05-24,66
2020-05-25,61
2020-05-26,67
2020-05-27,47
2020-05-28,66
2020-05-29,50
2020-05-30,58
2020-05-31,67
2020-06-01,89
2020-06-02,53
2020-06-03,81
2020-06-04,84
2020-06-05,65
2020-06-06,69
2020-06-07,86
2020-06-08,61
2020-06-09,71
2020-06-10,68
2020-06-11,63
2020-06-12,93
2020-06-13,85
2020-06-14,63
2020-06-15,92
2020-06-16,74
2020-06-17,79
2020-06-18,64
2020-06-19,94
2020-06-20,82
2020-06-21,64
2020-06-22,63
2020-06-23,79
2020-06-24,67
2020-06-25,71
2020-06-26,100
2020-06-27,77
2020-06-28,85
2020-06-29,88
2020-06-30,85
2020-07-01,64
2020-07-02,66
2020-07-03,50
2020-07-04,68
2020-07-05,71
2020-07-06,62
2020-07-07,52
2020-07-08,60
2020-07-09,44
2020-07-10,49
2020-07-11,64
2020-07-12,55
2020-07-13,57
2020-07-14,100
2020-07-15,54
2020-07-16,60
2020-07-17,57
2020-07-18,55
2020-07-19,52
2020-07-20,56
2020-07-21,65
2020-07-22,64
2020-07-23,55
2020-07-24,67
2020-07-25,76
2020-07-26,70
2020-07-27,69
2020-07-28,66
2020-07-29,63
2020-07-30,66
2020-07-31,46
2020-08-01,60
2020-08-02,100
2020-08-03,59
2020-08-04,65
2020-08-05,74
2020-08-06,61
2020-08-07,74
2020-08-08,67
2020-08-09,78
2020-08-10,67
2020-08-11,71
2020-08-12,67
2020-08-13,61
2020-08-14,79
2020-08-15,61
2020-08-16,76
2020-08-17,72
2020-08-18,74
2020-08-19,65
2020-08-20,86
2020-08-21,89
2020-08-22,63
2020-08-23,64
2020-08-24,67
2020-08-25,73
2020-08-26,63
2020-08-27,62
2020-08-28,56
2020-08-29,82
2020-08-30,46
2020-08-31,69
2020-09-01,55
2020-09-02,62
2020-09-03,79
2020-09-04,87
2020-09-05,64
2020-09-06,89
2020-09-07,84
2020-09-08,77
2020-09-09,62
2020-09-10,66
2020-09-11,67
2020-09-12,71
2020-09-13,88
2020-09-14,80
2020-09-15,85
2020-09-16,62
2020-09-17,77
2020-09-18,71
2020-09-19,53
2020-09-20,84
2020-09-21,100
2020-09-22,84
2020-09-23,68
2020-09-24,76
2020-09-25,69
2020-09-26,65
2020-09-27,71
2020-09-28,92
2020-09-29,97
2020-09-30,83
2020-10-01,57
2020-10-02,59
2020-10-03,46
2020-10-04,45
2020-10-05,56
2020-10-06,66
2020-10-07,77
2020-10-08,51
2020-10-09,50
2020-10-10,71
2020-10-11,57
2020-10-12,87
2020-10-13,74
2020-10-14,56
2020-10-15,60
2020-10-16,49
2020-10-17,44
2020-10-18,57
2020-10-19,74
2020-10-20,62
2020-10-21,60
2020-10-22,57
2020-10-23,61
2020-10-24,49
2020-10-25,52
2020-10-26,100
2020-10-27,75
2020-10-28,86
2020-10-29,63
2020-10-30,57
2020-10-31,46
2020-11-01,54
2020-11-02,100
2020-11-03,60
2020-11-04,34
2020-11-05,25
2020-11-06,66
2020-11-07,52
2020-11-08,60
2020-11-09,89
2020-11-10,61
2020-11-11,57
2020-11-12,44
2020-11-13,47
2020-11-14,46
2020-11-15,44
2020-11-16,84
2020-11-17,64
2020-11-18,53
2020-11-19,62
2020-11-20,48
2020-11-21,64
2020-11-22,46
2020-11-23,89
2020-11-24,45
2020-11-25,46
2020-11-26,52
2020-11-27,58
2020-11-28,51
2020-11-29,55
2020-11-30,91
2020-12-01,65
2020-12-02,62
2020-12-03,61
2020-12-04,49
2020-12-05,37
2020-12-06,54
2020-12-07,90
2020-12-08,61
2020-12-09,74
2020-12-10,44
2020-12-11,46
2020-12-12,51
2020-12-13,45
2020-12-14,81
2020-12-15,52
2020-12-16,46
2020-12-17,52
2020-12-18,54
2020-12-19,54
2020-12-20,77
2020-12-21,72
2020-12-22,77
2020-12-23,66
2020-12-24,60
2020-12-25,65
2020-12-26,46
2020-12-27,54
2020-12-28,100
2020-12-29,55
2020-12-30,59
2020-12-31,60
2021-01-01,53
2021-01-02,52
2021-01-03,84
2021-01-04,92
2021-01-05,67
2021-01-06,60
2021-01-07,67
2021-01-08,53
2021-01-09,72
2021-01-10,76
2021-01-11,84
2021-01-12,54
2021-01-13,57
2021-01-14,60
2021-01-15,57
2021-01-16,57
2021-01-17,100
2021-01-18,59
2021-01-19,48
2021-01-20,32
2021-01-21,50
2021-01-22,47
2021-01-23,47
2021-01-24,67
2021-01-25,66
2021-01-26,48
2021-01-27,49
2021-01-28,42
2021-01-29,50
2021-01-30,44
2021-01-31,58
2021-02-01,49
2021-02-02,66
2021-02-03,71
2021-02-04,75
2021-02-05,82
2021-02-06,74
2021-02-07,83
2021-02-08,82
2021-02-09,74
2021-02-10,81
2021-02-11,100
2021-02-12,55
2021-02-13,63
2021-02-14,58
2021-02-15,90
2021-02-16,78
2021-02-17,82
2021-02-18,71
2021-02-19,85
2021-02-20,66
2021-02-21,71
2021-02-22,77
2021-02-23,91
2021-02-24,75
2021-02-25,78
2021-02-26,81
2021-02-27,73
2021-02-28,57
2021-03-01,33
2021-03-02,39
2021-03-03,38
2021-03-04,37
2021-03-05,41
2021-03-06,36
2021-03-07,30
2021-03-08,32
2021-03-09,51
2021-03-10,51
2021-03-11,37
2021-03-12,46
2021-03-13,42
2021-03-14,37
2021-03-15,67
2021-03-16,100
2021-03-17,81
2021-03-18,82
2021-03-19,68
2021-03-20,55
2021-03-21,52
2021-03-22,47
2021-03-23,52
2021-03-24,50
2021-03-25,45
2021-03-26,63
2021-03-27,46
2021-03-28,34
2021-03-29,44
2021-03-30,40
2021-03-31,41
2021-04-01,44
2021-04-02,58
2021-04-03,35
2021-04-04,45
2021-04-05,43
2021-04-06,41
2021-04-07,46
2021-04-08,54
2021-04-09,34
2021-04-10,35
2021-04-11,42
2021-04-12,39
2021-04-13,37
2021-04-14,42
2021-04-15,47
2021-04-16,49
2021-04-17,41
2021-04-18,42
2021-04-19,40
2021-04-20,40
2021-04-21,41
2021-04-22,42
2021-04-23,53
2021-04-24,44
2021-04-25,54
2021-04-26,45
2021-04-27,54
2021-04-28,56
2021-04-29,70
2021-04-30,100
2021-05-01,100
2021-05-02,30
2021-05-03,46
2021-05-04,29
2021-05-05,29
2021-05-06,32
2021-05-07,33
2021-05-08,25
2021-05-09,34
2021-05-10,29
2021-05-11,37
2021-05-12,35
2021-05-13,21
2021-05-14,24
2021-05-15,34
2021-05-16,27
2021-05-17,23
2021-05-18,25
2021-05-19,31
2021-05-20,33
2021-05-21,33
2021-05-22,30
2021-05-23,22
2021-05-24,29
2021-05-25,38
2021-05-26,18
2021-05-27,33
2021-05-28,22
2021-05-29,17
2021-05-30,30
2021-05-31,23
2021-06-01,94
2021-06-02,93
2021-06-03,65
2021-06-04,87
2021-06-05,75
2021-06-06,79
2021-06-07,62
2021-06-08,85
2021-06-09,56
2021-06-10,83
2021-06-11,64
2021-06-12,66
2021-06-13,76
2021-06-14,67
2021-06-15,81
2021-06-16,63
2021-06-17,63
2021-06-18,94
2021-06-19,66
2021-06-20,71
2021-06-21,79
2021-06-22,94
2021-06-23,74
2021-06-24,73
2021-06-25,100
2021-06-26,83
2021-06-27,55
2021-06-28,55
2021-06-29,68
2021-06-30,76
2021-07-01,69
2021-07-02,67
2021-07-03,23
2021-07-04,52
2021-07-05,38
2021-07-06,72
2021-07-07,58
2021-07-08,86
2021-07-09,71
2021-07-10,80
2021-07-11,56
