Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
PIE,2020-01-24,19.2797,0.42118393,-0.00121224,0.1805,0.235,-0.0544,1,1,-1,-37.6766,0,2.38839675,0.8873,1,-0.52850842,33.1254,0,-0.16041091,31.5826,25.0671,0.30881901,-0.28155234,0.23666529,0.07744581,44.5096,-0.08955236,71.4286,7.1429,0.714286,0.071429,1,18.7328,19.1907,19.6486,0.9158,0.0,30896107.4308,-0.00509975,19.10109939,19.1597812,18.86637029,18.90549088,216000.0,0.0,0.0,-0.15648842,-0.00820945,0.19601113,80,1.0,1.0,0.0,0.0,0.0,0.0
PIE,2020-01-27,19.1799,0.41392528,-0.00517643,0.0981,0.2076,-0.1095,1,1,-1,-228.9539,1,5.07681956,-3.159,-1,-4.56023893,18.5107,1,-0.44119316,21.1835,15.218,0.19578273,-0.32926675,0.13574132,-0.39290943,44.3451,-0.00369583,64.2857,100.0,0.642857,1.0,-1,18.2293,18.9365,19.6436,1.4143,1.0,30950473.3398,0.00175964,18.25998578,18.37735127,18.05459665,18.28932762,119600.0,0.0,0.0,-0.61616325,-0.03259176,0.10658627,77,0.0,1.0,0.0,0.0,0.0,0.0
PIE,2020-01-28,19.0929,0.40759759,-0.004536,0.0481,0.1757,-0.1276,1,1,-1,-155.746,1,-0.31974952,-1.7161,-1,-0.45675847,30.6519,0,0.65590172,19.504,18.2269,0.17752688,-0.0792834,0.16657359,0.19771981,43.4063,-0.02117032,57.1429,92.8571,0.571429,0.928571,-1,18.0495,18.8113,19.5731,1.5236,0.0,30973519.3398,0.00074461,18.41647143,18.48493385,18.34800901,18.48493385,23000.0,0.0,0.0,0.19560623,0.0106951,0.01697588,75,1.0,1.0,0.0,0.0,0.0,0.0
PIE,2020-01-29,19.0108,0.40162629,-0.00430003,0.0153,0.1436,-0.1283,1,1,-1,-122.53,1,-0.21327032,-0.8355,-1,-0.51314026,36.0144,0,0.17494837,21.789,31.9222,0.2023644,0.11715546,0.30690967,0.75137846,41.9148,-0.03436137,50.0,85.7143,0.5,0.857143,-1,18.095,18.6588,19.2225,1.1275,0.0,31031611.3398,0.00187554,18.53383741,18.57295799,18.43603315,18.57295799,58100.0,0.0,0.0,0.08802414,0.00476194,0.04953618,75,0.0,0.0,0.0,0.0,0.0,0.0
PIE,2020-01-30,18.9027,0.39376396,-0.00568624,-0.0375,0.1074,-0.1449,-1,1,-1,-181.368,1,0.48019261,-2.6371,-1,2.15631358,26.2778,1,-0.27035297,27.7858,33.2084,0.2675485,0.27522144,0.3200894,0.04029171,42.1019,0.00446382,42.8571,100.0,0.428571,1.0,-1,18.0167,18.4935,18.9703,0.9536,1.0,31078609.4088,0.00151452,18.17196459,18.26976886,17.98613665,18.24042702,62000.0,0.0,0.0,-0.33253098,-0.01790404,0.05315399,74,0.0,0.0,0.0,0.0,0.0,0.0
PIE,2020-01-31,18.7404,0.38195955,-0.00858608,-0.1061,0.0647,-0.1708,-1,1,-1,-188.1643,1,0.03747243,-7.0158,-1,1.66042243,19.4977,1,-0.25801627,30.2471,25.6107,0.29430237,0.08858122,0.24223557,-0.2287885,42.7241,0.01477843,35.7143,100.0,0.357143,1.0,-1,17.815,18.2901,18.7652,0.9502,0.0,31050640.3179,-0.00089995,18.03503975,18.03503975,17.81986998,17.88833427,76900.0,0.0,0.0,-0.35209274,-0.01930288,0.06697588,70,3.0,1.0,0.0,0.0,0.0,0.0
PIE,2020-02-03,18.5908,0.37107883,-0.00798275,-0.1446,0.0228,-0.1674,-1,1,-1,-135.4946,1,-0.27991335,-4.8919,-1,-0.30273098,30.8121,0,0.58029409,26.5851,20.9361,0.25449711,-0.12106946,0.19433483,-0.18252527,42.4704,-0.0059381,28.5714,92.8571,0.285714,0.928571,-1,17.7354,18.2451,18.7549,1.0195,0.0,31223673.5179,0.00557261,17.94701511,18.14262178,17.94701511,18.06437874,865200.0,0.0,0.0,0.17604446,0.0098413,0.79823748,71,26.0,4.0,477.0,0.0,0.0,282.0
PIE,2020-02-04,18.5312,0.36674401,-0.00320589,-0.1372,-0.0092,-0.128,-1,-1,-1,-51.9509,0,-0.61658324,-1.4576,-1,-0.70203806,52.2503,0,0.69577212,29.7538,42.7146,0.28894029,0.11919082,0.41749966,1.04023672,39.2485,-0.07586225,21.4286,85.7143,0.214286,0.857143,-1,17.73,18.251,18.772,1.042,0.0,31050647.6845,-0.0055415,18.5142765,18.62186138,18.50449589,18.5142765,207600.0,0.0,0.0,0.44989777,0.02490524,0.18821892,74,7.0,5.0,0.0,0.0,0.0,0.0
PIE,2020-02-05,18.4539,0.36112182,-0.00417134,-0.126,-0.0325,-0.0934,-1,-1,-1,-42.4084,0,-0.18368305,-1.8107,-1,0.24224753,54.1793,0,0.03691845,44.1323,68.7463,0.4452319,0.4832492,0.68424715,0.60943331,36.0795,-0.08074194,14.2857,78.5714,0.142857,0.785714,-1,17.7328,18.2491,18.7653,1.0325,0.0,31032010.2673,-0.00060023,18.6707639,18.6707639,18.51427781,18.56317902,53800.0,0.0,0.0,0.04890251,0.00264134,0.04554731,73,5.0,6.0,0.0,0.0,0.0,0.0
PIE,2020-02-06,18.3884,0.35635787,-0.00354939,-0.1282,-0.0517,-0.0765,-1,-1,-1,-54.4629,0,0.28424793,-2.8394,-1,0.56812283,46.6421,0,-0.13911586,64.1094,80.8674,0.66237925,0.45266392,0.80845236,0.1763164,33.7137,-0.06557186,7.1429,71.4286,0.071429,0.714286,-1,17.7537,18.2833,18.8129,1.0592,0.0,30994985.2673,-0.00119312,18.51427738,18.5729592,18.4066925,18.4066925,37000.0,0.0,0.0,-0.15648651,-0.00842994,0.02996289,75,2.0,6.0,0.0,0.0,0.0,0.0
