Date,daily_trend
2019-12-01,85
2019-12-02,100
2019-12-03,92
2019-12-04,95
2019-12-05,88
2019-12-06,87
2019-12-07,76
2019-12-08,75
2019-12-09,93
2019-12-10,88
2019-12-11,89
2019-12-12,91
2019-12-13,90
2019-12-14,80
2019-12-15,77
2019-12-16,93
2019-12-17,91
2019-12-18,87
2019-12-19,88
2019-12-20,88
2019-12-21,74
2019-12-22,67
2019-12-23,85
2019-12-24,70
2019-12-25,61
2019-12-26,77
2019-12-27,85
2019-12-28,76
2019-12-29,72
2019-12-30,83
2019-12-31,77
2020-01-01,76
2020-01-02,100
2020-01-03,99
2020-01-04,88
2020-01-05,83
2020-01-06,90
2020-01-07,93
2020-01-08,94
2020-01-09,93
2020-01-10,96
2020-01-11,81
2020-01-12,78
2020-01-13,91
2020-01-14,88
2020-01-15,88
2020-01-16,89
2020-01-17,85
2020-01-18,77
2020-01-19,76
2020-01-20,90
2020-01-21,89
2020-01-22,93
2020-01-23,86
2020-01-24,86
2020-01-25,80
2020-01-26,75
2020-01-27,86
2020-01-28,87
2020-01-29,87
2020-01-30,89
2020-01-31,92
2020-02-01,90
2020-02-02,84
2020-02-03,94
2020-02-04,100
2020-02-05,94
2020-02-06,91
2020-02-07,95
2020-02-08,83
2020-02-09,80
2020-02-10,92
2020-02-11,93
2020-02-12,93
2020-02-13,96
2020-02-14,91
2020-02-15,83
2020-02-16,81
2020-02-17,96
2020-02-18,92
2020-02-19,91
2020-02-20,94
2020-02-21,92
2020-02-22,82
2020-02-23,82
2020-02-24,98
2020-02-25,93
2020-02-26,90
2020-02-27,90
2020-02-28,97
2020-02-29,89
2020-03-01,79
2020-03-02,87
2020-03-03,86
2020-03-04,84
2020-03-05,81
2020-03-06,83
2020-03-07,73
2020-03-08,74
2020-03-09,87
2020-03-10,84
2020-03-11,81
2020-03-12,78
2020-03-13,80
2020-03-14,74
2020-03-15,71
2020-03-16,75
2020-03-17,73
2020-03-18,83
2020-03-19,81
2020-03-20,84
2020-03-21,81
2020-03-22,72
2020-03-23,85
2020-03-24,88
2020-03-25,87
2020-03-26,90
2020-03-27,90
2020-03-28,86
2020-03-29,79
2020-03-30,96
2020-03-31,100
2020-04-01,84
2020-04-02,79
