Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
QCOM,2019-12-02,81.5545,0.19621819436605964,,0.4233,1.4417,-1.0183,1,1,-1,-104.3142,1,-1.352,-1,,15.3925,1,,15.3939,12.8676,0.11086291367109043,,0.09187135536313837,,23.5353,,28.5714,100.0,0.285714,1.0,-1,78.3353,80.2817,82.2281,3.892799999999994,1417668759.8392,
QCOM,2019-12-03,80.6099,0.18640042488928243,-0.01158243873728621,0.0294,1.1592,-1.1298,1,1,-1,-144.4332,1,-5.3003,-1,2.92034023668639,10.1462,1,-0.34083482215364624,11.8623,7.1539,0.06943010530662812,-0.22941554771695288,0.02876722919243683,-0.4440377381951568,24.8004,0.05375329823711618,21.4286,100.0,0.214286,1.0,-1,76.4078,79.383,82.3581,5.950299999999999,1417384156.2441,-0.0002007546495785146
QCOM,2019-12-04,80.1081,0.18118492973424666,-0.006225041837292974,-0.1183,0.9037,-1.022,-1,1,-1,-100.9666,1,-3.2296,-1,-0.390675999471728,39.411,0,2.884311367802724,14.3936,23.1592,0.099127372214818,0.21339032059550003,0.20553543028803675,2.2372831602342775,24.1157,-0.027608425670553677,14.2857,92.8571,0.142857,0.928571,-1,76.3675,79.0147,81.6618,5.294299999999993,1422795293.1088,0.003817692501261416
QCOM,2019-12-05,79.8785,0.1787985652711216,-0.002866127145694265,-0.1935,0.6843,-0.8777,-1,1,-1,-78.1413,0,-1.6733,-1,-0.48188630170919,44.8528,0,0.13807820151734287,24.5827,43.435,0.21866611604377448,0.707891007114273,0.4294685456794487,0.8754965629209992,22.5296,-0.06577043171046255,7.1429,85.7143,0.071429,0.857143,-1,76.7398,78.712,80.6842,3.9444000000000017,1422641991.2053,-0.00010774698527774707
QCOM,2019-12-06,79.8158,0.1781468882160782,-0.0007849421308613286,-0.1559,0.5162,-0.6721,-1,1,-1,-48.8222,0,-6.1423,-1,2.6707703340703994,56.6033,0,0.26197918524596,45.3487,69.452,0.462293281775008,0.8447404068714992,0.7168095069800319,0.5989869920570967,20.3561,-0.09647308429799008,0.0,78.5714,0.0,0.785714,-1,76.4869,78.8843,81.2817,4.794799999999995,1422393977.4468,-0.000174333219484106
QCOM,2019-12-09,79.8799,0.17881311627394555,0.000803099135760219,-0.0403,0.4049,-0.4452,-1,1,-1,-26.2938,0,-9.0062,-1,0.46625856763753,64.9515,0,0.14748610063370862,65.3589,83.1897,0.6970533853922251,0.441251899172413,0.8685335306591271,0.19780135921211778,19.1511,-0.05919601495374859,0.0,71.4286,0.0,0.714286,-1,76.2612,79.4781,82.6949,6.433700000000002,1426452205.3916,0.002853096968312835
QCOM,2019-12-10,79.8289,0.17828304402821651,-0.0006384584858018341,-0.0106,0.3218,-0.3324,-1,1,-1,-28.5483,0,-7.7141,-1,-0.14346783327041368,55.2834,0,-0.14885106579524715,79.8171,86.8096,0.8666773036998103,0.22121241330560934,0.9085129881604525,0.04351380038634592,17.9136,-0.06461769820010342,0.0,64.2857,0.0,0.642857,-1,78.2865,80.2748,82.2631,3.9765999999999906,1422606744.0385,-0.002695822081220127
QCOM,2019-12-11,80.1167,0.1812743144658794,0.003605210644265298,0.2329,0.304,-0.0712,1,1,-1,28.103,0,-3.6528,-1,-0.52647748927289,73.1835,-1,0.3237879725197798,86.3215,88.9653,0.9429870666191129,0.08149130950635897,0.9323213023502386,0.02483250700383363,18.2569,0.019164210432297407,0.0,57.1429,0.0,0.571429,-1,78.4154,81.2188,84.0222,5.606799999999993,1431283407.5601,0.00609913003573192
QCOM,2019-12-12,80.5864,0.18615617591330927,0.005862697789599461,0.5789,0.359,0.2199,1,1,1,89.8905,0,-0.8261,-1,-0.7738447218572054,80.2698,-1,0.09682920330402357,88.596,90.013,0.9696715503162954,0.026349171411525558,0.9438924721682277,0.011776501624790858,19.9254,0.09139010456320612,100.0,50.0,1.0,0.5,1,78.6646,82.4608,86.2571,7.592500000000001,1441925219.6233,0.007435153657891575
QCOM,2019-12-13,81.0581,0.1910588245076304,0.005853344981287146,0.7499,0.4372,0.3127,1,1,1,99.1903,0,-2.1956,-1,1.657789613848203,67.1364,0,-0.16361570603140918,88.9616,87.9065,0.973960777504552,0.004126597137568294,0.920627540201449,-0.02340217524135415,21.6917,0.08864564826803985,100.0,42.8571,1.0,0.42857100000000004,1,79.7245,83.2318,86.739,7.014499999999998,1432751014.0153,-0.006362469761363063
