Date,daily_trend
2019-12-01,41
2019-12-02,31
2019-12-03,35
2019-12-04,35
2019-12-05,39
2019-12-06,36
2019-12-07,41
2019-12-08,42
2019-12-09,35
2019-12-10,33
2019-12-11,34
2019-12-12,40
2019-12-13,38
2019-12-14,41
2019-12-15,42
2019-12-16,35
2019-12-17,36
2019-12-18,36
2019-12-19,39
2019-12-20,40
2019-12-21,40
2019-12-22,39
2019-12-23,42
2019-12-24,50
2019-12-25,100
2019-12-26,53
2019-12-27,47
2019-12-28,46
2019-12-29,43
2019-12-30,41
2019-12-31,41
2020-01-01,100
2020-01-02,75
2020-01-03,68
2020-01-04,70
2020-01-05,68
2020-01-06,57
2020-01-07,57
2020-01-08,53
2020-01-09,65
2020-01-10,59
2020-01-11,67
2020-01-12,67
2020-01-13,55
2020-01-14,52
2020-01-15,58
2020-01-16,57
2020-01-17,64
2020-01-18,66
2020-01-19,65
2020-01-20,62
2020-01-21,56
2020-01-22,55
2020-01-23,60
2020-01-24,58
2020-01-25,71
2020-01-26,69
2020-01-27,54
2020-01-28,56
2020-01-29,60
2020-01-30,56
2020-01-31,59
2020-02-01,100
2020-02-02,90
2020-02-03,74
2020-02-04,76
2020-02-05,79
2020-02-06,83
2020-02-07,85
2020-02-08,98
2020-02-09,100
2020-02-10,77
2020-02-11,79
2020-02-12,82
2020-02-13,90
2020-02-14,94
2020-02-15,95
2020-02-16,97
2020-02-17,93
2020-02-18,82
2020-02-19,80
2020-02-20,90
2020-02-21,94
2020-02-22,98
2020-02-23,94
2020-02-24,82
2020-02-25,79
2020-02-26,87
2020-02-27,84
2020-02-28,83
2020-02-29,98
2020-03-01,87
2020-03-02,70
2020-03-03,75
2020-03-04,72
2020-03-05,100
2020-03-06,88
2020-03-07,95
2020-03-08,86
2020-03-09,73
2020-03-10,69
2020-03-11,67
2020-03-12,69
2020-03-13,68
2020-03-14,73
2020-03-15,79
2020-03-16,77
2020-03-17,73
2020-03-18,70
2020-03-19,64
2020-03-20,77
2020-03-21,87
2020-03-22,78
2020-03-23,66
2020-03-24,66
2020-03-25,68
2020-03-26,73
2020-03-27,70
2020-03-28,69
2020-03-29,63
2020-03-30,57
2020-03-31,56
2020-04-01,76
2020-04-02,74
2020-04-03,79
2020-04-04,84
2020-04-05,77
2020-04-06,69
2020-04-07,74
2020-04-08,75
2020-04-09,74
2020-04-10,83
2020-04-11,85
2020-04-12,88
2020-04-13,76
2020-04-14,73
2020-04-15,76
2020-04-16,78
2020-04-17,82
2020-04-18,100
2020-04-19,96
2020-04-20,78
2020-04-21,80
2020-04-22,81
2020-04-23,81
2020-04-24,81
2020-04-25,96
2020-04-26,95
2020-04-27,79
2020-04-28,82
2020-04-29,86
2020-04-30,84
2020-05-01,67
2020-05-02,78
2020-05-03,76
2020-05-04,68
2020-05-05,65
2020-05-06,69
2020-05-07,68
2020-05-08,71
2020-05-09,81
2020-05-10,86
2020-05-11,70
2020-05-12,69
2020-05-13,70
2020-05-14,76
2020-05-15,75
2020-05-16,89
2020-05-17,83
2020-05-18,70
2020-05-19,67
2020-05-20,73
2020-05-21,91
2020-05-22,96
2020-05-23,100
2020-05-24,95
2020-05-25,91
2020-05-26,85
2020-05-27,76
2020-05-28,81
2020-05-29,81
2020-05-30,92
2020-05-31,90
2020-06-01,68
2020-06-02,64
2020-06-03,65
2020-06-04,65
2020-06-05,65
2020-06-06,81
2020-06-07,78
2020-06-08,61
2020-06-09,62
2020-06-10,74
2020-06-11,80
2020-06-12,100
2020-06-13,83
2020-06-14,78
2020-06-15,64
2020-06-16,62
2020-06-17,64
2020-06-18,73
2020-06-19,70
2020-06-20,74
2020-06-21,68
2020-06-22,62
2020-06-23,67
2020-06-24,64
2020-06-25,66
2020-06-26,67
2020-06-27,79
2020-06-28,78
2020-06-29,70
2020-06-30,61
2020-07-01,80
2020-07-02,83
2020-07-03,96
2020-07-04,100
2020-07-05,91
2020-07-06,79
2020-07-07,76
2020-07-08,75
2020-07-09,93
2020-07-10,87
