Date,daily_trend
2019-12-01,0
2019-12-02,0
2019-12-03,48
2019-12-04,25
2019-12-05,0
2019-12-06,0
2019-12-07,28
2019-12-08,28
2019-12-09,100
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,29
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,50
2020-01-07,0
2020-01-08,0
2020-01-09,50
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,45
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,49
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,49
2020-01-30,49
2020-01-31,100
2020-02-01,0
2020-02-02,0
2020-02-03,86
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,94
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,90
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,100
2020-03-01,0
2020-03-02,0
2020-03-03,91
2020-03-04,0
2020-03-05,0
2020-03-06,95
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,92
2020-03-20,91
2020-03-21,0
2020-03-22,100
2020-03-23,0
2020-03-24,88
2020-03-25,0
2020-03-26,0
2020-03-27,87
2020-03-28,98
2020-03-29,0
2020-03-30,86
2020-03-31,87
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,58
2020-04-05,59
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,100
2020-04-21,50
2020-04-22,0
2020-04-23,50
2020-04-24,52
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,86
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,84
2020-05-15,0
