Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
SRCL,2020-01-24,62.691,0.53716425,0.00145367,-0.009,-0.0293,0.0203,-1,-1,1,-5.6019,0,1.46681932,-1.8449,-1,-0.02690015,47.7629,0,-0.14549804,45.6498,42.6748,0.43116366,-0.14830874,0.41600441,-0.0149643,16.8982,-0.08516455,71.4286,35.7143,0.714286,0.357143,1,62.4548,63.014,63.5732,1.1184,1.0,167273375.4765,-6.046e-05,63.20000076,63.25,62.34000015,62.77999878,306800.0,0.0,0.0,-0.35000229,-0.00554415,0.13999229,55,1.0,1.0,0.0,0.0,0.0,0.0
SRCL,2020-01-27,62.829,0.54113919,0.00220127,-0.005,-0.0245,0.0194,-1,-1,1,-28.1757,0,4.02966851,-2.314,-1,0.25426852,50.829,0,0.06419418,44.8326,48.4999,0.42131078,-0.0179015,0.48227819,0.13649976,17.6957,0.04719438,64.2857,100.0,0.642857,1.0,-1,62.4763,62.924,63.3717,0.8954,1.0,167453745.1602,0.00107829,61.86999893,63.38000107,61.22999954,62.90000153,325900.0,0.0,0.0,0.12000275,0.00191148,0.15226893,64,0.0,1.0,0.0,0.0,0.0,0.0
SRCL,2020-01-28,62.973,0.54528696,0.00229194,0.0492,-0.0098,0.0589,1,-1,1,91.099,0,-4.23324709,-0.7808,-1,-0.66257563,64.6585,0,0.27207893,50.0935,59.1058,0.48474081,0.11734541,0.60294444,0.2186788,16.1341,-0.08824743,57.1429,92.8571,0.571429,0.928571,-1,62.5842,63.112,63.6398,1.0556,-1.0,167453745.1602,0.0,62.86999893,64.20999908,62.86999893,63.54000092,613300.0,0.0,0.0,0.63999939,0.01017487,0.33699704,75,1.0,1.0,0.0,0.0,0.0,0.0
SRCL,2020-01-29,63.117,0.54943472,0.00228669,0.0839,0.009,0.0749,1,1,1,98.5679,0,0.08198663,-1.199,-1,0.53560451,61.6124,0,-0.04711059,60.6215,74.2587,0.61167564,0.21016699,0.77534317,0.25636909,14.7286,-0.08711363,50.0,85.7143,0.5,0.857143,-1,62.5658,63.16,63.7542,1.1884,-1.0,167341876.9428,-0.00066805,63.72999954,63.90000153,63.20999908,63.45000076,367600.0,0.0,0.0,-0.09000015,-0.00141643,0.17907186,40,0.0,0.0,0.0,0.0,0.0,0.0
SRCL,2020-01-30,63.322,0.55533953,0.00324794,0.1835,0.0439,0.1397,1,1,1,152.3511,-1,0.5456462,0.8776,1,-1.73194329,76.0371,-1,0.23412008,72.3166,83.5852,0.75268205,0.19292,0.88145333,0.12559471,14.2894,-0.02981953,100.0,78.5714,1.0,0.785714,1,62.2777,63.408,64.5383,2.2606,0.0,167650819.7022,0.00184618,63.27000046,64.41000366,63.06000137,64.37000275,328400.0,0.0,0.0,0.92000198,0.01449964,0.15387582,47,0.0,0.0,0.0,0.0,0.0,0.0
SRCL,2020-01-31,63.201,0.55185425,-0.00191087,0.1247,0.0601,0.0647,1,1,1,76.2392,0,-0.49958222,0.0319,1,-0.96365087,40.8181,0,-0.46318179,76.1827,70.7043,0.79929515,0.05346075,0.73490378,-0.15410503,13.2731,-0.07112265,100.0,71.4286,1.0,0.714286,1,62.2113,63.388,64.5647,2.3534,-1.0,167343287.6253,-0.00183436,64.26000214,64.95999908,62.49000168,62.68000031,363400.0,0.0,0.0,-1.69000244,-0.0262545,0.17637228,42,3.0,1.0,0.0,0.0,0.0,0.0
SRCL,2020-02-03,63.204,0.55194066,4.747e-05,0.133,0.0747,0.0584,1,1,1,46.9725,0,-0.38387995,2.2753,1,70.32601881,52.2655,0,0.28044911,70.9873,58.6726,0.73665484,-0.06819659,0.5980158,-0.17016928,12.586,-0.05176635,92.8571,64.2857,0.928571,0.642857,1,62.4083,63.484,64.5597,2.1514,1.0,167563953.217,0.00131864,62.65000153,63.72999954,62.40000153,63.38000107,463900.0,0.0,0.0,0.70000076,0.01116785,0.24096928,69,26.0,4.0,477.0,0.0,0.0,282.0
SRCL,2020-02-04,63.294,0.55453302,0.00142396,0.1476,0.0892,0.0584,1,1,1,118.3134,-1,1.51878014,1.5837,1,-0.30395992,54.1652,0,0.03634711,56.4984,40.1185,0.56196392,-0.20410552,0.38692068,-0.31623109,12.9896,0.03206738,85.7143,57.1429,0.857143,0.571429,1,62.4015,63.476,64.5505,2.149,-1.0,167032021.47,-0.0031745,64.26000214,64.72000122,63.43999863,63.5,586700.0,0.0,0.0,0.11999893,0.00189332,0.31989973,65,7.0,5.0,0.0,0.0,0.0,0.0
SRCL,2020-02-05,63.468,0.5595449,0.00274908,0.273,0.126,0.147,1,1,1,169.3133,-1,0.43105768,3.7043,1,1.33901623,71.3735,-1,0.31770029,53.0516,60.3639,0.52040627,-0.06100704,0.61725819,0.50464,13.7828,0.06106424,78.5714,50.0,0.785714,0.5,1,62.1847,63.776,65.3673,3.1826,0.0,167779302.47,0.00447388,64.27999878,64.94999695,63.90999985,64.94999695,747300.0,0.0,0.0,1.44999695,0.0228346,0.42312637,65,5.0,6.0,0.0,0.0,0.0,0.0
SRCL,2020-02-06,63.724,0.5669187,0.00403353,0.4272,0.1862,0.241,1,1,1,212.5913,-1,0.25560898,6.1914,1,0.6714089,76.9049,-1,0.07749935,59.8239,78.9892,0.60205907,0.12765496,0.82916337,0.30855031,16.0239,0.16260121,100.0,42.8571,1.0,0.428571,1,61.826,64.04,66.254,4.428,0.0,168113399.3636,0.00199129,65.0,65.88999939,64.72000122,65.69000244,506500.0,0.0,0.0,0.74000549,0.01139346,0.26835069,76,2.0,6.0,0.0,0.0,0.0,0.0
