Date,daily_trend
2019-12-01,22
2019-12-02,0
2019-12-03,19
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,23
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,20
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,22
2019-12-16,40
2019-12-17,0
2019-12-18,0
2019-12-19,20
2019-12-20,21
2019-12-21,23
2019-12-22,23
2019-12-23,21
2019-12-24,23
2019-12-25,100
2019-12-26,22
2019-12-27,22
2019-12-28,23
2019-12-29,0
2019-12-30,42
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,46
2020-01-04,50
2020-01-05,100
2020-01-06,0
2020-01-07,88
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,98
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,49
2020-01-19,49
2020-01-20,0
2020-01-21,44
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,43
2020-01-28,0
2020-01-29,43
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,42
2020-02-04,45
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,50
2020-02-10,0
2020-02-11,87
2020-02-12,0
2020-02-13,0
2020-02-14,46
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,44
2020-02-19,44
2020-02-20,87
2020-02-21,46
2020-02-22,0
2020-02-23,100
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,45
2020-02-29,48
2020-03-01,29
2020-03-02,25
2020-03-03,51
2020-03-04,26
2020-03-05,0
2020-03-06,0
2020-03-07,30
2020-03-08,29
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,26
2020-03-14,0
2020-03-15,0
2020-03-16,100
2020-03-17,25
2020-03-18,26
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,25
2020-03-25,26
2020-03-26,0
2020-03-27,24
2020-03-28,0
2020-03-29,0
2020-03-30,24
2020-03-31,0
2020-04-01,32
2020-04-02,32
2020-04-03,0
2020-04-04,37
2020-04-05,37
2020-04-06,0
2020-04-07,0
2020-04-08,66
2020-04-09,0
2020-04-10,35
2020-04-11,0
2020-04-12,0
2020-04-13,100
2020-04-14,33
2020-04-15,32
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,64
2020-04-22,0
2020-04-23,0
2020-04-24,33
2020-04-25,0
2020-04-26,37
2020-04-27,0
2020-04-28,32
2020-04-29,0
2020-04-30,31
2020-05-01,33
2020-05-02,0
2020-05-03,36
2020-05-04,31
2020-05-05,87
2020-05-06,0
2020-05-07,32
2020-05-08,0
2020-05-09,36
2020-05-10,73
2020-05-11,0
2020-05-12,0
2020-05-13,63
2020-05-14,0
2020-05-15,0
2020-05-16,36
2020-05-17,36
2020-05-18,0
2020-05-19,0
2020-05-20,63
2020-05-21,100
2020-05-22,0
2020-05-23,0
2020-05-24,37
2020-05-25,67
2020-05-26,0
2020-05-27,32
2020-05-28,32
2020-05-29,33
2020-05-30,73
2020-05-31,37
2020-06-01,42
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,82
2020-06-06,0
2020-06-07,48
2020-06-08,0
2020-06-09,0
2020-06-10,42
2020-06-11,0
2020-06-12,45
2020-06-13,100
2020-06-14,0
2020-06-15,0
2020-06-16,42
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,50
2020-06-22,87
2020-06-23,87
2020-06-24,45
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,98
2020-06-29,0
2020-06-30,88
2020-07-01,43
2020-07-02,43
2020-07-03,45
2020-07-04,49
2020-07-05,98
2020-07-06,42
2020-07-07,0
2020-07-08,0
2020-07-09,43
2020-07-10,0
2020-07-11,99
2020-07-12,50
2020-07-13,0
2020-07-14,44
2020-07-15,43
2020-07-16,88
2020-07-17,0
2020-07-18,99
2020-07-19,100
2020-07-20,0
2020-07-21,44
2020-07-22,88
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,44
2020-07-30,44
2020-07-31,0
2020-08-01,0
2020-08-02,51
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,44
2020-08-07,45
2020-08-08,100
2020-08-09,51
2020-08-10,43
2020-08-11,0
2020-08-12,43
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,43
2020-08-20,44
2020-08-21,44
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,43
2020-08-26,43
2020-08-27,0
2020-08-28,45
2020-08-29,0
2020-08-30,0
2020-08-31,42
2020-09-01,42
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,100
2020-09-07,44
2020-09-08,0
2020-09-09,42
2020-09-10,43
2020-09-11,88
2020-09-12,0
2020-09-13,0
2020-09-14,42
2020-09-15,85
2020-09-16,42
2020-09-17,0
2020-09-18,0
2020-09-19,49
2020-09-20,97
2020-09-21,42
2020-09-22,82
2020-09-23,83
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,99
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,87
2020-10-03,0
2020-10-04,47
2020-10-05,41
2020-10-06,0
2020-10-07,41
2020-10-08,42
2020-10-09,0
2020-10-10,0
2020-10-11,100
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,49
2020-10-18,50
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,50
2020-10-25,0
2020-10-26,0
2020-10-27,44
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,50
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,46
2020-11-13,48
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,52
2020-11-22,0
2020-11-23,46
2020-11-24,0
2020-11-25,45
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,100
2020-11-30,44
2020-12-01,25
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,29
2020-12-06,29
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,26
2020-12-15,0
2020-12-16,27
2020-12-17,27
2020-12-18,28
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,28
2020-12-23,56
2020-12-24,61
2020-12-25,100
2020-12-26,61
2020-12-27,0
2020-12-28,27
2020-12-29,28
2020-12-30,28
2020-12-31,30
2021-01-01,0
2021-01-02,0
2021-01-03,50
2021-01-04,0
2021-01-05,0
2021-01-06,45
2021-01-07,89
2021-01-08,45
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,46
2021-01-16,100
2021-01-17,49
2021-01-18,0
2021-01-19,86
2021-01-20,43
2021-01-21,0
2021-01-22,46
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,88
2021-01-27,0
2021-01-28,44
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,58
2021-02-03,29
2021-02-04,0
2021-02-05,30
2021-02-06,0
2021-02-07,0
2021-02-08,29
2021-02-09,0
2021-02-10,0
2021-02-11,30
2021-02-12,0
2021-02-13,33
2021-02-14,0
2021-02-15,0
2021-02-16,29
2021-02-17,29
2021-02-18,0
2021-02-19,0
2021-02-20,100
2021-02-21,34
2021-02-22,0
2021-02-23,29
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,66
2021-02-28,33
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,55
2021-03-07,55
2021-03-08,0
2021-03-09,0
2021-03-10,47
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,39
2021-03-16,0
2021-03-17,0
2021-03-18,49
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,100
2021-03-30,50
2021-03-31,50
2021-04-01,0
2021-04-02,100
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,45
2021-04-10,98
2021-04-11,50
2021-04-12,44
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,92
2021-04-17,50
2021-04-18,0
2021-04-19,0
2021-04-20,44
2021-04-21,45
2021-04-22,45
2021-04-23,46
2021-04-24,0
2021-04-25,99
2021-04-26,0
2021-04-27,44
2021-04-28,44
2021-04-29,0
2021-04-30,0
2021-05-01,98
2021-05-02,32
2021-05-03,0
2021-05-04,28
2021-05-05,0
2021-05-06,29
2021-05-07,30
2021-05-08,0
2021-05-09,0
2021-05-10,30
2021-05-11,29
2021-05-12,59
2021-05-13,30
2021-05-14,62
2021-05-15,0
2021-05-16,65
2021-05-17,0
2021-05-18,0
2021-05-19,58
2021-05-20,29
2021-05-21,0
2021-05-22,100
2021-05-23,0
2021-05-24,30
2021-05-25,59
2021-05-26,0
2021-05-27,30
2021-05-28,31
2021-05-29,0
2021-05-30,34
2021-05-31,0
2021-06-01,0
2021-06-02,100
2021-06-03,34
2021-06-04,70
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,34
2021-06-10,0
2021-06-11,0
2021-06-12,38
2021-06-13,0
