Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
TCOM,2019-12-02,32.134,0.4732091615797986,,0.0844,0.1083,-0.0238,1,1,-1,-36.1607,0,-5.6526,-1,,37.1082,0,,80.0563,62.0373,0.8510191151876986,,0.6397093199871594,,19.0608,,7.1429,57.1429,0.071429,0.571429,-1,31.8281,32.79,33.7519,1.9238,133331240.3276,
TCOM,2019-12-03,32.139,0.473470026608233,0.0001555984315678894,0.0007,0.0868,-0.0861,1,1,-1,-81.6874,0,-9.8769,-1,0.7473198174291477,31.4981,0,-0.15118221848540206,63.402,38.8797,0.6609026204188333,-0.20803234723563285,0.3902484741022895,-0.3732851042840356,19.3055,0.01283786619659186,0.0,50.0,0.0,0.5,-1,31.1046,32.524,33.9434,2.8387999999999955,135158316.5067,0.013703286451178359
TCOM,2019-12-04,32.146,0.4738352376480409,0.00021780391424742202,-0.049,0.0596,-0.1086,-1,1,-1,-61.4973,0,-11.3846,-1,0.1526491105508815,37.412,0,0.1877541819982792,39.7622,18.3697,0.39104343011740805,-0.37285574587552445,0.16930839615385446,-0.5275246465379105,18.977,-0.017015876304679923,0.0,42.8571,0.0,0.42857100000000004,-1,30.7842,32.282,33.7798,2.995600000000003,135823376.9096,0.004920602890662762
TCOM,2019-12-05,32.267,0.4801481713361508,0.003764076401418597,-0.0443,0.0388,-0.0831,-1,1,-1,-25.9891,0,-8.0742,-1,-0.29077877132266405,51.5336,0,0.3774617769699562,29.955,32.6156,0.2790897312229953,-0.24664631232678277,0.32276964707758005,0.7755107595660243,17.5281,-0.07635031880697696,64.2857,35.7143,0.642857,0.357143,1,30.8596,32.1,33.3404,2.480800000000002,136867426.1488,0.007686815502274577
TCOM,2019-12-06,32.453,0.4898523503939063,0.0057644032602968956,0.0117,0.0334,-0.0217,1,1,-1,48.4116,0,-5.8975,-1,-0.2695870798345346,63.8172,0,0.23836099166369126,34.3466,52.0544,0.32922186517200247,0.146606576531464,0.532170426561931,0.5959970075669312,16.9857,-0.0309445975319628,57.1429,28.5714,0.571429,0.285714,1,31.0507,32.026,33.0013,1.9506000000000014,136195688.7202,-0.0049079422876680805
TCOM,2019-12-09,32.427,0.48849585224604786,-0.0008011585985888316,-0.0083,0.025,-0.0334,-1,1,-1,10.4148,0,-6.1457,-1,0.04208562950402709,45.9144,0,-0.2805325210131438,47.4736,57.7507,0.4790726080330592,0.38219212382011597,0.5935327359728365,0.10942975041495052,15.5007,-0.08742648227626774,50.0,21.4286,0.5,0.214286,1,31.0996,32.064,33.0284,1.928799999999999,134226353.698,-0.014459598836830907
TCOM,2019-12-10,32.331,0.4834872437001097,-0.002960495883060306,-0.0415,0.0117,-0.0532,-1,1,-1,-21.6547,0,-5.9917,-1,-0.02505817075353498,41.8762,0,-0.08795062115589017,53.2428,49.9232,0.5449306796194087,0.12152438407873019,0.5092124795056802,-0.13553948263830567,14.4249,-0.06940331726954273,42.8571,14.2857,0.42857100000000004,0.142857,1,31.3183,32.138,32.9577,1.639400000000002,133297553.698,-0.006919654556732953
TCOM,2019-12-11,32.239,0.4786873271769185,-0.00284556617487878,-0.0574,-0.0021,-0.0553,-1,-1,-1,-6.0129,0,-5.3302,-1,-0.11040272376787894,45.1645,0,0.07852431691509736,46.4198,31.5856,0.4670429963299297,-0.12814878255839288,0.3116741677851915,-0.36731619767963597,13.4567,-0.06712004935909431,35.7143,7.1429,0.357143,0.071429,1,31.4796,32.196,32.9124,1.4327999999999967,132814954.0105,-0.0036204691992576376
TCOM,2019-12-12,32.247,0.4791047112224135,0.00024814665467299456,0.0297,0.0043,0.0254,1,1,1,90.3031,0,1.4046,1,-1.2635173164233988,68.317,0,0.5126260669331001,42.5989,46.2881,0.4234256653786223,-0.08231185830184537,0.4700540554515429,0.4654811053138139,13.713,0.019046274346607973,28.5714,0.0,0.285714,0.0,1,31.3084,32.394,33.4796,2.171199999999999,135910148.7866,0.02330456535681439
TCOM,2019-12-13,32.301,0.4819220535295039,0.0016745743790120646,0.143,0.032,0.111,1,1,1,171.1436,-1,7.9233,1,4.640965399401964,74.5027,-1,0.09054408126820575,47.2834,63.9764,0.47690138754915784,0.10996762827209153,0.6605979062938298,0.3821349331685681,15.2557,0.11249908845620944,100.0,42.8571,1.0,0.42857100000000004,1,31.0263,32.576,34.1257,3.099400000000003,134992359.8854,-0.006752909252134418
TCOM,2019-12-16,32.522,0.49345228778629924,0.006841893439831477,0.2549,0.0766,0.1783,1,1,1,173.8218,-1,9.4733,1,0.1956255600570469,77.4904,-1,0.04010190234716311,65.1064,85.0548,0.6803591303702604,0.3769398985690537,0.8876609652420646,0.32947149261290104,16.906,0.10817596046068026,100.0,35.7143,1.0,0.357143,1,31.1422,32.98,34.8178,3.6755999999999993,133934632.6573,-0.007835459940088057
TCOM,2019-12-17,32.774,0.5065998852193875,0.007748600947051302,0.3325,0.1278,0.2048,1,1,1,145.6442,-1,8.1769,1,-0.13684777215964872,74.3296,-1,-0.0407895687723898,77.1172,82.3205,0.8174679368268445,0.1844795596131871,0.8582062380292704,-0.03214750960557199,18.1635,0.07438187625695021,100.0,28.5714,1.0,0.285714,1,31.8451,33.41,34.9749,3.1297999999999995,132536255.3385,-0.010440744795097514
TCOM,2019-12-18,33.037,0.520321385715031,0.00802465368889968,0.4143,0.1851,0.2292,1,1,1,129.8159,-1,8.5416,1,0.04460125475424683,78.1644,-1,0.05159182882727744,84.4382,85.9394,0.9010405191751187,0.0949334260061309,0.8971901506615276,0.04396110324888711,19.1314,0.053288187849258144,92.8571,21.4286,0.928571,0.214286,1,33.1285,33.878,34.6275,1.4989999999999952,134674045.7385,0.016129853635445265
