Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,BBANDS_compare_high_low_price,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
THRM,2020-01-24,47.3575,0.29517295,0.00381538,1.0325,0.9369,0.0956,1,1,1,102.4834,-1,7.7547,1,-0.06586761,59.9821,0,-0.2473184,81.2325,70.2262,0.82860579,-0.08764945,0.70577268,-0.17707208,42.5158,-0.00899498,92.8571,0.0,0.928571,0.0,1,47.6513,48.009,48.3667,0.7154,20443140.7316,1.0,-0.00122989,48.25999832,48.36999893,47.47999954,47.79999924,88900.0,0.0,0.0,-0.47000122,-0.00973692,0.12145969,0,1.0,1.0,0.0,0.0,0.0,0.0
THRM,2020-01-27,47.5085,0.29791621,0.00318851,0.9559,0.9407,0.0151,1,1,1,51.9445,0,6.3499,1,-0.18115465,43.6258,0,-0.27268635,70.412,55.6727,0.70900697,-0.13320407,0.55333548,-0.20723747,38.4739,-0.09506819,85.7143,0.0,0.857143,0.0,1,47.1462,47.824,48.5018,1.3556,20450177.7484,1.0,0.00034422,46.97000122,47.77999878,46.59000015,47.22999954,93000.0,0.0,0.0,-0.56999969,-0.01192468,0.12890341,25,0.0,1.0,0.0,0.0,0.0,0.0
THRM,2020-01-28,47.6345,0.30020529,0.00265216,0.9193,0.9364,-0.0172,1,1,-1,67.9755,0,7.6089,1,0.19827084,55.1567,0,0.26431378,57.0399,45.2207,0.56120535,-0.18991223,0.44385847,-0.18774013,35.0273,-0.08958281,78.5714,0.0,0.785714,0.0,1,47.0923,47.762,48.4317,1.3394,20475555.4756,0.0,0.00124095,47.66999817,47.84000015,47.18000031,47.65999985,55800.0,0.0,0.0,0.43000031,0.00910439,0.06136529,0,1.0,1.0,0.0,0.0,0.0,0.0
THRM,2020-01-29,47.695,0.30130441,0.00127009,0.8602,0.9212,-0.061,1,1,-1,72.3068,0,6.4436,1,-0.1531496,48.0187,0,-0.12941311,48.9089,45.8333,0.47133353,-0.14254934,0.450275,0.01354689,33.541,-0.04243262,71.4286,14.2857,0.714286,0.142857,1,46.9595,47.674,48.3885,1.429,20369454.3106,-1.0,-0.00518185,47.70999908,48.40000153,47.36999893,47.40999985,115000.0,0.0,0.0,-0.25,-0.00524549,0.16884532,100,0.0,0.0,0.0,0.0,0.0,0.0
THRM,2020-01-30,47.737,0.30206744,0.0008806,0.7905,0.895,-0.1046,1,1,-1,24.5447,0,6.4204,1,-0.00360047,43.2601,0,-0.09909889,45.7546,46.2097,0.4364691,-0.06449337,0.45421751,0.00821237,30.2865,-0.0970305,64.2857,7.1429,0.642857,0.071429,1,47.0127,47.468,47.9233,0.9106,20406557.2327,1.0,0.0018215,47.27999878,47.5,46.72999954,47.24000168,114300.0,0.0,0.0,-0.16999817,-0.0035857,0.16757444,0,0.0,0.0,0.0,0.0,0.0,0.0
THRM,2020-01-31,47.5695,0.29902442,-0.00350881,0.6367,0.8434,-0.2066,1,1,-1,-42.6211,0,0.37,1,-0.94237119,23.7249,1,-0.45157547,39.9979,27.9508,0.37284038,-0.12581686,0.26296897,-0.39513133,29.1028,-0.03908342,57.1429,0.0,0.571429,0.0,1,46.0635,47.13,48.1965,2.133,20245350.456,1.0,-0.00789975,47.06000137,47.06000137,46.02999878,46.11000061,190900.0,0.0,0.0,-1.13000107,-0.02392043,0.30664488,0,3.0,1.0,0.0,0.0,0.0,0.0
THRM,2020-02-03,47.435,0.29658092,-0.00282744,0.5649,0.7877,-0.2228,1,1,-1,-20.324,0,2.1829,1,4.89972973,43.4862,0,0.83293502,32.7422,24.0662,0.29264324,-0.18140202,0.22228065,-0.13897992,28.0374,-0.03660816,50.0,0.0,0.5,0.0,1,45.9583,47.046,48.1337,2.1754,20310732.4497,0.0,0.00322948,46.56000137,47.02999878,46.38999939,46.81000137,202100.0,0.0,0.0,0.70000076,0.01518111,0.32697894,60,26.0,4.0,477.0,0.0,0.0,282.0
THRM,2020-02-04,47.327,0.29461885,-0.0022768,0.5085,0.7318,-0.2233,1,1,-1,-1.3631,0,2.3129,1,0.0595538,45.5032,0,0.04638253,25.4027,24.1913,0.21151986,-0.22416026,0.22359098,0.00519816,25.9311,-0.07512465,42.8571,85.7143,0.428571,0.857143,-1,45.9941,46.892,47.7899,1.7958,20215513.6221,0.0,-0.0046881,47.31999969,47.36999893,46.79000092,46.88999939,145300.0,0.0,0.0,0.07999802,0.00170899,0.22385621,0,7.0,5.0,0.0,0.0,0.0,0.0
THRM,2020-02-05,47.369,0.29538188,0.00088744,0.5686,0.6992,-0.1306,1,1,-1,84.7999,0,5.4851,1,1.37152493,69.2034,0,0.52084689,34.0169,53.7931,0.30673248,0.33910569,0.53364805,1.22365478,25.3552,-0.02220885,100.0,78.5714,1.0,0.785714,1,45.6525,47.064,48.4755,2.823,20425138.3455,0.0,0.0103695,47.31999969,48.45999908,47.04999924,48.27000046,287000.0,0.0,0.0,1.38000107,0.02943061,0.48111837,0,5.0,6.0,0.0,0.0,0.0,0.0
THRM,2020-02-06,47.3385,0.29482777,-0.00064388,0.5849,0.6764,-0.0914,1,1,-1,98.2245,0,3.1505,1,-0.42562579,61.7806,0,-0.10726063,48.6024,67.8227,0.46794579,0.42877217,0.68059779,0.26080668,25.135,-0.00868461,100.0,71.4286,1.0,0.714286,1,45.6175,47.209,48.8005,3.183,20326015.0955,0.0,-0.004853,48.47999954,48.61000061,47.84999847,47.97000122,142100.0,0.0,0.0,-0.29999924,-0.00621502,0.21804648,0,2.0,6.0,0.0,0.0,0.0,0.0
