Date,daily_trend
2019-12-01,0
2019-12-02,32
2019-12-03,33
2019-12-04,33
2019-12-05,100
2019-12-06,35
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,33
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,33
2019-12-17,0
2019-12-18,0
2019-12-19,34
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,35
2019-12-24,0
2019-12-25,0
2019-12-26,36
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,100
2020-01-08,66
2020-01-09,0
2020-01-10,34
2020-01-11,0
2020-01-12,37
2020-01-13,92
2020-01-14,29
2020-01-15,0
2020-01-16,0
2020-01-17,34
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,33
2020-01-22,33
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,65
2020-01-30,33
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,100
2020-02-07,35
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,33
2020-02-13,33
2020-02-14,35
2020-02-15,38
2020-02-16,0
2020-02-17,0
2020-02-18,33
2020-02-19,0
2020-02-20,33
2020-02-21,34
2020-02-22,0
2020-02-23,0
2020-02-24,65
2020-02-25,0
2020-02-26,31
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,51
2020-03-05,51
2020-03-06,53
2020-03-07,0
2020-03-08,0
2020-03-09,51
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,52
2020-03-14,58
2020-03-15,0
2020-03-16,100
2020-03-17,50
2020-03-18,0
2020-03-19,51
2020-03-20,100
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,50
2020-03-26,50
2020-03-27,0
2020-03-28,55
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,51
2020-04-04,0
2020-04-05,0
2020-04-06,49
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,57
2020-04-12,0
2020-04-13,0
2020-04-14,49
2020-04-15,49
2020-04-16,50
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,100
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,99
2020-04-28,0
2020-04-29,49
2020-04-30,48
2020-05-01,0
2020-05-02,61
2020-05-03,0
2020-05-04,53
2020-05-05,100
2020-05-06,0
2020-05-07,0
2020-05-08,56
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,54
2020-05-14,53
2020-05-15,55
2020-05-16,61
2020-05-17,0
2020-05-18,0
2020-05-19,54
2020-05-20,0
2020-05-21,0
2020-05-22,57
2020-05-23,62
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,55
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,100
2020-06-02,0
2020-06-03,32
2020-06-04,31
2020-06-05,33
2020-06-06,0
2020-06-07,0
2020-06-08,31
2020-06-09,0
2020-06-10,67
2020-06-11,33
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,65
2020-06-17,0
2020-06-18,68
2020-06-19,0
2020-06-20,39
2020-06-21,0
2020-06-22,34
2020-06-23,0
2020-06-24,35
2020-06-25,35
2020-06-26,0
