Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
UTHR,2020-01-24,90.788,0.04830315,0.00194235,0.4658,0.1934,0.2724,1,1,1,16.6177,0,-0.72142912,-2.2648,-1,67.63030303,36.9355,0,-0.22733121,38.3833,19.9474,0.36153698,-0.33476433,0.16225735,-0.44740677,25.9676,-0.06995835,64.2857,42.8571,0.642857,0.428571,1,88.8788,91.53,94.1812,5.3024,1.0,81762137.13,-0.00179308,91.08000183,91.34999847,88.5,89.33000183,351700.0,0.0,0.0,-1.54000092,-0.0169473,0.15029631,30,1.0,1.0,0.0,0.0,0.0,0.0
UTHR,2020-01-27,91.226,0.0517624,0.00482443,0.3936,0.2335,0.1602,1,1,1,16.8408,0,0.01342544,0.6595,1,-1.29119569,44.3314,0,0.20023825,25.524,20.5269,0.21706442,-0.3350233,0.16855663,0.02905141,24.4764,-0.05742541,57.1429,35.7143,0.571429,0.357143,1,88.6303,90.914,93.1977,4.5674,1.0,81881737.8653,0.00146279,88.41999817,90.91000366,88.19000244,90.05000305,325300.0,0.0,0.0,0.72000122,0.00806002,0.13365276,57,0.0,1.0,0.0,0.0,0.0,0.0
UTHR,2020-01-28,91.926,0.05729089,0.00767325,0.5839,0.3035,0.2803,1,1,1,77.2845,0,3.58912284,4.9195,1,6.45943897,66.0836,0,0.49067253,28.8565,46.0951,0.25450462,0.13056339,0.44648816,1.2455948,23.4971,-0.04000997,50.0,28.5714,0.5,0.285714,1,88.2848,91.178,94.0712,5.7864,0.0,82292775.5987,0.0050199,90.55999756,93.80000305,89.30000305,93.19999695,560500.0,0.0,0.0,3.1499939,0.0349805,0.28193166,0,1.0,1.0,0.0,0.0,0.0,0.0
UTHR,2020-01-29,92.389,0.06094758,0.00503666,0.9831,0.4395,0.5437,1,1,1,148.4251,-1,0.92050282,10.9424,1,1.22429109,77.3783,-1,0.17091533,45.9934,71.3582,0.44703546,0.5938662,0.7211032,0.54806476,24.7009,0.05123185,100.0,21.4286,1.0,0.214286,1,86.8218,91.974,97.1262,10.3044,-1.0,82731578.1717,0.00533221,93.29000092,97.43000031,92.61000061,96.41999817,754700.0,0.0,0.0,3.22000122,0.03454937,0.40436263,58,0.0,0.0,0.0,0.0,0.0,0.0
UTHR,2020-01-30,92.78,0.06403564,0.00423211,1.2792,0.6074,0.6718,1,1,1,160.5467,-1,0.08166813,9.3892,1,-0.14194327,76.6843,-1,-0.00896892,66.5895,82.3152,0.67842995,0.44780555,0.84020801,0.15354928,26.8542,0.08717496,100.0,14.2857,1.0,0.142857,1,87.063,93.07,99.077,12.014,-1.0,82528007.6817,-0.00246061,95.47000122,100.08999634,94.83000183,96.34999847,483900.0,0.0,0.0,-0.06999969,-0.00072599,0.23364015,0,0.0,0.0,0.0,0.0,0.0,0.0
UTHR,2020-01-31,93.134,0.06683147,0.00381548,1.6018,0.8063,0.7955,1,1,1,156.2603,-1,-0.02669877,11.4191,1,0.2161952,80.753,-1,0.0530578,77.5916,79.1015,0.80203711,0.16522275,0.80527444,-0.03904139,28.7922,0.07216748,92.8571,7.1429,0.928571,0.071429,1,89.1978,94.738,100.2782,11.0804,0.0,82345951.3402,-0.00220599,99.04000092,99.48000336,97.01999664,97.66999817,386100.0,0.0,0.0,1.31999969,0.01370005,0.17198336,0,3.0,1.0,0.0,0.0,0.0,0.0
UTHR,2020-02-03,93.377,0.06875064,0.00260914,1.6681,0.9786,0.6894,1,1,1,65.1082,0,-0.58333499,10.5251,1,-0.07828988,59.8757,0,-0.25853281,76.7224,68.7507,0.79227176,-0.01120224,0.69275914,-0.13085466,26.4124,-0.08265433,85.7143,0.0,0.857143,0.0,1,92.8744,95.84,98.8056,5.9312,1.0,83108622.5268,0.00926179,94.16999817,96.58999634,90.01999664,95.55999756,1097800.0,0.0,0.0,-2.11000061,-0.02160336,0.62066574,0,26.0,4.0,477.0,0.0,0.0,282.0
UTHR,2020-02-04,93.854,0.07251791,0.00510832,1.7879,1.1405,0.6474,1,1,1,103.7936,-1,0.59417093,11.6438,1,0.10628878,65.6159,0,0.09586861,71.8974,67.8399,0.73806351,-0.06288906,0.68285856,-0.01324787,24.118,-0.08686829,78.5714,0.0,0.785714,0.0,1,95.1737,96.53,97.8863,2.7126,0.0,83372510.0268,0.00317521,95.25,96.84999847,95.25,96.65000153,351900.0,0.0,0.0,1.09000397,0.01140649,0.15042239,25,7.0,5.0,0.0,0.0,0.0,0.0
UTHR,2020-02-05,94.757,0.07964965,0.00962133,2.2459,1.3616,0.8843,1,1,1,179.989,-1,0.73410499,16.753,1,0.43879146,80.7993,-1,0.23139818,68.7932,69.7891,0.70318823,-0.04317541,0.70404676,0.02873235,24.3125,0.00806452,100.0,50.0,1.0,0.5,1,93.384,97.54,101.696,8.312,-1.0,83584396.001,0.00254144,97.20999908,103.41000366,97.20999908,101.47000122,566200.0,0.0,0.0,4.81999969,0.04987066,0.28552515,0,5.0,6.0,0.0,0.0,0.0,0.0
UTHR,2020-02-06,95.814,0.08799766,0.01115485,2.5767,1.6046,0.9721,1,1,1,167.9657,-1,-0.06680019,16.3837,1,-0.02204381,80.5226,-1,-0.00342453,72.1695,78.8794,0.74112052,0.04907898,0.80286017,0.13025386,24.4875,0.00719794,92.8571,42.8571,0.928571,0.428571,1,93.6425,98.558,103.4735,9.831,0.0,83547379.9094,-0.00044286,102.08000183,102.51000214,100.54000092,101.44000244,440800.0,0.0,0.0,-0.02999878,-0.00029564,0.20646829,51,2.0,6.0,0.0,0.0,0.0,0.0
