Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
ZM,2019-12-02,72.101,0.014977397861902008,,0.6745,0.2121,0.4624,1,1,1,12.5366,0,-2.0742,-1,,30.4637,0,,71.1733,49.894,0.7436326273813997,,0.4973579956186627,,28.0223,,85.7143,21.4286,0.857143,0.214286,1,68.8777,73.444,78.0103,9.132599999999996,-12454923.3259,
ZM,2019-12-03,72.095,0.014964543565353386,-8.321659893760457e-05,0.4954,0.2687,0.2267,1,1,1,-41.7744,0,-0.1426,-1,-0.9312506026419825,38.9516,0,0.2786234108135256,55.8773,39.4496,0.5705469128370396,-0.21491205269391753,0.38525500735768436,-0.20933178338076727,28.4146,0.013999564632453394,78.5714,100.0,0.785714,1.0,-1,67.4421,72.538,77.6339,10.1918,-10566052.1741,-0.15165658610455623
ZM,2019-12-04,72.127,0.015033099813612692,0.0004438587974200219,0.3447,0.2839,0.0608,1,1,1,-9.0584,0,4.5896,1,-33.18513323983169,38.6271,0,-0.008330851620986056,39.4322,28.953,0.38445826977653663,-0.2943073484223468,0.2725917402882323,-0.2660762086307592,28.4154,2.8154540271609957e-05,71.4286,92.8571,0.714286,0.928571,-1,66.8657,71.498,76.1303,9.264600000000002,-10720326.2198,0.014600916516214302
ZM,2019-12-05,71.995,0.01475030528954304,-0.0018301052310506578,0.1996,0.2671,-0.0675,1,1,-1,-20.0774,0,4.2496,1,-0.07408052989367263,36.7765,0,-0.0479093693287873,36.2686,40.4034,0.3486597625502985,-0.08022884850452175,0.3954924389194132,0.3954823334369495,28.4162,2.815374761566388e-05,64.2857,85.7143,0.642857,0.857143,-1,66.6553,70.616,74.5767,7.9214000000000055,-12328258.3375,0.14998910338476615
ZM,2019-12-06,71.277,0.013212074469224675,-0.009972914785749059,-0.4692,0.1198,-0.589,-1,1,-1,-225.7993,1,-6.0919,-1,-2.433523155120482,15.1275,1,-0.5886639566027219,32.6458,28.5811,0.3076650628476765,-0.09988805743811446,0.2686000221106196,-0.2926065628140206,31.1918,0.0976766773882504,57.1429,100.0,0.571429,1.0,-1,62.6858,68.264,73.8422,11.156400000000005,-18809922.9435,0.5257567150652679
ZM,2019-12-09,70.555,0.011665274117873915,-0.010129494787939928,-0.7326,-0.0507,-0.6819,-1,-1,-1,-148.6649,1,-5.5977,-1,-0.08112411562894994,36.6518,0,1.422859031565031,32.9256,29.7923,0.31083120974421885,0.008570780927408782,0.28160020779689143,0.042377655163727136,31.8605,0.021438326739719977,50.0,92.8571,0.5,0.928571,-1,61.865,67.666,73.467,11.601999999999997,-16386058.1743,-0.12886096218898105
ZM,2019-12-10,69.557,0.00952717612528655,-0.014144993267663589,-1.0399,-0.2485,-0.7914,-1,-1,-1,-146.9097,1,-5.5856,-1,-0.0021616020865711516,32.2719,0,-0.11950027010951711,27.9737,25.5478,0.2547967464955122,-0.15039665184537265,0.23604267134925225,-0.14246969854626873,32.4623,0.01888859245774551,42.8571,85.7143,0.42857100000000004,0.857143,-1,60.9073,66.576,72.2447,11.337399999999995,-16513811.1907,0.007796445920127925
ZM,2019-12-11,68.393,0.007033442594853999,-0.016734476760067302,-1.3525,-0.4693,-0.8832,-1,-1,-1,-155.6563,1,-6.5882,-1,0.17949727871669993,28.9567,1,-0.10272714032951269,28.275,29.485,0.2582061820206309,0.010770831173566517,0.27830186147804126,0.1541111171999155,33.5089,0.03224047587509197,35.7143,100.0,0.357143,1.0,-1,60.4086,65.288,70.1674,9.7588,-15684276.4657,-0.05023278487446705
ZM,2019-12-12,67.234,0.004550420978211957,-0.01694617870249888,-1.6643,-0.7083,-0.956,-1,-1,-1,-143.6958,1,-8.1165,-1,0.23197534986794582,25.7174,1,-0.11186702904681818,24.2678,17.7707,0.21286170795406714,-0.14172236958443846,0.15256864220402092,-0.3972969306426996,34.4508,0.028108950159509982,28.5714,92.8571,0.285714,0.928571,-1,61.31,63.852,66.394,5.084000000000003,-17841008.3804,0.1375091748361209
ZM,2019-12-13,66.138,0.002202369475330475,-0.016301276140048036,-1.8058,-0.9278,-0.878,-1,-1,-1,-123.3003,1,-6.2002,-1,-0.23609930388714354,34.9853,0,0.36037468795445887,21.7828,18.0927,0.18474206879070845,-0.10239906377998827,0.15602476818732633,0.01811971391110081,35.341,0.025839748278704704,21.4286,100.0,0.214286,1.0,-1,61.6779,64.012,66.3461,4.668200000000006,-15955833.5711,-0.10566526112789887
ZM,2019-12-16,65.88,0.001649634723739735,-0.003900934409870419,-1.6719,-1.0766,-0.5953,-1,-1,-1,-67.2489,0,-5.2278,-1,-0.15683365052740228,54.1301,0,0.5472241198446203,27.1174,45.4887,0.2451070696280739,0.24489964559193483,0.45007454284147225,1.514201860418843,33.5758,-0.04994765286777397,14.2857,92.8571,0.142857,0.928571,-1,61.4824,64.094,66.7056,5.223200000000006,-12764500.3556,-0.200010435135166
ZM,2019-12-17,65.495,0.0008248173618698826,-0.005843958712811034,-1.5623,-1.1737,-0.3885,-1,-1,-1,-49.5879,0,-5.5793,-1,0.06723669612456476,52.8832,0,-0.02303524286857029,45.4443,72.7515,0.4524896913515985,0.6758354414508765,0.7426946405360643,0.5993312624893653,31.7867,-0.0532854019859542,7.1429,85.7143,0.071429,0.857143,-1,61.3032,64.414,67.5248,6.221600000000002,-12160920.5523,-0.047285815071891814
ZM,2019-12-18,65.259,0.0003192150309574328,-0.0036033284983587174,-1.3446,-1.2079,-0.1366,-1,-1,-1,-25.0239,0,-2.9294,-1,-0.47495205491728354,61.6548,0,0.16586742103352292,70.5777,93.4928,0.7368929665823266,0.5530594596021943,0.965317453758215,0.28509790176147587,28.8903,-0.09111987088939713,0.0,78.5714,0.0,0.785714,-1,61.4228,65.23,69.0372,7.614399999999996,-11074191.1809,-0.08936242669511289
ZM,2019-12-19,65.11,0.0,-0.0022832099787002697,-1.1124,-1.1888,0.0764,-1,-1,1,-10.9294,0,-3.9583,-1,0.35123233426640277,64.9619,0,0.05363897052622015,86.1977,92.3487,0.9136449841805813,0.22131636480077993,0.9530374732069735,-0.012237305974363896,26.0229,-0.09925130580160123,0.0,71.4286,0.0,0.714286,-1,63.1632,66.368,69.5728,6.4095999999999975,-10125256.475,-0.08568884990324688
ZM,2019-12-20,65.529,0.0008976583756453863,0.006435263400399277,-1.0175,-1.1545,0.137,-1,-1,1,-20.1162,0,-4.2763,-1,0.08033751863173587,52.7142,0,-0.18853666533768257,90.3166,85.1082,0.9602534275407254,0.04778433763313866,0.8753229384798841,-0.07840391905895804,24.0098,-0.07735878783686681,0.0,64.2857,0.0,0.642857,-1,65.5339,67.046,68.5581,3.0241999999999933,-11228156.0955,0.10892559840070622
ZM,2019-12-23,65.55,0.0009426484135655628,0.00032046880007326217,-0.9938,-1.1224,0.1286,-1,-1,1,-29.9846,0,-9.5817,-1,1.24065196548418,45.956,0,-0.12820454450603433,80.0966,62.8329,0.844606460840715,-0.11315749264254854,0.6362352269397508,-0.2617291870818557,22.6008,-0.05868437054869258,7.1429,57.1429,0.071429,0.571429,-1,65.4139,67.006,68.5981,3.184200000000004,-12426053.2611,0.10668689991583667
ZM,2019-12-24,65.739,0.0013475587548471516,0.0028832951945081185,-0.9392,-1.0858,0.1466,-1,-1,1,-28.1306,0,-10.8518,-1,0.13255476585574597,49.192,0,0.0704151797371398,62.5497,39.708,0.6460501242469369,-0.2190717208970168,0.38802849479273444,-0.368038081960247,21.4975,-0.04881685604049418,0.0,50.0,0.0,0.5,-1,65.5805,67.064,68.5475,2.9669999999999987,-12281107.0079,-0.011664705611214238
ZM,2019-12-26,66.132,0.002189515178781853,0.005978186464655694,-0.8067,-1.0299,0.2232,-1,-1,1,1.8295,0,-10.2581,-1,-0.05470981772609153,58.9937,0,0.19925394373068786,46.7399,37.6789,0.46715037726711056,-0.25275580858101643,0.36624953444265673,-0.05110053389745139,19.5579,-0.09022444470287237,0.0,42.8571,0.0,0.42857100000000004,-1,65.5895,67.034,68.4785,2.888999999999996,-11980018.41,-0.02451640537830343
ZM,2019-12-27,66.547,0.0030786040233948147,0.006275328131615436,-0.7583,-0.9756,0.2173,-1,-1,1,4.9668,0,-10.0432,-1,-0.020949298603055153,49.2723,0,-0.16478708743475992,39.2993,40.5109,0.3829544065794298,-0.15919161144974628,0.3966462697989329,0.07516142987189119,17.8123,-0.089252936153677,71.4286,35.7143,0.714286,0.357143,1,65.8425,66.726,67.6095,1.766999999999996,-12764274.04,0.06546364147031382
ZM,2019-12-30,66.872,0.0037748784197784786,0.004883766360617351,-0.6998,-0.9205,0.2206,-1,-1,1,0.7366,0,-10.349,-1,0.03044846264138916,51.1362,0,0.037828556815898605,41.9323,47.607,0.412748776767407,0.0669986488308951,0.47281091448878854,0.17516520245168585,16.8719,-0.05279497875063862,64.2857,28.5714,0.642857,0.285714,1,65.8335,66.698,67.5625,1.7289999999999992,-12147880.1605,-0.04829055515169744
ZM,2019-12-31,67.041,0.004136941105897974,0.002527216174183469,-0.5463,-0.8456,0.2993,-1,-1,1,47.7773,0,-1.2912,-1,-0.8752343221567301,64.6618,0,0.26450146862692175,48.7942,58.2648,0.49039632283382595,0.16364234730744553,0.5872043912119947,0.22387043922112299,15.4666,-0.083292338148045,57.1429,21.4286,0.571429,0.214286,1,65.9028,67.076,68.2492,2.3464000000000027,-10998157.9626,-0.09464385413007542
ZM,2020-01-02,67.296,0.0046832487092144034,0.0038036425470981887,-0.3656,-0.7496,0.3841,-1,-1,1,94.8084,0,-1.8566,-1,0.4378872366790584,70.2597,-1,0.08657197912832608,60.6333,76.0283,0.6243646206281599,0.24263334576650508,0.7778655524059251,0.3048753278137057,15.254,-0.013745748904090112,100.0,14.2857,1.0,0.142857,1,65.9731,67.528,69.0829,3.109799999999993,-10797821.5388,-0.01821545248588526
ZM,2020-01-03,67.264,0.004614692460955067,-0.0004755111745127598,-0.3346,-0.6666,0.332,-1,-1,1,63.8329,0,-3.8308,-1,1.0633415921577076,49.5024,0,-0.2954367866643324,70.086,75.9649,0.7313290122255365,0.15589948097827433,0.7771850605197712,-0.0008339000082864072,13.9865,-0.08309295922381016,92.8571,7.1429,0.928571,0.071429,1,65.9263,67.494,69.0617,3.135400000000004,-11669181.8299,0.08069778593477647
ZM,2020-01-06,67.478,0.005073162371189226,0.0031814938154138715,-0.0641,-0.5461,0.482,-1,-1,1,119.9346,-1,0.933,1,-1.2435522606244127,71.6246,-1,0.44689146384821743,76.2194,76.6651,0.8007330342957756,0.08751248466170126,0.7847005245368843,0.009217414885032367,14.524,0.038429914560469,100.0,0.0,1.0,0.0,1,65.7609,68.23,70.6991,4.938199999999995,-8752711.2882,-0.2499293081736985
